,texto,tokens,sentimiento
2,trabajar por más de una década en favor de las causas de las y los chiapanecos ha sido un enorme privilegio en estos cinco años como la única mujer senadora de la entidad he recibido el cariño de mi gente y ello me ha inspirado para seguir transformando a chiapas,"['trabajar', 'por', 'más', 'de', 'una', 'década', 'en', 'favor', 'de', 'las', 'causas', 'de', 'las', 'y', 'los', 'chiapanecos', 'ha', 'sido', 'un', 'enorme', 'privilegio', 'en', 'estos', 'cinco', 'años', 'como', 'la', 'única', 'mujer', 'senadora', 'de', 'la', 'entidad', 'he', 'recibido', 'el', 'cariño', 'de', 'mi', 'gente', 'y', 'ello', 'me', 'ha', 'inspirado', 'para', 'seguir', 'transformando', 'a', 'chiapas']",0.7579
6,por la continuidad de la transformación en chiapasvamos al llamado histórico e inédito de nuestro movimiento,"['por', 'la', 'continuidad', 'de', 'la', 'transformación', 'en', 'chiapas', 'vamos', 'al', 'llamado', 'histórico', 'e', 'inédito', 'de', 'nuestro', 'movimiento']",0.0
9,cuando me pregunten si me registraré habrán señales,"['cuando', 'me', 'pregunten', 'si', 'me', 'registraré', 'habrán', 'señales']",0.0
12,estamos firmemente convencidas y convencidos de que es el tiempo de las mujeres hemos demostrado que tenemos la capacidad que tenemos voz que sabemos gobernar mejor y que juntas somos más fuertes chiapas está listo para tener su primera gobernadora así como méxico está listo para tener a su primera presidenta con la dra  en entrevista para milenio con  hablamos de mi próximo registro para ser la coordinadora de los comités de defensa de la cuarta transformación en chiapas ahora el pueblo elige,"['estamos', 'firmemente', 'convencidas', 'y', 'convencidos', 'de', 'que', 'es', 'el', 'tiempo', 'de', 'las', 'mujeres', 'hemos', 'demostrado', 'que', 'tenemos', 'la', 'capacidad', 'que', 'tenemos', 'voz', 'que', 'sabemos', 'gobernar', 'mejor', 'y', 'que', 'juntas', 'somos', 'más', 'fuertes', 'chiapas', 'está', 'listo', 'para', 'tener', 'su', 'primera', 'gobernadora', 'así', 'como', 'méxico', 'está', 'listo', 'para', 'tener', 'a', 'su', 'primera', 'presidenta', 'con', 'la', 'dra', 'en', 'entrevista', 'para', 'milenio', 'con', 'hablamos', 'de', 'mi', 'próximo', 'registro', 'para', 'ser', 'la', 'coordinadora', 'de', 'los', 'comités', 'de', 'defensa', 'de', 'la', 'cuarta', 'transformación', 'en', 'chiapas', 'ahora', 'el', 'pueblo', 'elige']",0.0
15,bien lo dice la dra   la transformación es amor y alegría y en chiapas lo sabemos bien en su primera visita la recibimos con esta hermosa pieza elaborada por mujeres que saben que la cuarta transformación es con nosotras hoy la lleva puesta y en el corazón la llevamos nosotros ,"['bien', 'lo', 'dice', 'la', 'dra', 'la', 'transformación', 'es', 'amor', 'y', 'alegría', 'y', 'en', 'chiapas', 'lo', 'sabemos', 'bien', 'en', 'su', 'primera', 'visita', 'la', 'recibimos', 'con', 'esta', 'hermosa', 'pieza', 'elaborada', 'por', 'mujeres', 'que', 'saben', 'que', 'la', 'cuarta', 'transformación', 'es', 'con', 'nosotras', 'hoy', 'la', 'lleva', 'puesta', 'y', 'en', 'el', 'corazón', 'la', 'llevamos', 'nosotros']",0.6124
18,el futuro de chiapas y de méxico tiene rostro de mujer el cariño de las y los chiapanecos está con claudiasheinbaum gracias doctora por su visita la unidad seguirá transformando con bienestar y vanguardia ,"['el', 'futuro', 'de', 'chiapas', 'y', 'de', 'méxico', 'tiene', 'rostro', 'de', 'mujer', 'el', 'cariño', 'de', 'las', 'y', 'los', 'chiapanecos', 'está', 'con', 'claudiasheinbaum', 'gracias', 'doctora', 'por', 'su', 'visita', 'la', 'unidad', 'seguirá', 'transformando', 'con', 'bienestar', 'y', 'vanguardia']",0.0
21,en chiapas la unidad seguirá haciendo historiarecibimos la visita de la dra  para celebrar la firma del acuerdo de unidad por la transformación el pueblo chiapaneco está de fiesta porque tenemos coordinadora nacional y será nuestra futura presidenta el tiempo de las mujeres se siente en chiapas y todo méxico,"['en', 'chiapas', 'la', 'unidad', 'seguirá', 'haciendo', 'historia', 'recibimos', 'la', 'visita', 'de', 'la', 'dra', 'para', 'celebrar', 'la', 'firma', 'del', 'acuerdo', 'de', 'unidad', 'por', 'la', 'transformación', 'el', 'pueblo', 'chiapaneco', 'está', 'de', 'fiesta', 'porque', 'tenemos', 'coordinadora', 'nacional', 'y', 'será', 'nuestra', 'futura', 'presidenta', 'el', 'tiempo', 'de', 'las', 'mujeres', 'se', 'siente', 'en', 'chiapas', 'y', 'todo', 'méxico']",0.4767
24,en chiapas a la dra claudiasheinbaum se le quiere la unidad será la fuerza para luchar por la continuidad de la transformación  ,"['en', 'chiapas', 'a', 'la', 'dra', 'claudiasheinbaum', 'se', 'le', 'quiere', 'la', 'unidad', 'será', 'la', 'fuerza', 'para', 'luchar', 'por', 'la', 'continuidad', 'de', 'la', 'transformación']",0.0
27,con  en chiapas,"['con', 'en', 'chiapas']",0.0
30,es un honor estar con claudia hoybienvenida siempre a chiapas querida doctora celebramos con mucho gusto tu llegada a nuestro hermoso estado  la esperanza nos une,"['es', 'un', 'honor', 'estar', 'con', 'claudia', 'hoy', 'bienvenida', 'siempre', 'a', 'chiapas', 'querida', 'doctora', 'celebramos', 'con', 'mucho', 'gusto', 'tu', 'llegada', 'a', 'nuestro', 'hermoso', 'estado', 'la', 'esperanza', 'nos', 'une']",0.4939
