"x1lliihq","x1lliihq 3","x1lliihq 4","x1lliihq 5","x1i10hfl href","x193iq5w","html-span","xpdipgo src","x1i10hfl","_aacl","_a9ze","_aaqe","x1i10hfl href 5","xpdipgo src 2","x1i10hfl 5","_aacl 2","x1i10hfl href 7","_a9ze 2","x193iq5w 2","x193iq5w 3","x1i10hfl href 8","xpdipgo src 3","x1i10hfl 6","_aacl 3","x1i10hfl href 11","_a9ze 3","x193iq5w 4","x193iq5w 5","x193iq5w 6","x1lliihq 6","x1i10hfl href 12","xpdipgo src 4","x1i10hfl 8","_aacl 4","x1i10hfl href 14","_a9ze 4","x193iq5w 7","x1lliihq 8","x1lliihq 9","x1i10hfl href 15","xpdipgo src 5","x1i10hfl 9","_aacl 5","x1i10hfl href 17","_a9ze 5","x193iq5w 8","x1lliihq 10","x1lliihq 11","x1i10hfl href 18","xpdipgo src 6","x1i10hfl 10","_aacl 6","x1i10hfl href 20","_a9ze 6","x193iq5w 9","x1lliihq 12","x1lliihq 13","x1i10hfl href 21","xpdipgo src 7","x1i10hfl 11","_aacl 7","x1i10hfl href 23","_a9ze 7","x1lliihq 14","x1lliihq 15","x193iq5w 14"
"Me gusta","Compartir publicación","Compartir publicación","Guardar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","https://www.instagram.com/p/CxpBiH5OPBw/liked_by/","Me gusta","216","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Verificado","","","","https://www.instagram.com/sasildeleon/","Ver traducción","","https://instagram.fmex1-1.fna.fbcdn.net/v/t51.2885-19/39275970_1866007983438326_3911508475464646656_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=RVZQ46dPW0oAX_5x701&edm=ABmJApABAAAA&ccb=7-5&oh=00_AfAy9bwq4WwkFQ1mXvIlaQzyjNz7q66WSGuzdUr1XmsgnA&oe=6517E54D&_nc_sid=b41fef","sasildeleon","Trabajar por más de una década en favor de las causas de las y los chiapanecos ha sido un enorme privilegio. En estos cinco años como la única mujer Senadora de la entidad, he recibido el cariño de mi gente y ello me ha inspirado para seguir transformando a Chiapas.","17 h","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","https://www.instagram.com/p/CxpBiH5OPBw/","","","","","","","Hace 17 horas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Emoji","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","https://www.instagram.com/p/Cxn78EVuItk/liked_by/","Me gusta","766","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Verificado","","","","https://www.instagram.com/sasildeleon/","Ver traducción","","https://instagram.fmex1-1.fna.fbcdn.net/v/t51.2885-19/39275970_1866007983438326_3911508475464646656_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=RVZQ46dPW0oAX_5x701&edm=ABmJApABAAAA&ccb=7-5&oh=00_AfAy9bwq4WwkFQ1mXvIlaQzyjNz7q66WSGuzdUr1XmsgnA&oe=6517E54D&_nc_sid=b41fef","sasildeleon","¡Por la continuidad de la transformación en Chiapas!Vamos al llamado histórico e inédito de nuestro movimiento.","1 d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","https://www.instagram.com/p/Cxn78EVuItk/","","","","","","","Hace un día","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","https://www.instagram.com/p/CxlNmL1OZjC/liked_by/","Me gusta","382","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Verificado","Opciones del comentario","Me gusta","Opciones del comentario","https://www.instagram.com/sasildeleon/","Ver traducción","","https://instagram.fmex1-1.fna.fbcdn.net/v/t51.2885-19/39275970_1866007983438326_3911508475464646656_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=RVZQ46dPW0oAX_5x701&edm=ABmJApABAAAA&ccb=7-5&oh=00_AfAy9bwq4WwkFQ1mXvIlaQzyjNz7q66WSGuzdUr1XmsgnA&oe=6517E54D&_nc_sid=b41fef","sasildeleon","Cuando me pregunten si me registraré, habrán señales…","2 d","","https://www.instagram.com/cariasgonzalez/","https://instagram.fmex1-1.fna.fbcdn.net/v/t51.2885-19/375811267_1132862224765650_2235425221570202167_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=mh_jXbovGYkAX_LV6iL&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAX-8ZH52Qf8GYaTYy7DV2TbXTRxZIeABxnPHlaneWTFw&oe=651894F0&_nc_sid=f5838a","cariasgonzalez","🙌","https://www.instagram.com/p/CxlNmL1OZjC/c/17948934632695843/","2 d","1 Me gusta","Responder","https://www.instagram.com/fpaulinabustillo/","https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/383051115_808401334417648_4772713351924419886_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=104&_nc_ohc=497TkEWn6dgAX_yqWZg&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfB0bzEZVG2UBqZkNniihj_jDNyMYoB8kK8bbsiK0fH0Ew&oe=65193C1E&_nc_sid=f5838a","fpaulinabustillo","es tiempo de mujeres! 💖","https://www.instagram.com/p/CxlNmL1OZjC/c/18060142954415239/","2 d","2 Me gusta","Responder","Ver traducción","Me gusta","https://www.instagram.com/mariateresaealy_/","https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/343290558_1875375102833587_8974529351844777075_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=Hinl0AS5umwAX_60fjt&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfBvQx8DVA2hsEXMxP0P8b6-IPG_mJSwrExZz-AyRH63Rg&oe=6517A976&_nc_sid=f5838a","mariateresaealy_","😍👏","https://www.instagram.com/p/CxlNmL1OZjC/c/18009096055812107/","2 d","Responder","Opciones del comentario","Me gusta","https://www.instagram.com/fcozorrilla/","https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/340972086_533151925645504_3726444510877282174_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=104&_nc_ohc=a4dUdaCEwn8AX9zvItp&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAk2YJo4E_IYdiECz_zdTcKDef7OJU2bJDRBDSHh-hWKA&oe=6518BF59&_nc_sid=f5838a","fcozorrilla","🙌👏","https://www.instagram.com/p/CxlNmL1OZjC/c/17982719909393958/","1 d","Responder","Opciones del comentario","Me gusta","https://www.instagram.com/eli_gamboaa/","https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/306362862_549989026881871_7981204071885686434_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=84wT4Qe2FPsAX9f8wZl&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfD7jriGRLgNqFIlcUKxKq0G1CXXtcIUbhBqOPTgniKqSg&oe=6519051E&_nc_sid=f5838a","eli_gamboaa","❤️❤️","https://www.instagram.com/p/CxlNmL1OZjC/c/18001779506032297/","2 d","Responder","Opciones del comentario","Me gusta","https://www.instagram.com/jacrodle/","https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/329835227_187412103913246_1542291130928140161_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=110&_nc_ohc=kVqNosDlxI8AX92leC8&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfBLEmYupf1bPjz_cWYlU-B8ml7lXifO4cy02k4SCyRZjQ&oe=65177FDD&_nc_sid=f5838a","jacrodle","👏❤️👏","https://www.instagram.com/p/CxlNmL1OZjC/c/18061636603445747/","2 d","Opciones del comentario","Me gusta","Ver traducción"
