"tiktok-1as5cen-DivWrapper href","tiktok-41hm0z src","tiktok-41hm0z src 2","tiktok-ie5x9-DivCardAvatar href","tiktok-1zpj2q-ImgAvatar src","user-name","tiktok-j2a19r-SpanText","ejg0rhn6 href","tiktok-1p6dp51-StrongText","ejg0rhn6 href 2","tiktok-1p6dp51-StrongText 2","ejg0rhn6 href 3","tiktok-1p6dp51-StrongText 3","ejg0rhn6 href 4","tiktok-1p6dp51-StrongText 4","ejg0rhn6 href 5","tiktok-1p6dp51-StrongText 5","ejg0rhn6 href 6","tiktok-1p6dp51-StrongText 6","ejg0rhn6 href 7","tiktok-1p6dp51-StrongText 7","ejg0rhn6 href 8","tiktok-1p6dp51-StrongText 8"
"https://www.tiktok.com/@sasildeleon/video/7248776152611917061","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/7dd41fc0090d42e7a1362c6e2747262e_1687802190~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=P94ALaG%2Fzv8Lls8eZyza349MX1U%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/7dd41fc0090d42e7a1362c6e2747262e_1687802190?x-expires=1695898800&x-signature=wANMSml1jDNpUQLZ4G6ejTJbf9U%3D","https://www.tiktok.com/@sasildeleon?lang=es","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7143657206507831302~c5_100x100.jpeg?x-expires=1695898800&x-signature=r8OBUXSYw%2FrtjmJUfYXvq3wvGzU%3D","sasildeleon","","","","","","","","","","","","","","","","",""
"https://www.tiktok.com/@cuartopodermx/video/7281326730164391174","","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/07a4a74f626c4fd0bc59d910f078d54d_1695316000~tplv-dmt-logom:tos-useast2a-v-0068/oMEAMy9CzBjAToIXM6IAAfhgsdzushAg1NK0mE.image?x-expires=1695898800&x-signature=iqIBvMWYks1tQbC6CGUbedYav%2F0%3D","https://www.tiktok.com/@cuartopodermx?lang=es","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/5819c0d417c8cc354464ddbcb23c4fb4~c5_100x100.jpeg?x-expires=1695898800&x-signature=qCZQ8Y0x8HfthZrG9kiuadRLwTg%3D","cuartopodermx","Ya se apuntaron a la encuesta para las gubernaturas 🖋️📣","https://www.tiktok.com/tag/morena","#Morena","https://www.tiktok.com/tag/elecciones2024","#elecciones2024","https://www.tiktok.com/tag/pol%C3%ADtica","#política","https://www.tiktok.com/tag/m%C3%A9xico","#México","https://www.tiktok.com/tag/noticias","#noticias","https://www.tiktok.com/tag/chiapas","#Chiapas","https://www.tiktok.com/tag/eduardoram%C3%ADrez","#EduardoRamírez","https://www.tiktok.com/tag/carlosmorales","#CarlosMorales"
"https://www.tiktok.com/@ensaladadegrillos/video/7223910684843724037","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/okIECbHAlQURnSFQBxcDA8BJfBQ8IHPTkwxfWC~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=ielBPDzc5h6hlZcmPjNdK0rQJr8%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/okIECbHAlQURnSFQBxcDA8BJfBQ8IHPTkwxfWC?x-expires=1695898800&x-signature=IvMlFeGqTjDMLJYtHcDxR2q142g%3D","https://www.tiktok.com/@ensaladadegrillos?lang=es","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7222365080620138501~c5_100x100.jpeg?x-expires=1695898800&x-signature=3%2FTHI0a3RfQVvMCGLs9j1ijX9L8%3D","ensaladadegrillos","hace el oso por quedar bien con la","https://www.tiktok.com/tag/sasildele%C3%B3n","#sasildeleón","https://www.tiktok.com/tag/4t","#4T","https://www.tiktok.com/tag/elenaponiatowska","#elenaponiatowska","https://www.tiktok.com/@senadomexico","@Senado mexicano","","","","","","","",""
"https://www.tiktok.com/@cuartopodermx/video/7190401165736135941","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/36667b0e4a3641ddbbddb1132ef6b171_1674145737~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=53CewPbXkl%2BF33UxLnBk%2FFP45Q4%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/36667b0e4a3641ddbbddb1132ef6b171_1674145737?x-expires=1695898800&x-signature=F04tB3l7AcXXK2mQp3cRp2CEj0c%3D","https://www.tiktok.com/@cuartopodermx?lang=es","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/5819c0d417c8cc354464ddbcb23c4fb4~c5_100x100.jpeg?x-expires=1695898800&x-signature=qCZQ8Y0x8HfthZrG9kiuadRLwTg%3D","cuartopodermx","","https://www.tiktok.com/tag/tuxtla","#Tuxtla","https://www.tiktok.com/tag/chiapas","#Chiapas","https://www.tiktok.com/tag/m%C3%A9xico","#México","https://www.tiktok.com/tag/tudiariovivir","#TuDiarioVivir","https://www.tiktok.com/tag/senadora","#Senadora","https://www.tiktok.com/tag/sasildele%C3%B3n","#SasilDeLeón","https://www.tiktok.com/tag/senado","#senado","",""
"https://www.tiktok.com/@sayurigomezt/video/7271394797238193414","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/okSY1XzQEfAbIWAdmAhkuLC1gIJktIApy0wnoc~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=F%2B2v2Z0QuPWGbDHgTG9LIEJRPJI%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/okSY1XzQEfAbIWAdmAhkuLC1gIJktIApy0wnoc?x-expires=1695898800&x-signature=SQggWbxrFC4%2Fk8YWhgVgLDQLjew%3D","https://www.tiktok.com/@sayurigomezt?lang=es","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1664081848642565~c5_100x100.jpeg?x-expires=1695898800&x-signature=Ij9KVRC8vgtMSLB3ViULxRgTN3M%3D","sayurigomezt","","https://www.tiktok.com/tag/sasildele%C3%B3n","#sasildeleón","https://www.tiktok.com/tag/essasil","#essasil","","","","","","","","","","","",""
"https://www.tiktok.com/@idiermorales/video/7250156514701315334","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/64f66e8df18a426c87645155f6b10109_1688058614~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=UNbPF4MlYy978lLUkib66ifBnKI%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/64f66e8df18a426c87645155f6b10109_1688058614?x-expires=1695898800&x-signature=G1ssAdYxut0FU12Fdw7hRDIEI5c%3D","https://www.tiktok.com/@idiermorales?lang=es","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1664253941632005~c5_100x100.jpeg?x-expires=1695898800&x-signature=rXPySvPysDpynCPF73R%2FBX%2Fp2wI%3D","idiermorales","publicidad de la senadora","https://www.tiktok.com/tag/dronie","#DroniE","https://www.tiktok.com/tag/espectacular","#Espectacular","https://www.tiktok.com/tag/sasildele%C3%B3n","#sasildeleón","https://www.tiktok.com/@sasildeleon","@Sasil de León","https://www.tiktok.com/tag/hoysenadora","#HoySenadora","","","","","",""
"https://www.tiktok.com/@jazminfabiola1303/video/7277749377085607173","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/ocQgfwcZphahEhfUcPgAe1f0w7YABSQrfAwfxp~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=40ZEp2VS8oGXn6bZrMXWVDaq%2BQg%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/ocQgfwcZphahEhfUcPgAe1f0w7YABSQrfAwfxp?x-expires=1695898800&x-signature=uRRJgzmY%2B4JRKEsW%2BA9rRfRg8MM%3D","https://www.tiktok.com/@jazminfabiola1303?lang=es","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/fe66508f22d64c8a2834d679acebe727~c5_100x100.jpeg?x-expires=1695898800&x-signature=J0WlDC4H4czIiNCBix25VnrKKpM%3D","jazminfabiola1303","Es tiempo de las mujeres.","https://www.tiktok.com/","@Sasil de León","https://www.tiktok.com/tag/sasildele%C3%B3n","#sasildeleón","https://www.tiktok.com/tag/senadora","#Senadora","https://www.tiktok.com/tag/chiapas","#Chiapas","https://www.tiktok.com/tag/essasil","#EsSasil","https://www.tiktok.com/tag/esclaudia","#EsClaudia","","","",""
"https://www.tiktok.com/@augusto.mandujano/video/7258092997600922885","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/oQvAEjAygo9IJaIhQhyStCGA5K2zXfIaPkB7AC~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=O7OFrwqSDoq90j6DC88f9jr1Vsc%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oQvAEjAygo9IJaIhQhyStCGA5K2zXfIaPkB7AC?x-expires=1695898800&x-signature=FdkNykoK%2BAaXI8zMCH0%2Fg%2BABJcY%3D","https://www.tiktok.com/@augusto.mandujano?lang=es","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/33ed8fed727bcecb8e6c057da2bf214a~c5_100x100.jpeg?x-expires=1695898800&x-signature=ltlzmWZ%2FuDB4W%2BO6EJ6XAlczOmg%3D","augusto.mandujano","","https://www.tiktok.com/tag/essasil","#EsSasil","https://www.tiktok.com/tag/sasildele%C3%B3n","#sasildeleón","https://www.tiktok.com/tag/rbd","#RBD","https://www.tiktok.com/","@Sasil de León","","","","","","","",""
"https://www.tiktok.com/@revueltamagazine/video/7269976513619954949","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/19a758cd3f0e42bfb07ba5391e519dfc_1692673324~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=SpyMiBCW%2BwVJkqtjdXXBKMd9O3g%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/19a758cd3f0e42bfb07ba5391e519dfc_1692673324?x-expires=1695898800&x-signature=7pKFiknN4nMgVFX89o%2F7Zj%2B2slA%3D","https://www.tiktok.com/@revueltamagazine?lang=es","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/6966078727864680453~c5_100x100.jpeg?x-expires=1695898800&x-signature=gRWDtApbA3RUrbxdWhm6aAafTHY%3D","revueltamagazine","Al conocerse dentro de","https://www.tiktok.com/tag/morena","#MORENA","https://www.tiktok.com/tag/zo%C3%A9robledo","#ZoéRobledo","https://www.tiktok.com/tag/sasildele%C3%B3n","#SasilDeLeón","https://www.tiktok.com/tag/chiapas","#Chiapas","","","","","","","",""
"https://www.tiktok.com/@sayurigomezt/video/7259777082635357445","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/oAgfHZjfA2cGAhrySjA3Yf5TRjFfk82oEoHgPF~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=7CjxHRN3KiHcHF9OAQDBFAnT6Q8%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oAgfHZjfA2cGAhrySjA3Yf5TRjFfk82oEoHgPF?x-expires=1695898800&x-signature=dK%2Fqcng9pt3xLxczJ5ohJ4NbR1o%3D","https://www.tiktok.com/@sayurigomezt?lang=es","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1664081848642565~c5_100x100.jpeg?x-expires=1695898800&x-signature=Ij9KVRC8vgtMSLB3ViULxRgTN3M%3D","sayurigomezt","","https://www.tiktok.com/tag/sasildele%C3%B3n","#sasildeleón","https://www.tiktok.com/tag/chiapasnosunesugrandeza","#chiapasnosunesugrandeza","https://www.tiktok.com/tag/sayurigomez","#sayurigomez","","","","","","","","","",""
