"e1g2efjf5 href","tiktok-1zpj2q-ImgAvatar src","tiktok-1665s4c-SpanUserNameText","tiktok-xm2h10-PCommentText","tiktok-4tru0g-SpanCreatedTime","tiktok-ro5z69-SpanReplyButton","tiktok-gb2mrc-SpanCount"
"https://www.tiktok.com/@12jose4","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1659724647941126~c5_100x100.jpg?x-expires=1695812400&x-signature=rIb9FDIN06XwJ%2FYc1nSBUmdzMR0%3D","user6647625953591","con claudia al 100","hace 3 día(s)","Responder","5"
"https://www.tiktok.com/@lety27145247163","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/cf2db02c2ead00852cc8af0adc6bd912~c5_100x100.jpg?x-expires=1695812400&x-signature=ycmbZjDhaeOEjT340eIJpZVrI0U%3D","ING, Corazón*letG""*™*","🥰🥰 cuenta con mi voto 🥰la amo, y la admiro 💗","hace 3 día(s)","Responder","5"
"https://www.tiktok.com/@lauracarbajalmart","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7186386697964224518~c5_100x100.jpg?x-expires=1695812400&x-signature=zC3xSEK64z7Gl9aQ%2BnWyPPAJ06s%3D","lauracarbajalmart","Claudia Sheinbaum presidenta, plan C, votemos todo MORENA en el 2024 , fuera Norma Piña y secuaces corruptos","hace 2 día(s)","Responder","0"
"https://www.tiktok.com/@keillycoello1","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/574103d4ea9cc21c06a43a6a639a5df0~c5_100x100.jpg?x-expires=1695812400&x-signature=74jv6YZ6JkE0lq9IgyqOE5ao3L4%3D","Key_C","es tiempo de Mujeres! ✨","hace 2 día(s)","Responder","1"
"https://www.tiktok.com/@user4003319134080","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/5e7264cb636be5e76e3a477fe5dfd60c~c5_100x100.jpg?x-expires=1695812400&x-signature=jCDzxU5Cp3d3lTFeOcWXF6In0Ik%3D","Victor Hugo","es Claudia nuestra futura presidenta de México","hace 3 día(s)","Responder","3"
"https://www.tiktok.com/@user956223890","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/194dd1d9831e03affc6c0408d5c7ea2f~c5_100x100.jpg?x-expires=1695812400&x-signature=EYU7IS5GRc81qFHibaCvmbF%2BOPo%3D","Martin Martínez","Saludos cordiales mi futuro futura gran presidente de México señora Claudia Sheibaun es un gran honor estar contigo","hace 3 día(s)","Responder","3"
"https://www.tiktok.com/@user1323400419636","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1695812400&x-signature=KqeNPbctXtiVfEVMqhhcVtunJtE%3D","Rakel","MORENA","hace 3 día(s)","Responder","4"
"https://www.tiktok.com/@user1323400419636","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1695812400&x-signature=KqeNPbctXtiVfEVMqhhcVtunJtE%3D","Rakel","Claudia Presidente","hace 3 día(s)","Responder","4"
"https://www.tiktok.com/@user1323400419636","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1695812400&x-signature=KqeNPbctXtiVfEVMqhhcVtunJtE%3D","Rakel","🥰","hace 3 día(s)","Responder","2"
"https://www.tiktok.com/@user1323400419636","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1695812400&x-signature=KqeNPbctXtiVfEVMqhhcVtunJtE%3D","Rakel","💯","hace 3 día(s)","Responder","2"
"https://www.tiktok.com/@helidatorres2","https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1684073883348993.jpg?x-expires=1695812400&x-signature=ghrdyb68bbR6LTBXe%2B6LDVpb%2Fd0%3D","Helida Torres853","viva la 4 T","hace 3 día(s)","Responder","2"
"https://www.tiktok.com/@helidatorres2","https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1684073883348993.jpg?x-expires=1695812400&x-signature=ghrdyb68bbR6LTBXe%2B6LDVpb%2Fd0%3D","Helida Torres853","Claudia 💯","hace 3 día(s)","Responder","3"
"https://www.tiktok.com/@dy64b138mrjr","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/d96b094f90ff6c53c7ad8890de4fcda5~c5_100x100.jpg?x-expires=1695812400&x-signature=%2BZ41EhRyBWkEUcaZngrKKbxnSpE%3D","Julissa Estupiñán","👏👏👏👏🥰🥰🥰💯","hace 3 día(s)","Responder","2"
"https://www.tiktok.com/@michuneky","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a70eebce19b872f79a9a9908be57d905~c5_100x100.jpg?x-expires=1695812400&x-signature=KzmNbyucxr%2Fw26PiKze%2BykqjWuY%3D","neky","CLAUDIA PRESIDENTA","hace 3 día(s)","Responder","3"
"https://www.tiktok.com/@lorenasahagun2","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/8a1141a5708c3b077869f5e5d6772748~c5_100x100.jpg?x-expires=1695812400&x-signature=U1HHQ5km3IiOkFXfOjlkMvBVfh8%3D","Lorena Sahagun","Claudia ✅","hace 3 día(s)","Responder","4"
"https://www.tiktok.com/@lilianademendez68","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/7025391167349424134~c5_100x100.jpg?x-expires=1695812400&x-signature=T5%2FhBazfhXjy28bk34fmNnmhaQw%3D","lilianademendez68","vamos a ganar","hace 3 día(s)","Responder","3"
"https://www.tiktok.com/@santiagoxchance","https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1662574027036673.jpeg?x-expires=1695898800&x-signature=Uhgv7UFkQdtdigUDJVQpKCrnCtM%3D","Castillo Santiago216","#EsSasil #EsTiempoDeMujeres","hace 3 día(s)","Responder","1"
"https://www.tiktok.com/@kiimy_lopez","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/0cb73cabb27845d618788438cef50036~c5_100x100.jpg?x-expires=1695812400&x-signature=BPPfOOf3sQ7AoKCTNgOQ1R4%2FC%2B0%3D","Kira L.G. mucho.972","CLAUDIA SHEINBAUM🤗
ESTAMOS CONTIGO HASTA El TRIUNFO💪","hace 3 día(s)","Responder","4"
"","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1664081848642565~c5_100x100.jpeg?x-expires=1695898800&x-signature=Ij9KVRC8vgtMSLB3ViULxRgTN3M%3D","","","","",""
"","","","","","",""
"https://www.tiktok.com/@greyjo3","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/56864c54ad5f3f45ff71db9d53fc06e4~c5_100x100.jpg?x-expires=1695812400&x-signature=x3fhxEgTSkNMOEFwlS7%2B21K5WXQ%3D","Greys Jo Díaz","Please coordinadora de campaña","9-9","Responder","0"
"https://www.tiktok.com/@user159439484237296","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1695812400&x-signature=KqeNPbctXtiVfEVMqhhcVtunJtE%3D","user159439484237296","Es tiempo de las mujeres y Sasil es nuestra mejor opción!!","9-9","Responder","1"
"https://www.tiktok.com/@user890..2","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1664002025412614~c5_100x100.jpg?x-expires=1695812400&x-signature=TUw3J9YbzfS3yiIWZUUS3olzG5s%3D","user80","eduardo ramirez y sasil son lo mismo que el guero velasco.","hace 4 día(s)","Responder","21"
"https://www.tiktok.com/@marysalgado106","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/bacecb9dee9e9e5070c3b00bdc1873ef~c5_100x100.jpg?x-expires=1695812400&x-signature=xzNRm0Xz9eM541VBtpM%2FsqpfbP8%3D","marysalgado1060","QUEREMOS QUE REGRESEN A ZOE ROBLEDO","hace 4 día(s)","Responder","5"
