"e1g2efjf5 href","tiktok-1zpj2q-ImgAvatar src","tiktok-1665s4c-SpanUserNameText","tiktok-xm2h10-PCommentText","tiktok-4tru0g-SpanCreatedTime","tiktok-gb2mrc-SpanCount"
"https://www.tiktok.com/@goyocruzgc","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7220142279424835589~c5_100x100.jpg?x-expires=1695812400&x-signature=LoImnMDg3lNHOMDbi2XBXLGi53I%3D","GOYO CRUZ","a seguir con la transformación","hace 3 h","0"
"https://www.tiktok.com/@ale_ramos0","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1662915262475270~c5_100x100.jpg?x-expires=1695812400&x-signature=QmR%2BYZ5MajJ23YJG5x9WiSmAJgQ%3D","Ale Ramoss","Mi pregunta es ,que as hecho por Chiapas ,como senadora??","hace 5 h","0"
"https://www.tiktok.com/@user7130456334873","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1695812400&x-signature=KqeNPbctXtiVfEVMqhhcVtunJtE%3D","user7130456334873","estas vien guapa tienes marido","hace 7 h","0"
"https://www.tiktok.com/@jazminfabiola1303","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/fe66508f22d64c8a2834d679acebe727~c5_100x100.jpg?x-expires=1695812400&x-signature=9L2fx3OdCdak07KuAT9Z689tFoc%3D","jazmin","Sasil Gobernadora.","hace 8 h","0"
"https://www.tiktok.com/@roquehernandezsan3","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7243280990004510725~c5_100x100.jpg?x-expires=1695812400&x-signature=sEYc6Wwfu3N3x20TQHtT5ptFmj0%3D","roquehernandezsan3","Eres verde, vestida de morena","hace 8 h","3"
"https://www.tiktok.com/@gonzalo_dj10","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/26b76a59d3da468082c9ac9f9ff3b119~c5_100x100.jpg?x-expires=1695812400&x-signature=ROdf0eP9pEa72NXuuQhy9FKCDEM%3D","Gonzalo De Jesús Pérez Gómez","lo mismo de la federal ya esta el candidato","hace 9 h","0"
"https://www.tiktok.com/@sergioarturochave","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6c57d883b768d4250416f885c36f8b17~c5_100x100.jpg?x-expires=1695812400&x-signature=iiDLGfkgWKScCZGoPopJHwrkx0s%3D","Sergio Arturo Chavez Martinez","vamos gobernadora animo 🙏","hace 11 h","0"
"https://www.tiktok.com/@veritodiaz28","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1669885038487558~c5_100x100.jpg?x-expires=1695812400&x-signature=PiRc66MGjuJcklJpnnv%2BznZuJCw%3D","Verito Diaz","😏","hace 11 h","0"
"https://www.tiktok.com/@fabyee01","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/8c3840db995d2a22c6f3fb9e29fda316~c5_100x100.jpg?x-expires=1695812400&x-signature=a68HseWxj%2FnOmFYA498WLy%2FBRMc%3D","Fabiita","Proyecto gallo con Sasil!!! con todo senadora, es tiempo de mujeres","hace 13 h","0"
"https://www.tiktok.com/@vicodiazz24","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7111750275237347333~c5_100x100.jpg?x-expires=1695812400&x-signature=JF99vY2GHzPs6jqoFSANo1WQs8Q%3D","VicoDiazZ24","No deje que gane el loco del pelón usted debe ser la primera gobernadora de Chiapas","hace 13 h","0"
"https://www.tiktok.com/@fpaulinabustilloo","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/156b7ceb4fc0ee1c85abcc373850e444~c5_100x100.jpg?x-expires=1695812400&x-signature=MKl5JfId0vFiulvnQaqORYjs8i8%3D","Paulinabustilloo","#EsSasil es tiempo de mujeres! 💖🙌🏻","hace 15 h","0"
"https://www.tiktok.com/@dagger.157","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1695812400&x-signature=KqeNPbctXtiVfEVMqhhcVtunJtE%3D","dagger.157","Futura Gobernadora","hace 16 h","0"
"https://www.tiktok.com/@dagger.157","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1695812400&x-signature=KqeNPbctXtiVfEVMqhhcVtunJtE%3D","dagger.157","Empoderemos a las mujeres","hace 16 h","0"
"https://www.tiktok.com/@_richingon","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/74647399e64b423573e51e65c924dc11~c5_100x100.jpg?x-expires=1695812400&x-signature=dU7Dwl2KXhfUf%2Fg0Pe1bartyiCU%3D","Richingoon","Sasil seguirá haciendo historia en Chiapas 👏🏼👏🏼👏🏼","hace 16 h","0"
"https://www.tiktok.com/@mannucer","https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1684511494312962.jpg?x-expires=1695812400&x-signature=5akxGRtm64FdY9%2FjvRU%2FyYCwz4Q%3D","Manuel Augusto","#EsSasil #Estiempodelasmujeres","hace 16 h","0"
"https://www.tiktok.com/@anahidelossantos7","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b10a4693b0a08ac5fba97e28d4a00b56~c5_100x100.jpg?x-expires=1695812400&x-signature=jLE4THeJIrKYVQEkGbonZIC47Z4%3D","Anahi De Los Santos","Los chiapanecos ya despertamos y estamos seguros que tú serás una excelente coordinadora ✅💪","hace 16 h","0"
"https://www.tiktok.com/@anahidelossantos7","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b10a4693b0a08ac5fba97e28d4a00b56~c5_100x100.jpg?x-expires=1695812400&x-signature=jLE4THeJIrKYVQEkGbonZIC47Z4%3D","Anahi De Los Santos","Estamos contigo","hace 16 h","0"
"https://www.tiktok.com/@anahidelossantos7","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b10a4693b0a08ac5fba97e28d4a00b56~c5_100x100.jpg?x-expires=1695812400&x-signature=jLE4THeJIrKYVQEkGbonZIC47Z4%3D","Anahi De Los Santos","La mejor 🫶🏽","hace 16 h","0"
