"tiktok-1as5cen-DivWrapper href","tiktok-41hm0z src","tiktok-41hm0z src 2","video-count","tiktok-j2a19r-SpanText","tiktok-j2a19r-SpanText 2","ejg0rhn6 href","tiktok-1p6dp51-StrongText","ejg0rhn6 href 2","tiktok-1p6dp51-StrongText 2","ejg0rhn6 href 3","tiktok-1p6dp51-StrongText 3","ejg0rhn6 href 4","tiktok-1p6dp51-StrongText 4","ejg0rhn6 href 5","tiktok-1p6dp51-StrongText 5","ejg0rhn6 href 6","tiktok-1p6dp51-StrongText 6","ejg0rhn6 href 7","tiktok-1p6dp51-StrongText 7"
"https://www.tiktok.com/@sasildeleon/video/7282829300628229381","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/2eb1d32d5b494ebd90246af1e43bdd10_1695665847~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=SpUGgBCSpUUHlNFFV03TrfezcsI%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/2eb1d32d5b494ebd90246af1e43bdd10_1695665847?x-expires=1695898800&x-signature=A0KAD2MyU97rfX9FXrPihjvAz%2BU%3D","3198","¡Por la continuidad de la transformación en Chiapas!","Vamos al llamado histórico e inédito de nuestro movimiento.","https://www.tiktok.com/tag/estiempodetransformacion","#estiempodetransformacion","https://www.tiktok.com/tag/estiempodelasmujeres","#estiempodelasmujeres","https://www.tiktok.com/tag/porlagrandezadechiapas","#porlagrandezadechiapas","https://www.tiktok.com/tag/sasildeleon","#sasildeleon","https://www.tiktok.com/tag/sasil","#sasil","https://www.tiktok.com/tag/chiapas","#chiapas","https://www.tiktok.com/tag/fyp","#fyp"
"https://www.tiktok.com/@sasildeleon/video/7281845223947242758","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/5e0aa1813d484d1b9917423710090799_1695436718~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=OQmthBW%2FpJKj4gOXXLINT%2B6njQY%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/5e0aa1813d484d1b9917423710090799_1695436718?x-expires=1695898800&x-signature=M6TXNdMk3kY%2F41SwEJPkdu%2Fwu0s%3D","7841","En la primera visita de la Dra.","la recibimos con esta hermosa pieza elaborada por mujeres que saben que la cuarta transformación es con nosotras, hoy la lleva puesta y en el corazón la llevamos nosotros 🫶🏼","https://www.tiktok.com/@claudiasheinbaum","@Claudia Sheinbaum Pardo","https://www.tiktok.com/tag/claudiasheimbaum","#claudiasheimbaum","https://www.tiktok.com/tag/esclaudia","#esclaudia","https://www.tiktok.com/tag/sasildeleon","#sasildeleon","https://www.tiktok.com/tag/sasil","#sasil","https://www.tiktok.com/tag/fyp","#fyp","https://www.tiktok.com/tag/parati","#parati"
"https://www.tiktok.com/@sasildeleon/video/7281436143680277766","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/ff71cec915a94e9dbccce68cc73df645_1695341471~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=3l77De2FDUc%2FNN%2FvEtcInRuCsP8%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/ff71cec915a94e9dbccce68cc73df645_1695341471?x-expires=1695898800&x-signature=SElHuJZb21%2BIZ5Hr7nEuy7nXtac%3D","6391","En","a la Dra.","https://www.tiktok.com/tag/chiapas","#Chiapas","https://www.tiktok.com/@claudiasheinbaum","@Claudia Sheinbaum Pardo","https://www.tiktok.com/tag/laesperanzanosune","#LaEsperanzaNosUne","https://www.tiktok.com/tag/sasildeleon","#SasilDeLeon","https://www.tiktok.com/tag/sasil","#sasil","https://www.tiktok.com/tag/esclaudia","#esclaudia","https://www.tiktok.com/tag/fyp","#fyp"
"https://www.tiktok.com/@sasildeleon/video/7281071720075644166","","","3554","¡Tiempo de mujeres! 🤍","","https://www.tiktok.com/tag/claudiasheinbaum","#ClaudiaSheinbaum","https://www.tiktok.com/tag/sasildeleon","#SasilDeLeon","https://www.tiktok.com/tag/laesperanzanosune","#LaEsperanzaNosUne","https://www.tiktok.com/tag/sasil","#Sasil","https://www.tiktok.com/tag/m%C3%A9xico","#México","https://www.tiktok.com/tag/chiapas","#Chiapas","https://www.tiktok.com/tag/parati","#parati"
"https://www.tiktok.com/@sasildeleon/video/7280699345597484294","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/61bd4fb1fa6a44f4b5132efeaace3661_1695169923~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=MJtvFNDTUOh3Sr0Lrvc0N%2FSJxsI%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/61bd4fb1fa6a44f4b5132efeaace3661_1695169923?x-expires=1695898800&x-signature=ljIpWsdjDa8vziwfASOTh4PI5Ks%3D","1930","🤠","","https://www.tiktok.com/tag/sasildeleon","#sasildeleon","https://www.tiktok.com/tag/sasil","#sasil","https://www.tiktok.com/tag/m%C3%A9xico","#México","https://www.tiktok.com/tag/chipas","#Chipas","https://www.tiktok.com/tag/fyp","#fyp","https://www.tiktok.com/tag/lovientiktok","#lovientiktok","https://www.tiktok.com/tag/parati","#parati"
"https://www.tiktok.com/@sasildeleon/video/7279268588677057798","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/o0NIECJIlClrQuPFUJAsIiUKoCfDgyApgjzkNh~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=AtJR2Gvy5IqKXW6RrjXTgAATJc0%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/o0NIECJIlClrQuPFUJAsIiUKoCfDgyApgjzkNh?x-expires=1695898800&x-signature=VC2eV50XXOJr8IxMH2pDHe6vTMA%3D","4531","Hoy y siempre, portemos con dignidad y orgullo los colores y trajes de nuestro México. ¡Que vivan nuestras fiestas patrias! 🇲🇽","","https://www.tiktok.com/tag/m%C3%A9xico","#México","https://www.tiktok.com/tag/sasildeleon","#sasildeleon","https://www.tiktok.com/tag/sasil","#sasil","https://www.tiktok.com/tag/fyp","#fyp","","","","","",""
"https://www.tiktok.com/@sasildeleon/video/7276926732727340294","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/oUbC5QaACCCDpDgcIEnPSJQKfIyUGrjfNewIPq~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=UrpHPOWDq1AoiNdUE82Acq2ngkY%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oUbC5QaACCCDpDgcIEnPSJQKfIyUGrjfNewIPq?x-expires=1695898800&x-signature=b9iPCV7VK1Yho56dqIMD7nYmhvU%3D","6285","La alegría y buena vibra es parte fundamental en el trabajo 😅","","https://www.tiktok.com/tag/sasildeleon","#sasildeleon","https://www.tiktok.com/tag/sasil","#sasil","https://www.tiktok.com/tag/chiapas","#Chiapas","https://www.tiktok.com/tag/fyp","#fyp","","","","","",""
"https://www.tiktok.com/@sasildeleon/video/7276206591932763398","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/f421e0f7aed948aea8cd066c92f4f569_1694123874~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=qeRXe2iU6hp8tJQ84%2FBFsQBJy6c%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/f421e0f7aed948aea8cd066c92f4f569_1694123874?x-expires=1695898800&x-signature=%2BEs4GwHhL99QNfhudtuOZHuHS0E%3D","11K","¡Claudia ganadora!","","https://www.tiktok.com/tag/esclaudia","#EsClaudia","https://www.tiktok.com/tag/claudiasheinbaum","#ClaudiaSheinbaum","https://www.tiktok.com/tag/sasildeleon","#SasilDeLeon","https://www.tiktok.com/tag/sasil","#Sasil","https://www.tiktok.com/tag/chiapas","#Chiapas","https://www.tiktok.com/@claudiasheinbaum","@Claudia Sheinbaum Pardo","https://www.tiktok.com/tag/fyp","#fyp"
"https://www.tiktok.com/@sasildeleon/video/7275759947768466693","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/e3add8176a0d454d8bba8d322a5e33b6_1694019878~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=wm%2F02dinwaJfmuei%2BjAXZvvO0tg%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/e3add8176a0d454d8bba8d322a5e33b6_1694019878?x-expires=1695898800&x-signature=6vHPdOtGrWUBLBhCLTQnutnPvL0%3D","7651","Soy orgullosamente Chiapaneca.","¡El estado más mexicano y que lo tiene todo!","https://www.tiktok.com/tag/lagrandezadechiapas","#LaGrandezaDeChiapas","https://www.tiktok.com/tag/chiapas","#Chiapas","https://www.tiktok.com/tag/sasildeleon","#sasildeleon","https://www.tiktok.com/tag/sasil","#sasil","https://www.tiktok.com/tag/fyp","#fyp","","","",""
"https://www.tiktok.com/@sasildeleon/video/7275497359344241926","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/1fa81c437ff148ee97c40f6695923acc_1693958747~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=c2tGi%2BLomLpr4sYjbF8qKxuZ6Vg%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/1fa81c437ff148ee97c40f6695923acc_1693958747?x-expires=1695898800&x-signature=7yPKsVM76KfqE9OE9ryrgvyycX0%3D","2455","Hoy y siempre, seguiremos acompañándolas con honor y respeto.","","https://www.tiktok.com/tag/d%C3%ADainternacionaldelamujerind%C3%ADgena","#DíaInternacionalDeLaMujerIndígena","https://www.tiktok.com/tag/sasildeleon","#SasilDeLeon","https://www.tiktok.com/tag/sasil","#Sasil","https://www.tiktok.com/tag/fyp","#fyp","https://www.tiktok.com/tag/mujeres","#mujeres","https://www.tiktok.com/tag/chiapas","#Chiapas","",""
