"css-901oao","css-4rbku5 href","css-9pa8cd src","css-4rbku5 href 2","css-901oao 2","css-901oao 3","css-901oao 4","css-4rbku5 href 4","css-4rbku5","css-901oao 5","css-4rbku5 href 5","css-9pa8cd src 2","css-901oao 6","css-901oao 7","css-901oao 8","css-901oao 9","css-4rbku5 href 7","css-901oao 10","css-4rbku5 2","css-4rbku5 href 8","css-901oao 11","r-1p0dtai src","css-4rbku5 5","css-4rbku5 href 10","css-4rbku5 href 11","css-9pa8cd src 3","css-9pa8cd src 4"
"Fijado","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","Sasil de León","@sasildeleon","·","https://twitter.com/sasildeleon/status/1699601560009859238","6 sept.","México está listo para tener a la primera Presidenta. ¡Es Tiempo de Mujeres! Claudia Sheinbaum es nuestra Coordinadora Nacional para la Defensa de la Cuarta Transformación.
¡Es un honor estar con la mejor!","https://twitter.com/sasildeleon/status/1699601560009859238/photo/1","https://pbs.twimg.com/media/F5Yym-xXwAABtiM?format=jpg&name=small","Dra. Claudia Sheinbaum","5","8","56","https://twitter.com/sasildeleon/status/1699601560009859238/analytics","3.809","","","","","","","","",""
"…","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","Sasil de León","@sasildeleon","·","https://twitter.com/sasildeleon/status/1706506419279733245","52min","Trabajar por más de una década en favor de las causas de las y los chiapanecos ha sido un enorme privilegio. Estos cinco años como la única mujer Senadora de la entidad, he recibido el cariño de mi gente y ello me ha inspirado para seguir transformando a Chiapas","https://twitter.com/sasildeleon/status/1706506419279733245/photo/1","https://pbs.twimg.com/media/F666itpWkAAVkDA?format=jpg&name=small","","2","4","","https://twitter.com/sasildeleon/status/1706506419279733245/analytics","153","#5toInforme","https://twitter.com/hashtag/5toInforme?src=hashtag_click","Mostrar más","","","","","",""
"","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","Sasil de León","@sasildeleon","·","https://twitter.com/sasildeleon/status/1706371625816412271","9h","¡Por la continuidad de la transformación en Chiapas!
Vamos al llamado histórico e inédito de nuestro movimiento.","","","0:01 / 1:24","23","27","92","https://twitter.com/sasildeleon/status/1706371625816412271/analytics","5.692","#estiempodetransformacion","https://twitter.com/hashtag/estiempodetransformacion?src=hashtag_click","","blob:https://twitter.com/5d39e761-7142-4833-bb9c-b485e875ec47","","","","",""
", la participación activa de las mujeres es la base para la continuidad de la transformación en","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","Sasil de León","@sasildeleon","·","https://twitter.com/sasildeleon/status/1706319401643897300","13h","| Comenzamos la semana dialogando con","","https://pbs.twimg.com/card_img/1706295361159954432/J0DdVAmC?format=jpg&name=240x240","youtube.com","2","1","7","https://twitter.com/sasildeleon/status/1706319401643897300/analytics","701","#Entrevista","https://twitter.com/hashtag/Entrevista?src=hashtag_click","En Vivo | Oscar Mario Beteta | Lunes 25/09/23","","@MarioBeteta","https://twitter.com/MarioBeteta","","",""
"","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","Sasil de León","@sasildeleon","·","https://twitter.com/sasildeleon/status/1705985368267383022","24 sept.","Cuando me pregunten si me registraré, habrá señales…","https://twitter.com/sasildeleon/status/1705985368267383022/photo/1","https://pbs.twimg.com/media/F6zab4gXsAAta9F?format=jpg&name=small","·","2","14","46","https://twitter.com/sasildeleon/status/1705985368267383022/analytics","2.503","","","","","","","","",""
"Who to follow","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","Sasil de León","@sasildeleon","·","https://twitter.com/sasildeleon/status/1704629456063656292","20 sept.","¡Es tiempo de mujeres!","https://twitter.com/sasildeleon/status/1704629456063656292/photo/1","https://pbs.twimg.com/media/F6gPc9vXcAAh7nk?format=jpg&name=small","","11","24","123","https://twitter.com/sasildeleon/status/1704629456063656292/analytics","3.572","","","","","","","","",""
"","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","Sasil de León","@sasildeleon","·","https://twitter.com/sasildeleon/status/1704610322349203937","20 sept.","Estuve con las y los jóvenes que participaron en el ""Tercer encuentro de autoridades jóvenes"" en Ciudad de México. Me da muchísimo gusto ver que el relevo generacional se ha construido con compromiso y entusiasmo para seguir transformando nuestro querido México y Chiapas.","https://twitter.com/sasildeleon/status/1704610322349203937/photo/1","https://pbs.twimg.com/media/F6f-C7kW4AMsrIL?format=jpg&name=small","","3","25","","https://twitter.com/sasildeleon/status/1704610322349203937/analytics","798","","","","","","","https://twitter.com/sasildeleon/status/1704610322349203937/photo/2","https://pbs.twimg.com/media/F6f-C7kXcAAbSte?format=jpg&name=small",""
"aprobamos el nombramiento de la doctora Celia Maya, como Consejera de la Judicatura Federal. Estoy convencida de que desempeñará un gran trabajo con responsabilidad y dedicación. 
¡Enhorabuena!","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","Sasil de León","@sasildeleon","·","https://twitter.com/sasildeleon/status/1704276065957335160","19 sept.","Hoy en el","https://twitter.com/sasildeleon/status/1704276065957335160/photo/1","https://pbs.twimg.com/media/F6bOC8CXYAAs8pc?format=jpg&name=small","","2","7","33","https://twitter.com/sasildeleon/status/1704276065957335160/analytics","1.175","","","","","@senadomexicano","https://twitter.com/senadomexicano","https://twitter.com/sasildeleon/status/1704276065957335160/photo/2","https://pbs.twimg.com/media/F6bOC8BWEAAJM2G?format=jpg&name=small",""
"Dra. Claudia Sheinbaum","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","Sasil de León","@sasildeleon","·","https://twitter.com/sasildeleon/status/1703956053614854264","18 sept.","La Dra. Claudia Sheinbaum regresa a nuestro amado estado y estamos muy contentos con su visita, en compañía de Toño Santos preparamos todo para celebrar su nombramiento como Coordinadora de la Defensa de la Cuarta Transformación.","https://twitter.com/sasildeleon/status/1703956053614854264/photo/1","https://pbs.twimg.com/media/F6Wq_xTW8AA0LXE?format=jpg&name=small","","9","18","79","https://twitter.com/sasildeleon/status/1703956053614854264/analytics","4.440","#LaEsperanzaNosUne","https://twitter.com/hashtag/LaEsperanzaNosUne?src=hashtag_click","","","","","https://twitter.com/sasildeleon/status/1703956053614854264/media_tags","",""
