,views,texto,tokens,sentimiento
0,3198,por la continuidad de la transformación en chiapas vamos al llamado histórico e inédito de nuestro movimiento estiempodetransformacion,"['por', 'la', 'continuidad', 'de', 'la', 'transformación', 'en', 'chiapas', 'vamos', 'al', 'llamado', 'histórico', 'e', 'inédito', 'de', 'nuestro', 'movimiento', 'estiempodetransformacion']",0.0
1,7841,en la primera visita de la dra la recibimos con esta hermosa pieza elaborada por mujeres que saben que la cuarta transformación es con nosotras hoy la lleva puesta y en el corazón la llevamos nosotros  claudia sheinbaum pardo,"['en', 'la', 'primera', 'visita', 'de', 'la', 'dra', 'la', 'recibimos', 'con', 'esta', 'hermosa', 'pieza', 'elaborada', 'por', 'mujeres', 'que', 'saben', 'que', 'la', 'cuarta', 'transformación', 'es', 'con', 'nosotras', 'hoy', 'la', 'lleva', 'puesta', 'y', 'en', 'el', 'corazón', 'la', 'llevamos', 'nosotros', 'claudia', 'sheinbaum', 'pardo']",0.0
2,6391,en a la dra chiapas,"['en', 'a', 'la', 'dra', 'chiapas']",0.0
3,3554,tiempo de mujeres   claudiasheinbaum,"['tiempo', 'de', 'mujeres', 'claudiasheinbaum']",0.0
4,1930,  sasildeleon,['sasildeleon'],0.0
5,4531,hoy y siempre portemos con dignidad y orgullo los colores y trajes de nuestro méxico que vivan nuestras fiestas patrias   méxico,"['hoy', 'y', 'siempre', 'portemos', 'con', 'dignidad', 'y', 'orgullo', 'los', 'colores', 'y', 'trajes', 'de', 'nuestro', 'méxico', 'que', 'vivan', 'nuestras', 'fiestas', 'patrias', 'méxico']",0.3612
6,6285,la alegría y buena vibra es parte fundamental en el trabajo   sasildeleon,"['la', 'alegría', 'y', 'buena', 'vibra', 'es', 'parte', 'fundamental', 'en', 'el', 'trabajo', 'sasildeleon']",0.0
7,11K,claudia ganadora  esclaudia,"['claudia', 'ganadora', 'esclaudia']",0.0
8,7651,soy orgullosamente chiapaneca el estado más mexicano y que lo tiene todo lagrandezadechiapas,"['soy', 'orgullosamente', 'chiapaneca', 'el', 'estado', 'más', 'mexicano', 'y', 'que', 'lo', 'tiene', 'todo', 'lagrandezadechiapas']",0.0
9,2455,hoy y siempre seguiremos acompañándolas con honor y respeto  díainternacionaldelamujerindígena,"['hoy', 'y', 'siempre', 'seguiremos', 'acompañándolas', 'con', 'honor', 'y', 'respeto', 'díainternacionaldelamujerindígena']",0.4939
