,texto,tokens,emociones,sentimiento
0,diego victorio sasil de león  son los tres aspirantes inscritos en el proceso selectivo de coordinador de la transformación en,"['diego', 'victorio', 'sasil', 'de', 'león', 'son', 'los', 'tres', 'aspirantes', 'inscritos', 'en', 'el', 'proceso', 'selectivo', 'de', 'coordinador', 'de', 'la', 'transformación', 'en']","{'Felicidad': 49.58077371120453, 'Tristeza': 50.41922926902771}",0.0
1,alerta chiapas sasil de león ,"['alerta', 'chiapas', 'sasil', 'de', 'león']","{'Felicidad': 31.20650351047516, 'Tristeza': 68.79348754882812}",0.0
2,sasil de león   ,"['sasil', 'de', 'león']","{'Felicidad': 54.63131070137024, 'Tristeza': 45.36869525909424}",0.0
3,pamela hernández sasil de león  roberto albores gleason y marden camacho plácido morales lo hará por la noche,"['pamela', 'hernández', 'sasil', 'de', 'león', 'roberto', 'albores', 'gleason', 'y', 'marden', 'camacho', 'plácido', 'morales', 'lo', 'hará', 'por', 'la', 'noche']","{'Felicidad': 50.19383430480957, 'Tristeza': 49.806174635887146}",0.0
4,personas   ,['personas'],"{'Felicidad': 57.9157292842865, 'Tristeza': 42.0842707157135}",0.0
5,seguido por carmen patricia armendáriz y 1 más haz clic para seguir sasildeleon chiapaneca senadora de la república juntos lograremos la cuarta transformación del país ,"['seguido', 'por', 'carmen', 'patricia', 'armendáriz', 'y', '1', 'más', 'haz', 'clic', 'para', 'seguir', 'sasildeleon', 'chiapaneca', 'senadora', 'de', 'la', 'república', 'juntos', 'lograremos', 'la', 'cuarta', 'transformación', 'del', 'país']","{'Felicidad': 41.6874885559082, 'Tristeza': 58.312517404556274}",0.0
6,ver todo   ,"['ver', 'todo']","{'Felicidad': 31.730318069458008, 'Tristeza': 68.26967597007751}",0.0
7,heraldo radio   y,"['heraldo', 'radio', 'y']","{'Felicidad': 62.34658360481262, 'Tristeza': 37.653422355651855}",0.0
8,columna informativa sasil de león ,"['columna', 'informativa', 'sasil', 'de', 'león']","{'Felicidad': 55.20966649055481, 'Tristeza': 44.79033350944519}",0.0
9,la política online méxico sasil de león del pes armendáriz también levantó la mano más,"['la', 'política', 'online', 'méxico', 'sasil', 'de', 'león', 'del', 'pes', 'armendáriz', 'también', 'levantó', 'la', 'mano', 'más']","{'Felicidad': 41.63738191127777, 'Tristeza': 58.36262106895447}",0.0
10,liliana garcía albores sasil de león ,"['liliana', 'garcía', 'albores', 'sasil', 'de', 'león']","{'Felicidad': 52.72345542907715, 'Tristeza': 47.27654457092285}",0.0
11,liliana garcía albores sasil de león ,"['liliana', 'garcía', 'albores', 'sasil', 'de', 'león']","{'Felicidad': 50.762516260147095, 'Tristeza': 49.237486720085144}",0.0
12,sayuri gómez sasil de león ,"['sayuri', 'gómez', 'sasil', 'de', 'león']","{'Felicidad': 42.84328818321228, 'Tristeza': 57.15671181678772}",0.0
13,daniel gamboa sasil de león villard,"['daniel', 'gamboa', 'sasil', 'de', 'león', 'villard']","{'Felicidad': 55.52980899810791, 'Tristeza': 44.47018802165985}",0.0
14,sasil de león mostrar más  ,"['sasil', 'de', 'león', 'mostrar', 'más']","{'Felicidad': 49.06492233276367, 'Tristeza': 50.93507766723633}",0.0
15,"la carnala mayor sasil de león 
nada que entusiasme y si ramírez es el más fuerte estamos jodidos","['la', 'carnala', 'mayor', 'sasil', 'de', 'león', 'nada', 'que', 'entusiasme', 'y', 'si', 'ramírez', 'es', 'el', 'más', 'fuerte', 'estamos', 'jodidos']","{'Felicidad': 40.23320972919464, 'Tristeza': 59.7667932510376}",0.0
16,libertad en chiapas   acompaña al gobernador rutilio escandón en el desfile cívico militar,"['libertad', 'en', 'chiapas', 'acompaña', 'al', 'gobernador', 'rutilio', 'escandón', 'en', 'el', 'desfile', 'cívico', 'militar']","{'Felicidad': 61.785006523132324, 'Tristeza': 38.21499049663544}",0.0
17,sayuri gómez sasil de león ,"['sayuri', 'gómez', 'sasil', 'de', 'león']","{'Felicidad': 55.22218942642212, 'Tristeza': 44.77781653404236}",0.0
18,libertad en chiapas   ,"['libertad', 'en', 'chiapas']","{'Felicidad': 63.380688428878784, 'Tristeza': 36.619311571121216}",0.0
19,jluis sasil de león ,"['j', 'luis', 'sasil', 'de', 'león']","{'Felicidad': 51.85932517051697, 'Tristeza': 48.14067780971527}",0.0
20,liliana garcía albores sasil de león tiempo de mujeres,"['liliana', 'garcía', 'albores', 'sasil', 'de', 'león', 'tiempo', 'de', 'mujeres']","{'Felicidad': 35.055530071258545, 'Tristeza': 64.94446992874146}",0.0
21,mercedes de jesús mazariegos morales   ,"['mercedes', 'de', 'jesús', 'mazariegos', 'morales']","{'Felicidad': 51.50015950202942, 'Tristeza': 48.49983751773834}",0.0
22,max yong sasil de león ,"['max', 'yong', 'sasil', 'de', 'león']","{'Felicidad': 66.88955426216125, 'Tristeza': 33.110448718070984}",0.0
23,info chiapas oaxaca sasil de león acompaña al gobernador rutilio escandón en el desfile cívico militar,"['info', 'chiapas', 'oaxaca', 'sasil', 'de', 'león', 'acompaña', 'al', 'gobernador', 'rutilio', 'escandón', 'en', 'el', 'desfile', 'cívico', 'militar']","{'Felicidad': 57.42822885513306, 'Tristeza': 42.571768164634705}",0.0
24,fundación resplandece sasil de leon ,"['fundación', 'resplandece', 'sasil', 'de', 'leon']","{'Felicidad': 47.639939188957214, 'Tristeza': 52.36005783081055}",0.0
25,hector garcía sasil de león ,"['hector', 'garcía', 'sasil', 'de', 'león']","{'Felicidad': 46.16173207759857, 'Tristeza': 53.83827090263367}",0.0
26,columna informativa sasil de león  la dra claudia sheinbaum regresa a la dra claudia sheinbaum regresa a nuestro amado estado y estamos muy contentos con su visita en compañía de toño santos preparamos todo para celebrar ,"['columna', 'informativa', 'sasil', 'de', 'león', 'la', 'dra', 'claudia', 'sheinbaum', 'regresa', 'a', 'la', 'dra', 'claudia', 'sheinbaum', 'regresa', 'a', 'nuestro', 'amado', 'estado', 'y', 'estamos', 'muy', 'contentos', 'con', 'su', 'visita', 'en', 'compañía', 'de', 'toño', 'santos', 'preparamos', 'todo', 'para', 'celebrar']","{'Felicidad': 48.97976815700531, 'Tristeza': 51.02022886276245}",0.0
27,marsalxavier sasil de león aspira a la gubernatura de chiapas en 2024,"['marsalxavier', 'sasil', 'de', 'león', 'aspira', 'a', 'la', 'gubernatura', 'de', 'chiapas', 'en', '2024']","{'Felicidad': 51.641154289245605, 'Tristeza': 48.35884869098663}",0.0
28,info chiapas oaxaca sasil de león ,"['info', 'chiapas', 'oaxaca', 'sasil', 'de', 'león']","{'Felicidad': 54.65767979621887, 'Tristeza': 45.34231722354889}",0.0
29,libertad en chiapas sasil de león ,"['libertad', 'en', 'chiapas', 'sasil', 'de', 'león']","{'Felicidad': 61.237263679504395, 'Tristeza': 38.762736320495605}",0.0
30,libertad en chiapas sasil de león ,"['libertad', 'en', 'chiapas', 'sasil', 'de', 'león']","{'Felicidad': 59.93064641952515, 'Tristeza': 40.06934463977814}",0.0
31,cuarto poder acompaña sasil de león a escandón en palacio estatal orgullosa de ser mexicana la senadora sasil de león acompañó al gobernador rutilio escandón cadenas a dar el tradicional grito de independencia desde el balcón principal del palacio de gobierno de ,"['cuarto', 'poder', 'acompaña', 'sasil', 'de', 'león', 'a', 'escandón', 'en', 'palacio', 'estatal', 'orgullosa', 'de', 'ser', 'mexicana', 'la', 'senadora', 'sasil', 'de', 'león', 'acompañó', 'al', 'gobernador', 'rutilio', 'escandón', 'cadenas', 'a', 'dar', 'el', 'tradicional', 'grito', 'de', 'independencia', 'desde', 'el', 'balcón', 'principal', 'del', 'palacio', 'de', 'gobierno', 'de']","{'Felicidad': 53.21923494338989, 'Tristeza': 46.78076505661011}",0.0
32,cuarto poder es tiempo de las mujeres reitera sasil de león tras el anuncio de la convocatoria para encabezar la coordinación de la defensa de la transformación en chiapas la senadora sasil de león dijo estar lista para encabezar este movimiento y seguir ,"['cuarto', 'poder', 'es', 'tiempo', 'de', 'las', 'mujeres', 'reitera', 'sasil', 'de', 'león', 'tras', 'el', 'anuncio', 'de', 'la', 'convocatoria', 'para', 'encabezar', 'la', 'coordinación', 'de', 'la', 'defensa', 'de', 'la', 'transformación', 'en', 'chiapas', 'la', 'senadora', 'sasil', 'de', 'león', 'dijo', 'estar', 'lista', 'para', 'encabezar', 'este', 'movimiento', 'y', 'seguir']","{'Felicidad': 43.682271242141724, 'Tristeza': 56.317728757858276}",0.0
33,sasil de león cita dra claudia sheinbaum claudiashein,"['sasil', 'de', 'león', 'cita', 'dra', 'claudia', 'sheinbaum', 'claudiashein']","{'Felicidad': 51.04666352272034, 'Tristeza': 48.95334243774414}",0.0
34,sasil de león    deseo que pases un gran día rodeado de tu familia y amigos que hoy y siempre se cumplan todos los anhelos de tu corazón,"['sasil', 'de', 'león', 'deseo', 'que', 'pases', 'un', 'gran', 'día', 'rodeado', 'de', 'tu', 'familia', 'y', 'amigos', 'que', 'hoy', 'y', 'siempre', 'se', 'cumplan', 'todos', 'los', 'anhelos', 'de', 'tu', 'corazón']","{'Felicidad': 56.31880760192871, 'Tristeza': 43.68119239807129}",0.0
35,sasil de león youtubecom en vivo milenio noticias para,"['sasil', 'de', 'león', 'youtube', 'com', 'en', 'vivo', 'milenio', 'noticias', 'para']","{'Felicidad': 46.66828215122223, 'Tristeza': 53.33172082901001}",0.0
36,"stella velasco sasil de león quiere ir por la gubernatura de chiapas que lo haga vía su partido el pes no por morena
la señora se disfraza de izquierda y no lo es 

más allá de san cristóbal nadie la ubica en los demás municipios","['stella', 'velasco', 'sasil', 'de', 'león', 'quiere', 'ir', 'por', 'la', 'gubernatura', 'de', 'chiapas', 'que', 'lo', 'haga', 'vía', 'su', 'partido', 'el', 'pes', 'no', 'por', 'morena', 'la', 'señora', 'se', 'disfraza', 'de', 'izquierda', 'y', 'no', 'lo', 'es', 'más', 'allá', 'de', 'san', 'cristóbal', 'nadie', 'la', 'ubica', 'en', 'los', 'demás', 'municipios']","{'Felicidad': 65.44607281684875, 'Tristeza': 34.553927183151245}",-0.5267
0,"méxico está listo para tener a la primera presidenta es tiempo de mujeres claudia sheinbaum es nuestra coordinadora nacional para la defensa de la cuarta transformación
es un honor estar con la mejor","['méxico', 'está', 'listo', 'para', 'tener', 'a', 'la', 'primera', 'presidenta', 'es', 'tiempo', 'de', 'mujeres', 'claudia', 'sheinbaum', 'es', 'nuestra', 'coordinadora', 'nacional', 'para', 'la', 'defensa', 'de', 'la', 'cuarta', 'transformación', 'es', 'un', 'honor', 'estar', 'con', 'la', 'mejor']","{'Felicidad': 55.8357298374176, 'Tristeza': 44.164276123046875}",0.4939
1,par de esperpentos corruptas y títeres del paracaidista de palacio nacional,"['par', 'de', 'esperpentos', 'corruptas', 'y', 'títeres', 'del', 'paracaidista', 'de', 'palacio', 'nacional']","{'Felicidad': 48.74786734580994, 'Tristeza': 51.252126693725586}",0.0
2,y la entrada del narco a tu estado,"['y', 'la', 'entrada', 'del', 'narco', 'a', 'tu', 'estado']","{'Felicidad': 38.7334406375885, 'Tristeza': 61.2665593624115}",0.0
3,,[],"{'Felicidad': 33.51507782936096, 'Tristeza': 66.48492217063904}",0.0
4,saludos senadora próxima gobernadora,"['saludos', 'senadora', 'próxima', 'gobernadora']","{'Felicidad': 46.84029519557953, 'Tristeza': 53.15970182418823}",0.0
5,es tiempo de las mujeres,"['es', 'tiempo', 'de', 'las', 'mujeres']","{'Felicidad': 47.685256600379944, 'Tristeza': 52.31474041938782}",0.0
6,,[],"{'Felicidad': 58.78605842590332, 'Tristeza': 41.21394157409668}",0.0
7,cómo ve doctora,"['cómo', 've', 'doctora']","{'Felicidad': 38.121214509010315, 'Tristeza': 61.878788471221924}",0.0
8,lifestylelatinocom,"['lifestylelatino', 'com']","{'Felicidad': 45.01123130321503, 'Tristeza': 54.988765716552734}",0.0
9,ni loco votamos nuevamente por usted que ha hecho por chiapas,"['ni', 'loco', 'votamos', 'nuevamente', 'por', 'usted', 'que', 'ha', 'hecho', 'por', 'chiapas']","{'Felicidad': 47.58295714855194, 'Tristeza': 52.41703987121582}",0.34
10,en chiapas también queremos coordinadora,"['en', 'chiapas', 'también', 'queremos', 'coordinadora']","{'Felicidad': 62.12564706802368, 'Tristeza': 37.87435293197632}",0.0
11,miserables y mil veces malditos bien buenos para vivir del erario pero malos para dar resultados acuérdense de la frontera motozintla  comalapa el porvenir mazapa bejucal la grandeza chicomuselo bellavista,"['miserables', 'y', 'mil', 'veces', 'malditos', 'bien', 'buenos', 'para', 'vivir', 'del', 'erario', 'pero', 'malos', 'para', 'dar', 'resultados', 'acuérdense', 'de', 'la', 'frontera', 'motozintla', 'comalapa', 'el', 'porvenir', 'mazapa', 'bejucal', 'la', 'grandeza', 'chicomuselo', 'bellavista']","{'Felicidad': 39.14726972579956, 'Tristeza': 60.85272431373596}",0.0
12,tus ideales de izquierda o derecha,"['tus', 'ideales', 'de', 'izquierda', 'o', 'derecha']","{'Felicidad': 37.52590715885162, 'Tristeza': 62.474095821380615}",0.0
13,gobernadora,['gobernadora'],"{'Felicidad': 61.208051443099976, 'Tristeza': 38.79195153713226}",0.0
14,éxitos senadora,"['éxitos', 'senadora']","{'Felicidad': 37.71770000457764, 'Tristeza': 62.282294034957886}",0.0
15,mejor ayuden al estado y dejen de gastar recursos en cargar su candidate usando el dinero del pueblo,"['mejor', 'ayuden', 'al', 'estado', 'y', 'dejen', 'de', 'gastar', 'recursos', 'en', 'cargar', 'su', 'candidate', 'usando', 'el', 'dinero', 'del', 'pueblo']","{'Felicidad': 54.611337184906006, 'Tristeza': 45.38866579532623}",0.0
16,jajajajajaja la empleada del cártel de sinaloa,"['jajajajajaja', 'la', 'empleada', 'del', 'cártel', 'de', 'sinaloa']","{'Felicidad': 53.074461221694946, 'Tristeza': 46.925538778305054}",0.0
17,tremenda pendejez nadie dice nada de las situaciones en chiapas y ellos siguen diciendo que van por la continuidad de la 4t al final del día van por su hueso,"['tremenda', 'pendejez', 'nadie', 'dice', 'nada', 'de', 'las', 'situaciones', 'en', 'chiapas', 'y', 'ellos', 'siguen', 'diciendo', 'que', 'van', 'por', 'la', 'continuidad', 'de', 'la', '4t', 'al', 'final', 'del', 'día', 'van', 'por', 'su', 'hueso']","{'Felicidad': 68.18364262580872, 'Tristeza': 31.816354393959045}",0.0
18,quieres darle continuidad a 166000 homicidios dolosos darle continuidad a la impunidad con que operan los carteles en chiapas continuidad a grupos como los motonetos o el machete el chiste es seguir viviendo del erario aunque ello implique servilismo sin una visión propia,"['quieres', 'darle', 'continuidad', 'a', '166000', 'homicidios', 'dolosos', 'darle', 'continuidad', 'a', 'la', 'impunidad', 'con', 'que', 'operan', 'los', 'carteles', 'en', 'chiapas', 'continuidad', 'a', 'grupos', 'como', 'los', 'motonetos', 'o', 'el', 'machete', 'el', 'chiste', 'es', 'seguir', 'viviendo', 'del', 'erario', 'aunque', 'ello', 'implique', 'servilismo', 'sin', 'una', 'visión', 'propia']","{'Felicidad': 62.141698598861694, 'Tristeza': 37.858301401138306}",-0.5574
19,lifestylelatinocom,"['lifestylelatino', 'com']","{'Felicidad': 75.26872158050537, 'Tristeza': 24.73127990961075}",0.0
20,"ya vimos el desfile narco 

espectacular transformación llevan a cabo en morena","['ya', 'vimos', 'el', 'desfile', 'narco', 'espectacular', 'transformación', 'llevan', 'a', 'cabo', 'en', 'morena']","{'Felicidad': 56.14801645278931, 'Tristeza': 43.85198652744293}",0.0
21,arriba el narco,"['arriba', 'el', 'narco']","{'Felicidad': 62.33108043670654, 'Tristeza': 37.66891956329346}",0.0
22,no rata no,"['no', 'rata', 'no']","{'Felicidad': 33.4168940782547, 'Tristeza': 66.58310294151306}",-0.5267
23,no sasil tu no perteneces a ese proyecto tu te colgaste junto con lalo ramirez cuando vieron que todo apuntaba por ese lado y vieron el hartazgo del pueblo jugaron bien pero no estamos tan pendejos regresa al verde desde donde apedreaste este proyecto,"['no', 'sasil', 'tu', 'no', 'perteneces', 'a', 'ese', 'proyecto', 'tu', 'te', 'colgaste', 'junto', 'con', 'lalo', 'ramirez', 'cuando', 'vieron', 'que', 'todo', 'apuntaba', 'por', 'ese', 'lado', 'y', 'vieron', 'el', 'hartazgo', 'del', 'pueblo', 'jugaron', 'bien', 'pero', 'no', 'estamos', 'tan', 'pendejos', 'regresa', 'al', 'verde', 'desde', 'donde', 'apedreaste', 'este', 'proyecto']","{'Felicidad': 51.5533447265625, 'Tristeza': 48.4466552734375}",-0.6808
24,un parásito que ha vivido de la política usted no representa la transformación más que la de su propio bolsillo,"['un', 'parásito', 'que', 'ha', 'vivido', 'de', 'la', 'política', 'usted', 'no', 'representa', 'la', 'transformación', 'más', 'que', 'la', 'de', 'su', 'propio', 'bolsillo']","{'Felicidad': 58.313703536987305, 'Tristeza': 41.686299443244934}",0.0516
25,no gracias y aparte también fue complice del exgobernador corrupto ladron,"['no', 'gracias', 'y', 'aparte', 'también', 'fue', 'complice', 'del', 'ex', 'gobernador', 'corrupto', 'ladron']","{'Felicidad': 45.15054523944855, 'Tristeza': 54.849451780319214}",-0.296
26,,[],"{'Felicidad': 52.92375087738037, 'Tristeza': 47.07624614238739}",0.0
27,el pueblo d chiapas ha sufrido durante mucho tiempo las injusticias d anteriores gobiernos corruptos y abusivos pero con,"['el', 'pueblo', 'd', 'chiapas', 'ha', 'sufrido', 'durante', 'mucho', 'tiempo', 'las', 'injusticias', 'd', 'anteriores', 'gobiernos', 'corruptos', 'y', 'abusivos', 'pero', 'con']","{'Felicidad': 44.196900725364685, 'Tristeza': 55.803102254867554}",0.34
28,la corrupta quiere seguir robando pero a manos llenas algo que decir de los acontecimientos en chiapas señaladas directamente al gobernador o al presidente por la estrategia fallida inepta,"['la', 'corrupta', 'quiere', 'seguir', 'robando', 'pero', 'a', 'manos', 'llenas', 'algo', 'que', 'decir', 'de', 'los', 'acontecimientos', 'en', 'chiapas', 'señaladas', 'directamente', 'al', 'gobernador', 'o', 'al', 'presidente', 'por', 'la', 'estrategia', 'fallida', 'inepta']","{'Felicidad': 57.686543464660645, 'Tristeza': 42.313459515571594}",0.0
29,eres una basura,"['eres', 'una', 'basura']","{'Felicidad': 48.495492339134216, 'Tristeza': 51.504504680633545}",0.0
30,cita,['cita'],"{'Felicidad': 63.43762278556824, 'Tristeza': 36.56238317489624}",0.0
