,texto,tokens,sentimiento
0,"méxico está listo para tener a la primera presidenta es tiempo de mujeres claudia sheinbaum es nuestra coordinadora nacional para la defensa de la cuarta transformación
es un honor estar con la mejor","['méxico', 'está', 'listo', 'para', 'tener', 'a', 'la', 'primera', 'presidenta', 'es', 'tiempo', 'de', 'mujeres', 'claudia', 'sheinbaum', 'es', 'nuestra', 'coordinadora', 'nacional', 'para', 'la', 'defensa', 'de', 'la', 'cuarta', 'transformación', 'es', 'un', 'honor', 'estar', 'con', 'la', 'mejor']",0.4939
1,trabajar por más de una década en favor de las causas de las y los chiapanecos ha sido un enorme privilegio estos cinco años como la única mujer senadora de la entidad he recibido el cariño de mi gente y ello me ha inspirado para seguir transformando a chiapas,"['trabajar', 'por', 'más', 'de', 'una', 'década', 'en', 'favor', 'de', 'las', 'causas', 'de', 'las', 'y', 'los', 'chiapanecos', 'ha', 'sido', 'un', 'enorme', 'privilegio', 'estos', 'cinco', 'años', 'como', 'la', 'única', 'mujer', 'senadora', 'de', 'la', 'entidad', 'he', 'recibido', 'el', 'cariño', 'de', 'mi', 'gente', 'y', 'ello', 'me', 'ha', 'inspirado', 'para', 'seguir', 'transformando', 'a', 'chiapas']",0.7579
2,"por la continuidad de la transformación en chiapas
vamos al llamado histórico e inédito de nuestro movimiento","['por', 'la', 'continuidad', 'de', 'la', 'transformación', 'en', 'chiapas', 'vamos', 'al', 'llamado', 'histórico', 'e', 'inédito', 'de', 'nuestro', 'movimiento']",0.0
3, comenzamos la semana dialogando con,"['comenzamos', 'la', 'semana', 'dialogando', 'con']",0.0
4,cuando me pregunten si me registraré habrá señales,"['cuando', 'me', 'pregunten', 'si', 'me', 'registraré', 'habrá', 'señales']",0.0
6,es tiempo de mujeres,"['es', 'tiempo', 'de', 'mujeres']",0.0
7,estuve con las y los jóvenes que participaron en el tercer encuentro de autoridades jóvenes en ciudad de méxico me da muchísimo gusto ver que el relevo generacional se ha construido con compromiso y entusiasmo para seguir transformando nuestro querido méxico y chiapas,"['estuve', 'con', 'las', 'y', 'los', 'jóvenes', 'que', 'participaron', 'en', 'el', 'tercer', 'encuentro', 'de', 'autoridades', 'jóvenes', 'en', 'ciudad', 'de', 'méxico', 'me', 'da', 'muchísimo', 'gusto', 'ver', 'que', 'el', 'relevo', 'generacional', 'se', 'ha', 'construido', 'con', 'compromiso', 'y', 'entusiasmo', 'para', 'seguir', 'transformando', 'nuestro', 'querido', 'méxico', 'y', 'chiapas']",0.34
8,hoy en el,"['hoy', 'en', 'el']",0.0
9,la dra claudia sheinbaum regresa a nuestro amado estado y estamos muy contentos con su visita en compañía de toño santos preparamos todo para celebrar su nombramiento como coordinadora de la defensa de la cuarta transformación,"['la', 'dra', 'claudia', 'sheinbaum', 'regresa', 'a', 'nuestro', 'amado', 'estado', 'y', 'estamos', 'muy', 'contentos', 'con', 'su', 'visita', 'en', 'compañía', 'de', 'toño', 'santos', 'preparamos', 'todo', 'para', 'celebrar', 'su', 'nombramiento', 'como', 'coordinadora', 'de', 'la', 'defensa', 'de', 'la', 'cuarta', 'transformación']",0.0
10,en el marco de acciones por el día internacional de la mujer indígena que en chiapas encabeza el gobernador rutilio escandón cadenas reconozco la labor disciplinada y amorosa de las mujeres en méxico particularmente las indígenas de chiapas mi casa para el que trabajamos,"['en', 'el', 'marco', 'de', 'acciones', 'por', 'el', 'día', 'internacional', 'de', 'la', 'mujer', 'indígena', 'que', 'en', 'chiapas', 'encabeza', 'el', 'gobernador', 'rutilio', 'escandón', 'cadenas', 'reconozco', 'la', 'labor', 'disciplinada', 'y', 'amorosa', 'de', 'las', 'mujeres', 'en', 'méxico', 'particularmente', 'las', 'indígenas', 'de', 'chiapas', 'mi', 'casa', 'para', 'el', 'que', 'trabajamos']",0.0
