,texto,tokens
2,buen inicio de semana hoy por la mañana en representación de nuestro alcalde tuve el honor de ser partícipe en la ceremonia de inauguración de la conmemoración del 60 aniversario de la escuela secundaria técnica no 4 idolina gaona de cosio te comparto este momento gdl,"['buen', 'inicio', 'de', 'semana', 'hoy', 'por', 'la', 'mañana', 'en', 'representación', 'de', 'nuestro', 'alcalde', 'tuve', 'el', 'honor', 'de', 'ser', 'partícipe', 'en', 'la', 'ceremonia', 'de', 'inauguración', 'de', 'la', 'conmemoración', 'del', '60', 'aniversario', 'de', 'la', 'escuela', 'secundaria', 'técnica', 'no', '4', 'idolina', 'gaona', 'de', 'cosio', 'te', 'comparto', 'este', 'momento', 'gdl']"
6,acompáñanos a la inauguración de la segunda edición de dónde te sorprenderás con el talento de más de 50 obras creadas por juventudes tapatías a partir de diferentes técnicas la cita es el próximo viernes a las 1230 en el palacio municipal de guadalajara les esperamos somosarte,"['acompáñanos', 'a', 'la', 'inauguración', 'de', 'la', 'segunda', 'edición', 'de', 'dónde', 'te', 'sorprenderás', 'con', 'el', 'talento', 'de', 'más', 'de', '50', 'obras', 'creadas', 'por', 'juventudes', 'tapatías', 'a', 'partir', 'de', 'diferentes', 'técnicas', 'la', 'cita', 'es', 'el', 'próximo', 'viernes', 'a', 'las', '1230', 'en', 'el', 'palacio', 'municipal', 'de', 'guadalajara', 'les', 'esperamos', 'somosarte']"
10,quién mejor para hablar de ciudades que los mismos alcaldes este año recibiremos a ada colau clara brugada luis donaldo colosio pablo lemus navarro y sergio fajardo para discutir sobre los diferentes modelos y enfoques utilizados en todo el mundo para abordar los problemas comunes que enfrentan las ciudades y regiones metropolitanas filencuentro,"['quién', 'mejor', 'para', 'hablar', 'de', 'ciudades', 'que', 'los', 'mismos', 'alcaldes', 'este', 'año', 'recibiremos', 'a', 'ada', 'colau', 'clara', 'brugada', 'luis', 'donaldo', 'colosio', 'pablo', 'lemus', 'navarro', 'y', 'sergio', 'fajardo', 'para', 'discutir', 'sobre', 'los', 'diferentes', 'modelos', 'y', 'enfoques', 'utilizados', 'en', 'todo', 'el', 'mundo', 'para', 'abordar', 'los', 'problemas', 'comunes', 'que', 'enfrentan', 'las', 'ciudades', 'y', 'regiones', 'metropolitanas', 'filencuentro']"
26,conocida como desde vista aérea de fondo y la construcción del luciendo así después del paso del por glorieta,"['conocida', 'como', 'desde', 'vista', 'aérea', 'de', 'fondo', 'y', 'la', 'construcción', 'del', 'luciendo', 'así', 'después', 'del', 'paso', 'del', 'por', 'glorieta']"
32,a través de la queremos devolver a institucionalidad que durante muchos años tuvo nuestra coordinación por primera vez en la formación inicial del bombero las y los cadetes dedican un espacio para ensayar las marchas y toques libres esto con el fin que una vez concluida su formación puedan integrarse a la banda de guerra música,"['a', 'través', 'de', 'la', 'queremos', 'devolver', 'a', 'institucionalidad', 'que', 'durante', 'muchos', 'años', 'tuvo', 'nuestra', 'coordinación', 'por', 'primera', 'vez', 'en', 'la', 'formación', 'inicial', 'del', 'bombero', 'las', 'y', 'los', 'cadetes', 'dedican', 'un', 'espacio', 'para', 'ensayar', 'las', 'marchas', 'y', 'toques', 'libres', 'esto', 'con', 'el', 'fin', 'que', 'una', 'vez', 'concluida', 'su', 'formación', 'puedan', 'integrarse', 'a', 'la', 'banda', 'de', 'guerra', 'música']"
35,sabias que este 14 de octubre podremos disfrutar el anular de sol es por ello que te compartimos las recomendaciones del para observar este fenómeno natural con métodos seguros para no dañar tu vista disfrutemos el eclipse eclipse,"['sabias', 'que', 'este', '14', 'de', 'octubre', 'podremos', 'disfrutar', 'el', 'anular', 'de', 'sol', 'es', 'por', 'ello', 'que', 'te', 'compartimos', 'las', 'recomendaciones', 'del', 'para', 'observar', 'este', 'fenómeno', 'natural', 'con', 'métodos', 'seguros', 'para', 'no', 'dañar', 'tu', 'vista', 'disfrutemos', 'el', 'eclipse', 'eclipse']"
38,la solidaridad es algo que nos ha caracterizado siempre a los mexicanos y ahora no es la excepción por eso estamos recibiendo sus donativos en para los damnificados por el huracán lidia los invitamos a mostrar solidaridad y cariño con todas las personas afectadas estaremos recibiendo sus donaciones en eulogio parra 2539 accionesquenosunen,"['la', 'solidaridad', 'es', 'algo', 'que', 'nos', 'ha', 'caracterizado', 'siempre', 'a', 'los', 'mexicanos', 'y', 'ahora', 'no', 'es', 'la', 'excepción', 'por', 'eso', 'estamos', 'recibiendo', 'sus', 'donativos', 'en', 'para', 'los', 'damnificados', 'por', 'el', 'huracán', 'lidia', 'los', 'invitamos', 'a', 'mostrar', 'solidaridad', 'y', 'cariño', 'con', 'todas', 'las', 'personas', 'afectadas', 'estaremos', 'recibiendo', 'sus', 'donaciones', 'en', 'eulogio', 'parra', '2539', 'accionesquenosunen']"
47,las cuadrillas de servicios públicos limpiaron las calles después de la mira todo el trabajo que hicieron romería2023,"['las', 'cuadrillas', 'de', 'servicios', 'públicos', 'limpiaron', 'las', 'calles', 'después', 'de', 'la', 'mira', 'todo', 'el', 'trabajo', 'que', 'hicieron', 'romería2023']"
50,cerramos gdl disueña con broche de oro que increíble haber sido parte de este proyecto en el que pude ver de cerca el gran talento de todos los participantesgracias por apoyar este tipo de iniciativas que inspiran al talento joven a perseguir sus sueños convirtiendo su inspiración en maravillosas piezas y que a la vez impulsan el diseño mexicano cuál fue tu reto favorito diseñomexicano,"['cerramos', 'gdl', 'disueña', 'con', 'broche', 'de', 'oro', 'que', 'increíble', 'haber', 'sido', 'parte', 'de', 'este', 'proyecto', 'en', 'el', 'que', 'pude', 'ver', 'de', 'cerca', 'el', 'gran', 'talento', 'de', 'todos', 'los', 'participantesgracias', 'por', 'apoyar', 'este', 'tipo', 'de', 'iniciativas', 'que', 'inspiran', 'al', 'talento', 'joven', 'a', 'perseguir', 'sus', 'sueños', 'convirtiendo', 'su', 'inspiración', 'en', 'maravillosas', 'piezas', 'y', 'que', 'a', 'la', 'vez', 'impulsan', 'el', 'diseño', 'mexicano', 'cuál', 'fue', 'tu', 'reto', 'favorito', 'diseñomexicano']"
53,si lo tuyo es apoyar a las juventudes promesas del arte tapatío no te puedes perder esta expo ya llegó la segunda edición de encuéntrala del 16 al 31 de octubre en el palacio municipal de guadalajara ahí nos vemos somosarte,"['si', 'lo', 'tuyo', 'es', 'apoyar', 'a', 'las', 'juventudes', 'promesas', 'del', 'arte', 'tapatío', 'no', 'te', 'puedes', 'perder', 'esta', 'expo', 'ya', 'llegó', 'la', 'segunda', 'edición', 'de', 'encuéntrala', 'del', '16', 'al', '31', 'de', 'octubre', 'en', 'el', 'palacio', 'municipal', 'de', 'guadalajara', 'ahí', 'nos', 'vemos', 'somosarte']"
56,guadalajara en 10 fotografías sus calles albergan miles de momentos únicos para vivir foto,"['guadalajara', 'en', '10', 'fotografías', 'sus', 'calles', 'albergan', 'miles', 'de', 'momentos', 'únicos', 'para', 'vivir', 'foto']"
59,fernando gonzález gortázarpuerta de zapopan 1984desmanteladoestuvo ubicado sobre la av ávila camacho a un costado de plaza patriaexiste la promesa del ayuntamiento de zapopan de reinstalarlofotografía libro fernando gonzález gortázar americo arte editore fernandogonzálezgortázar,"['fernando', 'gonzález', 'gortázarpuerta', 'de', 'zapopan', '1984desmanteladoestuvo', 'ubicado', 'sobre', 'la', 'av', 'ávila', 'camacho', 'a', 'un', 'costado', 'de', 'plaza', 'patriaexiste', 'la', 'promesa', 'del', 'ayuntamiento', 'de', 'zapopan', 'de', 'reinstalarlofotografía', 'libro', 'fernando', 'gonzález', 'gortázar', 'americo', 'arte', 'editore', 'fernandogonzálezgortázar']"
