"x1lliihq","x1lliihq 2","x1i10hfl href","x193iq5w","html-span","xpdipgo src","x1i10hfl","x1i10hfl href 2","_aacl","x1i10hfl 3","x1i10hfl href 4","_a9ze","x193iq5w 2","_aaqe"
"Me gusta","Comentar","","","","","","","","","","","",""
"","","https://www.instagram.com/p/CyeqjFFO6tg/liked_by/","Me gusta","2","","","","","","","","",""
"Opciones del comentario","Me gusta","https://www.instagram.com/rafael_barrios_davila/","Ver traducción","","https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/387693025_1711504649361671_7850877289428728051_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=111&_nc_ohc=vf2hPtUOWHwAX_ox9HV&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfB4lmfwg_8mZL3fZ-YhyiXoDzyKUM72FYi1JcRuTaZgpA&oe=6532FDF6&_nc_sid=fc8dfb","rafael_barrios_davila","https://www.instagram.com/rafael_barrios_davila/","Buen inicio de semana! Hoy por la mañana, en representación de nuestro Alcalde  , tuve el honor de ser partícipe en la Ceremonia de Inauguración de la Conmemoración del 60 Aniversario de la Escuela Secundaria Técnica No 4 “Idolina Gaona de Cosio”. Te comparto este momento:","#Gdl","https://www.instagram.com/explore/tags/gdl/","1 h","1 Me gusta",""
"","","https://www.instagram.com/p/CyeqjFFO6tg/","","","","","","","","","","","Hace una hora"
"Se limitaron los comentarios en esta publicación.","","","","","","","","","","","","",""
"Les gusta a  y","","https://www.instagram.com/p/Cyelg1cuYqx/liked_by/","otras personas","","","","https://www.instagram.com/dharma_shayl/","","","","","dharma_shayl",""
"","","https://www.instagram.com/juventudesgdl/","Ver traducción","","https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/356801897_254646110630023_3058667687183736098_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=ySbK6TMOFvAAX92e78O&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfCBL3DzliqbJzsGXdA-vscXeiCeDIg522c2lElzC1gm3w&oe=65321C46&_nc_sid=fc8dfb","juventudesgdl","https://www.instagram.com/juventudesgdl/","Acompáñanos a la inauguración de la segunda edición de , dónde te sorprenderás con el talento de más de 50 obras creadas por juventudes tapatías a partir de diferentes técnicas. La cita es el próximo viernes a las 12:30 en el Palacio Municipal de Guadalajara. ¡Les esperamos! 🤩🙌🏼🎨 ......","#SomosArte","https://www.instagram.com/explore/tags/somosarte/","1 h","",""
"","","https://www.instagram.com/p/Cyelg1cuYqx/","","","","","","","","","","","Hace una hora"
"Emoji","","","","","","","","","","","","",""
"","","https://www.instagram.com/p/CyeaZGiLKfW/liked_by/","1 Me gusta","","","","","","","","","",""
"","","https://www.instagram.com/filencuentro/","Ver traducción","","https://instagram.fmex1-1.fna.fbcdn.net/v/t51.2885-19/384137930_2042970242729610_2813453534706207168_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=1DQqRRGC4OQAX8rJP3Q&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfBc48oH4JiqPXJaEDyTMjku9BF3Ca1AzlqjSVzajEyWVA&oe=6531F1FA&_nc_sid=fc8dfb","filencuentro","https://www.instagram.com/filencuentro/","¿Quién mejor para hablar de ciudades que los mismos alcaldes? Este año recibiremos a Ada Colau, Clara Brugada, Luis Donaldo Colosio, Pablo Lemus Navarro y Sergio Fajardo, para discutir sobre los diferentes modelos y enfoques utilizados en todo el mundo para abordar los problemas comunes que enfrentan las ciudades y regiones metropolitanas.","#filencuentro","https://www.instagram.com/explore/tags/filencuentro/","3 h","",""
"","","https://www.instagram.com/p/CyeaZGiLKfW/","","","","","","","","","","","Hace 3 horas"
"","","https://www.instagram.com/p/CyeUv6uOOY7/liked_by/","Me gusta","67","","","","","","","","",""
"Opciones del comentario","Me gusta","https://www.instagram.com/juanjosefrangie/","Ver traducción","","https://instagram.fmex1-2.fna.fbcdn.net/v/t51.2885-19/380259403_2059255401078390_6521757698985470647_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=TUaRLIs4DYIAX-Ki7Pv&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfDs3lxSZ9Csns6-8ulxsS5pQSkq2tQRcqeRJeQ8ZwEh4w&oe=6532A869&_nc_sid=fc8dfb","juanjosefrangie","https://www.instagram.com/juanjosefrangie/","Andamos inaugurando, inaugurando e inaugurando obras, y hoy entregamos la avenida Royal Country ☝🏼, una construcción que inició  y que terminamos en esta administración. Gracias a todo el equipo de , la iniciativa privada y el apoyo del gobernador , miles de personas ya cuentan con un camino de primera para transitar por esta zona. Zapopan ha sido reconocido como el primer lugar nacional en calidad de obra pública y se nota, 😁 vean qué padrísima quedó.","","","3 h","Responder",""
"","","https://www.instagram.com/p/CyeUv6uOOY7/","","","","","","","","","","","Hace 4 horas"
"","","https://www.instagram.com/p/CydxErMugc3/liked_by/","Me gusta","31","","","","","","","","",""
