x1lliihq,x1lliihq 3,x1lliihq 4,x1i10hfl href,x193iq5w,html-span,xpdipgo src,x1i10hfl,_aacl,x1i10hfl 2,x1i10hfl href 2,_a9ze,_aaqe,x1i10hfl href 5,xpdipgo src 2,x1i10hfl 5,x1i10hfl href 6,_aacl 2,x1i10hfl href 7,_a9ze 2,x193iq5w 2,x193iq5w 3,x193iq5w 4,_a9yi,x1i10hfl href 8,xpdipgo src 3,x1i10hfl 6,x1i10hfl href 9,_aacl 3,x1i10hfl href 10,_a9ze 3,x1lliihq 6,x1lliihq 7
Me gusta,Compartir publicación,Compartir publicación,,,2716,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://www.instagram.com/p/Cwz6USpr_Ad/liked_by/?hl=es,Me gusta,2323,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verificado,,,https://www.instagram.com/pablolemusn/,Ver traducción,2262,https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/374559868_703952414906767_1550352450307596466_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=lm4EZQSB0wIAX9Le24N&edm=ACWDqb8BAAAA&ccb=7-5&oh=00_AfBEErs--yG-FsDXjH_VVy3iLhu2Ubg6OdUlMUo6MidIBg&oe=6533369B&_nc_sid=ee9879,pablolemusn,"Así como lo hicimos en Zapopan, en Guadalajara nos propusimos ser un gobierno de resultados y cercano con las y los tapatíos, y hoy hemos cumplido.Hemos trabajado bien y de buenas para tener una ciudad con mejores calles, unidades deportivas renovadas, atractivos culturales y espacios públicos de primera calidad, con una inversión de más de 4,000 mdp en infraestructura.Ha sido un gusto hacer equipo con las y los ciudadanos, sigamos avanzando en equipo para tener una Guadalajara de la que todas y todos nos sintamos más orgullosos.¡Ánimo! Vamos bien y se pondrá mejor. 😉",#InformeGDL,https://www.instagram.com/explore/tags/informegdl/?hl=es,5 sem,,,,,,,,,,,,,,,,,,,,,
,,,https://www.instagram.com/p/Cwz6USpr_Ad/?hl=es,,32,,,,,,,5 de septiembre,,,,,,,,,,,,,,,,,,,,
Emoji,,,,,406,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://www.instagram.com/p/CtHVUJrLBnN/liked_by/?hl=es,Me gusta,81,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verificado,Opciones del comentario,Me gusta,https://www.instagram.com/pablolemusn/,Ver traducción,171,https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/374559868_703952414906767_1550352450307596466_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=lm4EZQSB0wIAX9Le24N&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAIV3bjwXroub9BJ_czop4czKsTWWjbJYYobHHLQp7azA&oe=6533369B&_nc_sid=f5838a,pablolemusn,"Recibimos con mucha humildad y agradecimiento los resultados de la encuesta que hoy publica Mural.A los jaliscienses y simpatizantes de Movimiento Ciudadano: toda mi gratitud por su cariño, confianza y respaldo. Vamos a seguir trabajando con todo el ánimo. Estamos a un año de la elección y el reto no será nada fácil, por eso seguir haciendo buenos gobiernos será la clave para salir fortalecidos y ganar.Este resultado positivo sólo podrá concretarse con un proyecto cohesionado, por eso sé que debemos seguir trabajando en la unidad interna para salir fortalecidos.En Jalisco tenemos un Movimiento fuerte y listo, aquí cabemos todas y todos los aspirantes, los liderazgos, los equipos y los ciudadanos que hacen posible este proyecto. Jalisco seguirá siendo naranja ¡Ánimo y a seguir trabajando!",#ÁnimoJalisco,https://www.instagram.com/explore/tags/%C3%A1nimojalisco/?hl=es,19 sem,,https://www.instagram.com/ferstudio_mx/?hl=es,https://instagram.fmex1-2.fna.fbcdn.net/v/t51.2885-19/387268547_670891574999365_4985061172173397246_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=1RG7oT9LsV0AX_rvkRF&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfDVrdvZl0SwNKGKrmUpdjhp2i9XzO-4JQY-XFfPXWITRA&oe=6531E77E&_nc_sid=f5838a,ferstudio_mx,https://www.instagram.com/ferstudio_mx/,Felicidades amigo mucho éxito 👏 estoy con usted.!! animo Jalisco,https://www.instagram.com/p/CtHVUJrLBnN/c/17870395790916330/?hl=es,19 sem,1 Me gusta,Responder,Ver traducción,Ver respuestas (1),https://www.instagram.com/emilio.beta/?hl=es,https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/284260448_581531150169148_7333300331222139321_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=104&_nc_ohc=z3LEU2McF0IAX9Eu-Zn&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfBmy7pm-Kiegbi0KlOxUtrfx43iPckPIV7PpuKXmvPfaQ&oe=6533B0E6&_nc_sid=f5838a,emilio.beta,https://www.instagram.com/emilio.beta/,Vamos a caminar contigo!!! Éxito!,https://www.instagram.com/p/CtHVUJrLBnN/c/17958799286573970/?hl=es,19 sem,Opciones del comentario,Me gusta
,,,https://www.instagram.com/p/CtHVUJrLBnN/?hl=es,,75,,,,,,,5 de junio,,,,,,,,,,,,,,,,,,,,
,,,https://www.instagram.com/p/CrEyCJ6tS-g/liked_by/?hl=es,Me gusta,310,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verificado,Opciones del comentario,Me gusta,https://www.instagram.com/pablolemusn/,Ver traducción,315,https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/374559868_703952414906767_1550352450307596466_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=lm4EZQSB0wIAX9Le24N&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAIV3bjwXroub9BJ_czop4czKsTWWjbJYYobHHLQp7azA&oe=6533369B&_nc_sid=f5838a,pablolemusn,Chequen nomás la  que nos prepararon en San Juan de Dios 🙏❤️. Qué chido recibir estas muestras de cariño de la gente y saber que somos un gran equipo. 🥇🏆Vayan a probarla al Mercado Libertad o mejor conocido como . ¡Ánimo Guadalajara!,#TortaGobernador,https://www.instagram.com/explore/tags/tortagobernador/?hl=es,26 sem,,https://www.instagram.com/valdillo57/?hl=es,https://instagram.fmex1-1.fna.fbcdn.net/v/t51.2885-19/12356566_556624974493834_36399778_a.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=2C58JT14WckAX_kkt2I&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAuz-cRW1mnx9n_aCZqymg4lDRVEh6cAG3Rn5fDZx_IJQ&oe=6533A92B&_nc_sid=f5838a,valdillo57,https://www.instagram.com/valdillo57/,La humildad de los politicos en tiempos electorales,https://www.instagram.com/p/CrEyCJ6tS-g/c/18004406896646276/?hl=es,26 sem,15 Me gusta,Responder,Ver traducción,Ver respuestas (2),https://www.instagram.com/dr.jonathanortegalandon/?hl=es,https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/392931009_1291270868182252_8184291713296415859_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=104&_nc_ohc=9fUBlEHGoHEAX_LwcsE&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfBTonBldYbV0zqhv5VcgCrceFjkLv0rcFKjTZsGLsyikA&oe=653302A8&_nc_sid=f5838a,dr.jonathanortegalandon,https://www.instagram.com/dr.jonathanortegalandon/,Y traz que gana Morena.....😂😂😂😂😂,https://www.instagram.com/p/CrEyCJ6tS-g/c/18015139540563733/?hl=es,26 sem,Opciones del comentario,Me gusta
,,,https://www.instagram.com/p/CrEyCJ6tS-g/?hl=es,,531,,,,,,,15 de abril,,,,,,,,,,,,,,,,,,,,
,,,https://www.instagram.com/p/CyeVo-mq3FG/liked_by/?hl=es,Me gusta,219,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verificado,Opciones del comentario,Me gusta,https://www.instagram.com/pablolemusn/,Ver traducción,98,https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/374559868_703952414906767_1550352450307596466_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=lm4EZQSB0wIAX9Le24N&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAIV3bjwXroub9BJ_czop4czKsTWWjbJYYobHHLQp7azA&oe=6533369B&_nc_sid=f5838a,pablolemusn,"Visitamos el oriente de la ciudad para una entrega más de “Nidos de Lluvia” 🌧. En esta ocasión estuvimos en la Escuela Primaria Ing. José Luis Arregui, en la colonia Oblatos.Este Nido captará el agua de lluvia💧 para que pueda ser aprovechada para el uso que necesite la escuela, como regar los árboles, para los baños, etc. Además, con esto abonamos al cuidado de nuestro medio ambiente 🌿.Mi agradecimiento para  e , por hacer equipo para llevar a cabo este gran proyecto a las escuelas de nuestra ciudad, ya llevamos 28 Nidos de Lluvia instalados. Invitó a las niñas 👧 y niños 👧 a cuidar del agua en sus casas, ya que todas y todos podemos ayudar. ¡Ánimo!",#nidosdelluvia,https://www.instagram.com/explore/tags/nidosdelluvia/?hl=es,2 h,,https://www.instagram.com/elipuppie/?hl=es,https://instagram.fmex1-1.fna.fbcdn.net/v/t51.2885-19/243104266_956159331912826_5511750073880417551_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=pQuMa5tvklIAX8fI2aj&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfCUxI8gZNlUWXz575H5H1UkVzV5i6BZPm2EzKNZyadI9Q&oe=65331C0A&_nc_sid=f5838a,elipuppie,https://www.instagram.com/elipuppie/,Muchas gracias por su visita a nuestra escuela. Lo esperamos pronto. 🧡,https://www.instagram.com/p/CyeVo-mq3FG/c/17987378258200609/?hl=es,1 h,Responder,,Ver traducción,,,,,,,,,,
,,,https://www.instagram.com/p/CyeVo-mq3FG/?hl=es,,150,,,,,,,Hace 2 horas,,,,,,,,,,,,,,,,,,,,
,,,https://www.instagram.com/p/CyeH7FOK86P/liked_by/?hl=es,Me gusta,963,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verificado,Opciones del comentario,Me gusta,https://www.instagram.com/pablolemusn/,Ver traducción,478,https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/374559868_703952414906767_1550352450307596466_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=lm4EZQSB0wIAX9Le24N&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAIV3bjwXroub9BJ_czop4czKsTWWjbJYYobHHLQp7azA&oe=6533369B&_nc_sid=f5838a,pablolemusn,"Después de algunos años de espera, hoy fuimos parte de la inauguración de la avenida Paseo Royal Country, en compañía del Gobernador  y , alcalde de Zapopan.Desde hace 8 años, durante nuestra gestión en Zapopan, iniciamos la transformación de la movilidad en esta zona con la intervención de diversas vialidades. Ahora, con Juan José Frangie liderando en Zapopan, por fin la Av. Royal Country llega hasta el Periférico, lo que mejora por mucho la movilidad, hace más seguros los recorridos peatonales y ahorra tiempo.Esta avenida quedó de lujo 👌 con:💧 Línea de Agua Potable🚽 Línea de Drenaje Sanitario🛣 Pavimentación concreto hidráulico🚲 Ciclovía🧑‍🦽 Banquetas con accesibilidad universal🚏 Cruceros Seguros💡 Alumbrado Público LEDEntre otras acciones más.Gracias a las y los vecinos por la paciencia, 🙏 al , al ingeniero , en aquel tiempo como director de Obras Públicas. La continuidad que le dio el presidente Frangie, ahora con Ismael Jauregui.Seguimos haciendo equipo 💪 para poner más bonita a nuestra ciudad. ¡Ánimo!",#ObraPública,https://www.instagram.com/explore/tags/obrap%C3%BAblica/?hl=es,4 h,,https://www.instagram.com/juanjosefrangie/?hl=es,https://instagram.fmex1-1.fna.fbcdn.net/v/t51.2885-19/380259403_2059255401078390_6521757698985470647_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=TUaRLIs4DYIAX-Ki7Pv&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfBF-NwCaS8Invm6RBmhOfIMjebHzI40NaB7uVibXWUV6w&oe=6532A869&_nc_sid=f5838a,juanjosefrangie,https://www.instagram.com/juanjosefrangie/,"Gracias, amigo. En este logro estuvieron involucradas muchas manos 💪 que trabajaron arduamente y hoy podemos ver los resultados. 👏💯No cabe duda de que trabajando en equipo llegamos más lejos. 👆 Cuenta con mi apoyo siempre. 🤝",https://www.instagram.com/p/CyeH7FOK86P/c/17903833262851331/?hl=es,3 h,2 Me gusta,Responder,Ver traducción,Ver respuestas (1),https://www.instagram.com/lujotaz/?hl=es,https://instagram.fmex1-5.fna.fbcdn.net/v/t51.2885-19/386887775_289696583919577_7777938296158781260_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-5.fna.fbcdn.net&_nc_cat=101&_nc_ohc=B_cFdaQvSGEAX_2D54z&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfB61U5DUbwakTEnCmK8QgZeM-nOa4X6bvTDn0kI-dNZAQ&oe=6532842E&_nc_sid=f5838a,lujotaz,https://www.instagram.com/lujotaz/,Quitandole l privacidad que teníamos hace años en esa calle ahora se volvio pista de carreras de juniors saludos al del camaro ya te traigo entre ojos....,https://www.instagram.com/p/CyeH7FOK86P/c/17998143431230476/?hl=es,2 h,Opciones del comentario,Me gusta
,,,https://www.instagram.com/p/CyeH7FOK86P/?hl=es,,84,,,,,,,Hace 4 horas,,,,,,,,,,,,,,,,,,,,
,,,https://www.instagram.com/p/CyduSfXLhDm/liked_by/?hl=es,Me gusta,636,,,,,,,,,,,,,,,,,,,,,,,,,,,
