,texto,tokens
2,así como lo hicimos en zapopan en guadalajara nos propusimos ser un gobierno de resultados y cercano con las y los tapatíos y hoy hemos cumplidohemos trabajado bien y de buenas para tener una ciudad con mejores calles unidades deportivas renovadas atractivos culturales y espacios públicos de primera calidad con una inversión de más de 4000 mdp en infraestructuraha sido un gusto hacer equipo con las y los ciudadanos sigamos avanzando en equipo para tener una guadalajara de la que todas y todos nos sintamos más orgullososánimo vamos bien y se pondrá mejor informegdl,"['así', 'como', 'lo', 'hicimos', 'en', 'zapopan', 'en', 'guadalajara', 'nos', 'propusimos', 'ser', 'un', 'gobierno', 'de', 'resultados', 'y', 'cercano', 'con', 'las', 'y', 'los', 'tapatíos', 'y', 'hoy', 'hemos', 'cumplidohemos', 'trabajado', 'bien', 'y', 'de', 'buenas', 'para', 'tener', 'una', 'ciudad', 'con', 'mejores', 'calles', 'unidades', 'deportivas', 'renovadas', 'atractivos', 'culturales', 'y', 'espacios', 'públicos', 'de', 'primera', 'calidad', 'con', 'una', 'inversión', 'de', 'más', 'de', '4000', 'mdp', 'en', 'infraestructuraha', 'sido', 'un', 'gusto', 'hacer', 'equipo', 'con', 'las', 'y', 'los', 'ciudadanos', 'sigamos', 'avanzando', 'en', 'equipo', 'para', 'tener', 'una', 'guadalajara', 'de', 'la', 'que', 'todas', 'y', 'todos', 'nos', 'sintamos', 'más', 'orgullososánimo', 'vamos', 'bien', 'y', 'se', 'pondrá', 'mejor', 'informegdl']"
6,recibimos con mucha humildad y agradecimiento los resultados de la encuesta que hoy publica murala los jaliscienses y simpatizantes de movimiento ciudadano toda mi gratitud por su cariño confianza y respaldo vamos a seguir trabajando con todo el ánimo estamos a un año de la elección y el reto no será nada fácil por eso seguir haciendo buenos gobiernos será la clave para salir fortalecidos y ganareste resultado positivo sólo podrá concretarse con un proyecto cohesionado por eso sé que debemos seguir trabajando en la unidad interna para salir fortalecidosen jalisco tenemos un movimiento fuerte y listo aquí cabemos todas y todos los aspirantes los liderazgos los equipos y los ciudadanos que hacen posible este proyecto jalisco seguirá siendo naranja ánimo y a seguir trabajando ánimojalisco,"['recibimos', 'con', 'mucha', 'humildad', 'y', 'agradecimiento', 'los', 'resultados', 'de', 'la', 'encuesta', 'que', 'hoy', 'publica', 'murala', 'los', 'jaliscienses', 'y', 'simpatizantes', 'de', 'movimiento', 'ciudadano', 'toda', 'mi', 'gratitud', 'por', 'su', 'cariño', 'confianza', 'y', 'respaldo', 'vamos', 'a', 'seguir', 'trabajando', 'con', 'todo', 'el', 'ánimo', 'estamos', 'a', 'un', 'año', 'de', 'la', 'elección', 'y', 'el', 'reto', 'no', 'será', 'nada', 'fácil', 'por', 'eso', 'seguir', 'haciendo', 'buenos', 'gobiernos', 'será', 'la', 'clave', 'para', 'salir', 'fortalecidos', 'y', 'ganareste', 'resultado', 'positivo', 'sólo', 'podrá', 'concretarse', 'con', 'un', 'proyecto', 'cohesionado', 'por', 'eso', 'sé', 'que', 'debemos', 'seguir', 'trabajando', 'en', 'la', 'unidad', 'interna', 'para', 'salir', 'fortalecidosen', 'jalisco', 'tenemos', 'un', 'movimiento', 'fuerte', 'y', 'listo', 'aquí', 'cabemos', 'todas', 'y', 'todos', 'los', 'aspirantes', 'los', 'liderazgos', 'los', 'equipos', 'y', 'los', 'ciudadanos', 'que', 'hacen', 'posible', 'este', 'proyecto', 'jalisco', 'seguirá', 'siendo', 'naranja', 'ánimo', 'y', 'a', 'seguir', 'trabajando', 'ánimojalisco']"
9,chequen nomás la que nos prepararon en san juan de dios qué chido recibir estas muestras de cariño de la gente y saber que somos un gran equipo vayan a probarla al mercado libertad o mejor conocido como ánimo guadalajara tortagobernador,"['chequen', 'nomás', 'la', 'que', 'nos', 'prepararon', 'en', 'san', 'juan', 'de', 'dios', 'qué', 'chido', 'recibir', 'estas', 'muestras', 'de', 'cariño', 'de', 'la', 'gente', 'y', 'saber', 'que', 'somos', 'un', 'gran', 'equipo', 'vayan', 'a', 'probarla', 'al', 'mercado', 'libertad', 'o', 'mejor', 'conocido', 'como', 'ánimo', 'guadalajara', 'tortagobernador']"
12,visitamos el oriente de la ciudad para una entrega más de nidos de lluvia en esta ocasión estuvimos en la escuela primaria ing josé luis arregui en la colonia oblatoseste nido captará el agua de lluvia para que pueda ser aprovechada para el uso que necesite la escuela como regar los árboles para los baños etc además con esto abonamos al cuidado de nuestro medio ambiente mi agradecimiento para e por hacer equipo para llevar a cabo este gran proyecto a las escuelas de nuestra ciudad ya llevamos 28 nidos de lluvia instalados invitó a las niñas y niños a cuidar del agua en sus casas ya que todas y todos podemos ayudar ánimo nidosdelluvia,"['visitamos', 'el', 'oriente', 'de', 'la', 'ciudad', 'para', 'una', 'entrega', 'más', 'de', 'nidos', 'de', 'lluvia', 'en', 'esta', 'ocasión', 'estuvimos', 'en', 'la', 'escuela', 'primaria', 'ing', 'josé', 'luis', 'arregui', 'en', 'la', 'colonia', 'oblatoseste', 'nido', 'captará', 'el', 'agua', 'de', 'lluvia', 'para', 'que', 'pueda', 'ser', 'aprovechada', 'para', 'el', 'uso', 'que', 'necesite', 'la', 'escuela', 'como', 'regar', 'los', 'árboles', 'para', 'los', 'baños', 'etc', 'además', 'con', 'esto', 'abonamos', 'al', 'cuidado', 'de', 'nuestro', 'medio', 'ambiente', 'mi', 'agradecimiento', 'para', 'e', 'por', 'hacer', 'equipo', 'para', 'llevar', 'a', 'cabo', 'este', 'gran', 'proyecto', 'a', 'las', 'escuelas', 'de', 'nuestra', 'ciudad', 'ya', 'llevamos', '28', 'nidos', 'de', 'lluvia', 'instalados', 'invitó', 'a', 'las', 'niñas', 'y', 'niños', 'a', 'cuidar', 'del', 'agua', 'en', 'sus', 'casas', 'ya', 'que', 'todas', 'y', 'todos', 'podemos', 'ayudar', 'ánimo', 'nidosdelluvia']"
15,después de algunos años de espera hoy fuimos parte de la inauguración de la avenida paseo royal country en compañía del gobernador y alcalde de zapopandesde hace 8 años durante nuestra gestión en zapopan iniciamos la transformación de la movilidad en esta zona con la intervención de diversas vialidades ahora con juan josé frangie liderando en zapopan por fin la av royal country llega hasta el periférico lo que mejora por mucho la movilidad hace más seguros los recorridos peatonales y ahorra tiempoesta avenida quedó de lujo con línea de agua potable línea de drenaje sanitario pavimentación concreto hidráulico ciclovía banquetas con accesibilidad universal cruceros seguros alumbrado público ledentre otras acciones másgracias a las y los vecinos por la paciencia al al ingeniero en aquel tiempo como director de obras públicas la continuidad que le dio el presidente frangie ahora con ismael jaureguiseguimos haciendo equipo para poner más bonita a nuestra ciudad ánimo obrapública,"['después', 'de', 'algunos', 'años', 'de', 'espera', 'hoy', 'fuimos', 'parte', 'de', 'la', 'inauguración', 'de', 'la', 'avenida', 'paseo', 'royal', 'country', 'en', 'compañía', 'del', 'gobernador', 'y', 'alcalde', 'de', 'zapopandesde', 'hace', '8', 'años', 'durante', 'nuestra', 'gestión', 'en', 'zapopan', 'iniciamos', 'la', 'transformación', 'de', 'la', 'movilidad', 'en', 'esta', 'zona', 'con', 'la', 'intervención', 'de', 'diversas', 'vialidades', 'ahora', 'con', 'juan', 'josé', 'frangie', 'liderando', 'en', 'zapopan', 'por', 'fin', 'la', 'av', 'royal', 'country', 'llega', 'hasta', 'el', 'periférico', 'lo', 'que', 'mejora', 'por', 'mucho', 'la', 'movilidad', 'hace', 'más', 'seguros', 'los', 'recorridos', 'peatonales', 'y', 'ahorra', 'tiempoesta', 'avenida', 'quedó', 'de', 'lujo', 'con', 'línea', 'de', 'agua', 'potable', 'línea', 'de', 'drenaje', 'sanitario', 'pavimentación', 'concreto', 'hidráulico', 'ciclovía', 'banquetas', 'con', 'accesibilidad', 'universal', 'cruceros', 'seguros', 'alumbrado', 'público', 'ledentre', 'otras', 'acciones', 'másgracias', 'a', 'las', 'y', 'los', 'vecinos', 'por', 'la', 'paciencia', 'al', 'al', 'ingeniero', 'en', 'aquel', 'tiempo', 'como', 'director', 'de', 'obras', 'públicas', 'la', 'continuidad', 'que', 'le', 'dio', 'el', 'presidente', 'frangie', 'ahora', 'con', 'ismael', 'jaureguiseguimos', 'haciendo', 'equipo', 'para', 'poner', 'más', 'bonita', 'a', 'nuestra', 'ciudad', 'ánimo', 'obrapública']"
21,arriiiba las vean este atuendo típico de nuestro chivahermano wixárika originario de bolaños jalisco ánimo y ánimo guadalajara,"['arriiiba', 'las', 'vean', 'este', 'atuendo', 'típico', 'de', 'nuestro', 'chivahermano', 'wixárika', 'originario', 'de', 'bolaños', 'jalisco', 'ánimo', 'y', 'ánimo', 'guadalajara']"
27,le estamos dando continuidad a la renovación del que comenzó hace algunos años con la visión de priorizar a las personas en todo momentoahora paseo fray antonio alcalde cuenta con la plaza luis barragán un nuevo espacio público en el corazón de la ciudad y que lleva el nombre de este gran arquitecto tapatío y único mexicano ganador del premio pritzker ánimo guadalajara centrohistórico,"['le', 'estamos', 'dando', 'continuidad', 'a', 'la', 'renovación', 'del', 'que', 'comenzó', 'hace', 'algunos', 'años', 'con', 'la', 'visión', 'de', 'priorizar', 'a', 'las', 'personas', 'en', 'todo', 'momentoahora', 'paseo', 'fray', 'antonio', 'alcalde', 'cuenta', 'con', 'la', 'plaza', 'luis', 'barragán', 'un', 'nuevo', 'espacio', 'público', 'en', 'el', 'corazón', 'de', 'la', 'ciudad', 'y', 'que', 'lleva', 'el', 'nombre', 'de', 'este', 'gran', 'arquitecto', 'tapatío', 'y', 'único', 'mexicano', 'ganador', 'del', 'premio', 'pritzker', 'ánimo', 'guadalajara', 'centrohistórico']"
36,estamos a pocos días de volver a vivir la experiencia de auto art world un evento de talla internacional en donde nuevamente artistas jaliscienses van a intervenir diferentes automóviles de las mejores marcas del mundo será durante los días 20 21 y 22 de octubre en la plaza de la liberación ánimo no se pueden perder de esta gran exposición autoart,"['estamos', 'a', 'pocos', 'días', 'de', 'volver', 'a', 'vivir', 'la', 'experiencia', 'de', 'auto', 'art', 'world', 'un', 'evento', 'de', 'talla', 'internacional', 'en', 'donde', 'nuevamente', 'artistas', 'jaliscienses', 'van', 'a', 'intervenir', 'diferentes', 'automóviles', 'de', 'las', 'mejores', 'marcas', 'del', 'mundo', 'será', 'durante', 'los', 'días', '20', '21', 'y', '22', 'de', 'octubre', 'en', 'la', 'plaza', 'de', 'la', 'liberación', 'ánimo', 'no', 'se', 'pueden', 'perder', 'de', 'esta', 'gran', 'exposición', 'autoart']"
39,ahora más calles de nuestra ciudad tienen un nuevo rostro lucen más bonitas y dignas con la renovación que les hemos dado conbacheo de caja profundo y superficialiluminacióncarpeta asfálticabanquetas con accesibilidad universaladoquín podo táctilbolardosbalizamiento vialy otras más renovacionesnuestra ciudad está quedando de maravilla para que los peatones caminen por banquetas amplias muy seguras y con infraestructura duradera ánimo guadalajara,"['ahora', 'más', 'calles', 'de', 'nuestra', 'ciudad', 'tienen', 'un', 'nuevo', 'rostro', 'lucen', 'más', 'bonitas', 'y', 'dignas', 'con', 'la', 'renovación', 'que', 'les', 'hemos', 'dado', 'conbacheo', 'de', 'caja', 'profundo', 'y', 'superficialiluminacióncarpeta', 'asfálticabanquetas', 'con', 'accesibilidad', 'universaladoquín', 'podo', 'táctilbolardosbalizamiento', 'vialy', 'otras', 'más', 'renovacionesnuestra', 'ciudad', 'está', 'quedando', 'de', 'maravilla', 'para', 'que', 'los', 'peatones', 'caminen', 'por', 'banquetas', 'amplias', 'muy', 'seguras', 'y', 'con', 'infraestructura', 'duradera', 'ánimo', 'guadalajara']"
42,de esta manera las y los tapatíos disfrutaron del eclipse solar desde el de guadalajara ánimo centrohistórico,"['de', 'esta', 'manera', 'las', 'y', 'los', 'tapatíos', 'disfrutaron', 'del', 'eclipse', 'solar', 'desde', 'el', 'de', 'guadalajara', 'ánimo', 'centrohistórico']"
