,texto,tokens
0,es el mejor presidente que e conocido,"['es', 'el', 'mejor', 'presidente', 'que', 'e', 'conocido']"
1,ánimo ángeles a seguir chambeando bien y de buenas,"['ánimo', 'ángeles', 'a', 'seguir', 'chambeando', 'bien', 'y', 'de', 'buenas']"
2,ánimo césar,"['ánimo', 'césar']"
3,sigo insistiendo que como alcalde de guadalajara nunca trabajaste solo pura fiesta lemus fuera de jaliscohola vale te invito a checar mis historias de instagram para que puedas ver tan solo una parte de la obra pública que hemos construido en gdl,"['sigo', 'insistiendo', 'que', 'como', 'alcalde', 'de', 'guadalajara', 'nunca', 'trabajaste', 'solo', 'pura', 'fiesta', 'lemus', 'fuera', 'de', 'jaliscohola', 'vale', 'te', 'invito', 'a', 'checar', 'mis', 'historias', 'de', 'instagram', 'para', 'que', 'puedas', 'ver', 'tan', 'solo', 'una', 'parte', 'de', 'la', 'obra', 'pública', 'que', 'hemos', 'construido', 'en', 'gdl']"
4,felicidades gracias césar ánimo,"['felicidades', 'gracias', 'césar', 'ánimo']"
5,wow 9 años pasaron muy rápido a darle por más años animose pasaron de volada a seguir trabajando por la ciudad que queremos ánimo,"['wow', '9', 'años', 'pasaron', 'muy', 'rápido', 'a', 'darle', 'por', 'más', 'años', 'animose', 'pasaron', 'de', 'volada', 'a', 'seguir', 'trabajando', 'por', 'la', 'ciudad', 'que', 'queremos', 'ánimo']"
6,saludos josé,"['saludos', 'josé']"
7,si me toco verlo en la explanada san juan pablo segundo tomándose fotos te hubieras acercado para tomarnos una emmanuel saludos,"['si', 'me', 'toco', 'verlo', 'en', 'la', 'explanada', 'san', 'juan', 'pablo', 'segundo', 'tomándose', 'fotos', 'te', 'hubieras', 'acercado', 'para', 'tomarnos', 'una', 'emmanuel', 'saludos']"
8,ánimo próximo gobermuchas gracias por el apoyo y confianza a seguir trabajando bien y de buenas ánimo,"['ánimo', 'próximo', 'gobermuchas', 'gracias', 'por', 'el', 'apoyo', 'y', 'confianza', 'a', 'seguir', 'trabajando', 'bien', 'y', 'de', 'buenas', 'ánimo']"
9,felicidades muy bien muchas gracias maría saludos y excelente lunes ánimo,"['felicidades', 'muy', 'bien', 'muchas', 'gracias', 'maría', 'saludos', 'y', 'excelente', 'lunes', 'ánimo']"
10,yo estuve trabajando como paramedico y tuvimos saldo blancoasí es hubo saldo blanco en la romería2023 ánimo y saludos,"['yo', 'estuve', 'trabajando', 'como', 'paramedico', 'y', 'tuvimos', 'saldo', 'blancoasí', 'es', 'hubo', 'saldo', 'blanco', 'en', 'la', 'romería2023', 'ánimo', 'y', 'saludos']"
11,bendiciones para ti y tu familia y para todos los que te rodean amigo pablo lemus vamos para la gobernatura saludosmuchas gracias por todo el apoyo y confianza abraham que tengas un excelente jueves ánimo,"['bendiciones', 'para', 'ti', 'y', 'tu', 'familia', 'y', 'para', 'todos', 'los', 'que', 'te', 'rodean', 'amigo', 'pablo', 'lemus', 'vamos', 'para', 'la', 'gobernatura', 'saludosmuchas', 'gracias', 'por', 'todo', 'el', 'apoyo', 'y', 'confianza', 'abraham', 'que', 'tengas', 'un', 'excelente', 'jueves', 'ánimo']"
12,un abrazosaludos estimado,"['un', 'abrazosaludos', 'estimado']"
13,bendiciones para la familia sr presidentemuchas gracias por el apoyo ánimo,"['bendiciones', 'para', 'la', 'familia', 'sr', 'presidentemuchas', 'gracias', 'por', 'el', 'apoyo', 'ánimo']"
14,exito muchas gracias jonathan ánimo,"['exito', 'muchas', 'gracias', 'jonathan', 'ánimo']"
15,graciassaludos,['graciassaludos']
16,saludos césar,"['saludos', 'césar']"
17,jajaja jajaja jajaja si me dió risa saludos,"['jajaja', 'jajaja', 'jajaja', 'si', 'me', 'dió', 'risa', 'saludos']"
18,una vez más confirmo ese mi rokstar ánimo,"['una', 'vez', 'más', 'confirmo', 'ese', 'mi', 'rokstar', 'ánimo']"
19,maravilloso santo san francisco de asís,"['maravilloso', 'santo', 'san', 'francisco', 'de', 'asís']"
20,excelente gracias saludos y excelente inicio de semana ánimo,"['excelente', 'gracias', 'saludos', 'y', 'excelente', 'inicio', 'de', 'semana', 'ánimo']"
21,que lindoestá bien padre échate una vuelta al corazón de la ciudad para que veas que bonita está ánimo,"['que', 'lindoestá', 'bien', 'padre', 'échate', 'una', 'vuelta', 'al', 'corazón', 'de', 'la', 'ciudad', 'para', 'que', 'veas', 'que', 'bonita', 'está', 'ánimo']"
22,ánimo césar,"['ánimo', 'césar']"
23,excelente video como todos felicidades,"['excelente', 'video', 'como', 'todos', 'felicidades']"
24,vamos a disfrutar el partido que es lo importante y divertirnos saludosasí es disfrutamos de un gran partido donde chivas salió victorioso ánimo,"['vamos', 'a', 'disfrutar', 'el', 'partido', 'que', 'es', 'lo', 'importante', 'y', 'divertirnos', 'saludosasí', 'es', 'disfrutamos', 'de', 'un', 'gran', 'partido', 'donde', 'chivas', 'salió', 'victorioso', 'ánimo']"
25,son geniales gracias están acorde a la temporada ánimo,"['son', 'geniales', 'gracias', 'están', 'acorde', 'a', 'la', 'temporada', 'ánimo']"
26,saludos césar,"['saludos', 'césar']"
27,muy nice papos saludos presimuchas gracias son de mis favoritos ánimo,"['muy', 'nice', 'papos', 'saludos', 'presimuchas', 'gracias', 'son', 'de', 'mis', 'favoritos', 'ánimo']"
28,amo amo dame muchos porfavor cuando quieras te puedo dar muchos abrazos ánimo,"['amo', 'amo', 'dame', 'muchos', 'porfavor', 'cuando', 'quieras', 'te', 'puedo', 'dar', 'muchos', 'abrazos', 'ánimo']"
29,ánimo mi rokstar si se puedeánimo,"['ánimo', 'mi', 'rokstar', 'si', 'se', 'puedeánimo']"
30,alcalde buenas tardes que se necesita para que pavimenten mi colonia está empedrado pero parecen picos esas piedras cuál es tu dirección rhaegal probablemente tu calle ya esté en el plan de obra pública,"['alcalde', 'buenas', 'tardes', 'que', 'se', 'necesita', 'para', 'que', 'pavimenten', 'mi', 'colonia', 'está', 'empedrado', 'pero', 'parecen', 'picos', 'esas', 'piedras', 'cuál', 'es', 'tu', 'dirección', 'rhaegal', 'probablemente', 'tu', 'calle', 'ya', 'esté', 'en', 'el', 'plan', 'de', 'obra', 'pública']"
31,lo felicitogracias por el apoyo ánimo,"['lo', 'felicitogracias', 'por', 'el', 'apoyo', 'ánimo']"
32,la nostalgia de pasar todos los veranos en casa de mi abuelarecordar es volver a vivir elena saludos,"['la', 'nostalgia', 'de', 'pasar', 'todos', 'los', 'veranos', 'en', 'casa', 'de', 'mi', 'abuelarecordar', 'es', 'volver', 'a', 'vivir', 'elena', 'saludos']"
33,hermoso lugar estar ahí sientes una vibra muy bonita animosí se siente una vibra bien bonita saludos,"['hermoso', 'lugar', 'estar', 'ahí', 'sientes', 'una', 'vibra', 'muy', 'bonita', 'animosí', 'se', 'siente', 'una', 'vibra', 'bien', 'bonita', 'saludos']"
34,bella mi perla tapatía está bien bella nuestra hermosa ciudad ánimo,"['bella', 'mi', 'perla', 'tapatía', 'está', 'bien', 'bella', 'nuestra', 'hermosa', 'ciudad', 'ánimo']"
35,woww es bellísima gracias por compartir pablo lemusdesde las alturas se ve espectacular ánimo,"['woww', 'es', 'bellísima', 'gracias', 'por', 'compartir', 'pablo', 'lemusdesde', 'las', 'alturas', 'se', 've', 'espectacular', 'ánimo']"
36,que hermosa vista ánimo mi jefazola verdad que sí se ve bien chido desde las alturas la ciudad ánimo,"['que', 'hermosa', 'vista', 'ánimo', 'mi', 'jefazola', 'verdad', 'que', 'sí', 'se', 've', 'bien', 'chido', 'desde', 'las', 'alturas', 'la', 'ciudad', 'ánimo']"
37,amo guadalajara yo también amo guadalajara,"['amo', 'guadalajara', 'yo', 'también', 'amo', 'guadalajara']"
38,simplemente hermoso bellísimo ánimo,"['simplemente', 'hermoso', 'bellísimo', 'ánimo']"
39,ánimo guadalajara ánimo guadalajara,"['ánimo', 'guadalajara', 'ánimo', 'guadalajara']"
40,saludos césar,"['saludos', 'césar']"
41,,[]
42,ánimo,['ánimo']
43,ánimo my gober eres un esperanza de los tapatíos vamos con todo,"['ánimo', 'my', 'gober', 'eres', 'un', 'esperanza', 'de', 'los', 'tapatíos', 'vamos', 'con', 'todo']"
44,un gran trabajo que ha echo sr presidentemuchas gracias por todo el apoyo y confianza seguiremos trabajando bien y de buenas por la ciudad que queremos ánimo,"['un', 'gran', 'trabajo', 'que', 'ha', 'echo', 'sr', 'presidentemuchas', 'gracias', 'por', 'todo', 'el', 'apoyo', 'y', 'confianza', 'seguiremos', 'trabajando', 'bien', 'y', 'de', 'buenas', 'por', 'la', 'ciudad', 'que', 'queremos', 'ánimo']"
45,muy buen trabajo cuenta con mi voto bendiciones muchas gracias por el apoyo ánimo,"['muy', 'buen', 'trabajo', 'cuenta', 'con', 'mi', 'voto', 'bendiciones', 'muchas', 'gracias', 'por', 'el', 'apoyo', 'ánimo']"
46,no mmsdándose baños de pueblo para nada siempre ando trabajando de cerquita con las y los tapatíos saludos,"['no', 'mmsdándose', 'baños', 'de', 'pueblo', 'para', 'nada', 'siempre', 'ando', 'trabajando', 'de', 'cerquita', 'con', 'las', 'y', 'los', 'tapatíos', 'saludos']"
47,ánimoánimo,['ánimoánimo']
48,,[]
49,yo estudié hay pero no me tocó verlo pero fue a la secundaria técnica 4 y hay si me tocó verlo unas por otras ánimo y saludos,"['yo', 'estudié', 'hay', 'pero', 'no', 'me', 'tocó', 'verlo', 'pero', 'fue', 'a', 'la', 'secundaria', 'técnica', '4', 'y', 'hay', 'si', 'me', 'tocó', 'verlo', 'unas', 'por', 'otras', 'ánimo', 'y', 'saludos']"
50,qué bello edificioestá bien bonito 65 años de belleza e historia ánimo,"['qué', 'bello', 'edificioestá', 'bien', 'bonito', '65', 'años', 'de', 'belleza', 'e', 'historia', 'ánimo']"
51,ánimo césar,"['ánimo', 'césar']"
52,mis recuerdos de esa escuela es de no salir de primero por que me reprobaron en primero dos veces estuve hasta tercero de primaria cómo crees blanca jeje,"['mis', 'recuerdos', 'de', 'esa', 'escuela', 'es', 'de', 'no', 'salir', 'de', 'primero', 'por', 'que', 'me', 'reprobaron', 'en', 'primero', 'dos', 'veces', 'estuve', 'hasta', 'tercero', 'de', 'primaria', 'cómo', 'crees', 'blanca', 'jeje']"
53,graciassaludos césar,"['graciassaludos', 'césar']"
54,ya se que hay muchos comentarios de hate pero sigue así lo estas haciendo muy bien no te desanime por los comentarios feos esta muy bonita mi gdlhola para nada seguimos trabajando por la ciudad que queremos sin que nadie nos detenga saludos,"['ya', 'se', 'que', 'hay', 'muchos', 'comentarios', 'de', 'hate', 'pero', 'sigue', 'así', 'lo', 'estas', 'haciendo', 'muy', 'bien', 'no', 'te', 'desanime', 'por', 'los', 'comentarios', 'feos', 'esta', 'muy', 'bonita', 'mi', 'gdlhola', 'para', 'nada', 'seguimos', 'trabajando', 'por', 'la', 'ciudad', 'que', 'queremos', 'sin', 'que', 'nadie', 'nos', 'detenga', 'saludos']"
55,,[]
56,graciassaludos césar,"['graciassaludos', 'césar']"
57,,[]
58,mi voto es para usted sr pablo lemus futuro gobernador de jaliscomuchas gracias por el apoyo y confianza ánimo,"['mi', 'voto', 'es', 'para', 'usted', 'sr', 'pablo', 'lemus', 'futuro', 'gobernador', 'de', 'jaliscomuchas', 'gracias', 'por', 'el', 'apoyo', 'y', 'confianza', 'ánimo']"
59,siempre trabajando como hormiguita no nos decepciones a quienes creemos en ti tú eres el movimiento mi admiración y respeto siempre muchas gracias por tus palabras susy seguiremos trabajando por la ciudad que queremos ánimo,"['siempre', 'trabajando', 'como', 'hormiguita', 'no', 'nos', 'decepciones', 'a', 'quienes', 'creemos', 'en', 'ti', 'tú', 'eres', 'el', 'movimiento', 'mi', 'admiración', 'y', 'respeto', 'siempre', 'muchas', 'gracias', 'por', 'tus', 'palabras', 'susy', 'seguiremos', 'trabajando', 'por', 'la', 'ciudad', 'que', 'queremos', 'ánimo']"
60,felicidades,['felicidades']
61,teniendo acercamiento con los ciudadanos animotrabajando de cerquita con ellos porque así se trabaja ánimo,"['teniendo', 'acercamiento', 'con', 'los', 'ciudadanos', 'animotrabajando', 'de', 'cerquita', 'con', 'ellos', 'porque', 'así', 'se', 'trabaja', 'ánimo']"
