,texto,tokens,views
0,cuando le preguntan a maye por mi,"['cuando', 'le', 'preguntan', 'a', 'maye', 'por', 'mi']",433
1,vamos a seguir trabajando por guadalajara,"['vamos', 'a', 'seguir', 'trabajando', 'por', 'guadalajara']",639
2,feliz día del danzante,"['feliz', 'día', 'del', 'danzante']",710
3,es viernes y el cuerpo lo sabe,"['es', 'viernes', 'y', 'el', 'cuerpo', 'lo', 'sabe']",1993
4,así fue la llegada de la virgen de zapopan es un verdadero honor para mí pues durante 9 años hemos organizado esta romería con saldo blanco 6 años como alcalde de zapopan y 3 como alcalde de guadalajara gracias virgen de zapopan gracias a las y los peregrinos y a todas y todos por su cariño por su apoyo y por permitir desempeñarme más de 8 años como alcalde,"['así', 'fue', 'la', 'llegada', 'de', 'la', 'virgen', 'de', 'zapopan', 'es', 'un', 'verdadero', 'honor', 'para', 'mí', 'pues', 'durante', '9', 'años', 'hemos', 'organizado', 'esta', 'romería', 'con', 'saldo', 'blanco', '6', 'años', 'como', 'alcalde', 'de', 'zapopan', 'y', '3', 'como', 'alcalde', 'de', 'guadalajara', 'gracias', 'virgen', 'de', 'zapopan', 'gracias', 'a', 'las', 'y', 'los', 'peregrinos', 'y', 'a', 'todas', 'y', 'todos', 'por', 'su', 'cariño', 'por', 'su', 'apoyo', 'y', 'por', 'permitir', 'desempeñarme', 'más', 'de', '8', 'años', 'como', 'alcalde']",10.3K
5,así se está viviendo la romería 2023 en un ambiente seguro para que las familias acompañen a la virgen de zapopan en su regreso a casa,"['así', 'se', 'está', 'viviendo', 'la', 'romería', '2023', 'en', 'un', 'ambiente', 'seguro', 'para', 'que', 'las', 'familias', 'acompañen', 'a', 'la', 'virgen', 'de', 'zapopan', 'en', 'su', 'regreso', 'a', 'casa']",11.9K
6,yo cuando me preguntan por maye,"['yo', 'cuando', 'me', 'preguntan', 'por', 'maye']",1977
7,muchas gracias don adrián por abrirme las puertas de su casa por sus palabras y sobre todo por la confianza ustedes son un gran motor y no les vamos a fallar saludos a la familia espinoza vecinos de la colonia monumental,"['muchas', 'gracias', 'don', 'adrián', 'por', 'abrirme', 'las', 'puertas', 'de', 'su', 'casa', 'por', 'sus', 'palabras', 'y', 'sobre', 'todo', 'por', 'la', 'confianza', 'ustedes', 'son', 'un', 'gran', 'motor', 'y', 'no', 'les', 'vamos', 'a', 'fallar', 'saludos', 'a', 'la', 'familia', 'espinoza', 'vecinos', 'de', 'la', 'colonia', 'monumental']",2455
8,nos alegra recibir en la casa de las y los tapatíos a tantas niñas niños y jóvenes amantes del ajedrez,"['nos', 'alegra', 'recibir', 'en', 'la', 'casa', 'de', 'las', 'y', 'los', 'tapatíos', 'a', 'tantas', 'niñas', 'niños', 'y', 'jóvenes', 'amantes', 'del', 'ajedrez']",2080
9,muchas gracias por tanto cariño,"['muchas', 'gracias', 'por', 'tanto', 'cariño']",1999
