"tiktok-1as5cen-DivWrapper href","tiktok-41hm0z src","video-count","tiktok-1wrhn5c-AMetaCaptionLine href","tiktok-j2a19r-SpanText","ejg0rhn6 href","tiktok-1p6dp51-StrongText","ejg0rhn6 href 2","tiktok-1p6dp51-StrongText 2","ejg0rhn6 href 3","tiktok-1p6dp51-StrongText 3","ejg0rhn6 href 4","tiktok-1p6dp51-StrongText 4","ejg0rhn6 href 5","tiktok-1p6dp51-StrongText 5","ejg0rhn6 href 6","tiktok-1p6dp51-StrongText 6","ejg0rhn6 href 7","tiktok-1p6dp51-StrongText 7","ejg0rhn6 href 8","tiktok-1p6dp51-StrongText 8","ejg0rhn6 href 9","tiktok-1p6dp51-StrongText 9","tiktok-j2a19r-SpanText 2","tiktok-41hm0z src 2"
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/ooE7frIQJaAeQDYHp9RVTLbHQ6nBBBqQyArlJb?x-expires=1697673600&x-signature=otOmGi0jjsRuIsScSviNjDFc%2FLU%3D","433","https://www.tiktok.com/@pablolemusn/video/7290640997636246789","Cuando le preguntan a Maye por mi ❤️😅","https://www.tiktok.com/tag/enamorados?lang=es","#enamorados","https://www.tiktok.com/tag/couplegoals?lang=es","#couplegoals","https://www.tiktok.com/tag/sherek?lang=es","#sherek","https://www.tiktok.com/tag/papucho?lang=es","#papucho","https://www.tiktok.com/tag/love?lang=es","#love","","","","","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/o08LaixlLAKeBSdADeuIsRhBJRsbIRrGEsXQEn?x-expires=1697673600&x-signature=JEcFthILRGDe4gydPUHKstoAErg%3D","639","https://www.tiktok.com/@pablolemusn/video/7290348825271635206","Vamos a seguir trabajando por Guadalajara. ❤️🙌🏻","https://www.tiktok.com/tag/trabajo?lang=es","#trabajo","https://www.tiktok.com/tag/working?lang=es","#working","https://www.tiktok.com/tag/pablolemus?lang=es","#pablolemus","https://www.tiktok.com/tag/jalisco?lang=es","#jalisco","https://www.tiktok.com/tag/guadalajara?lang=es","#guadalajara","https://www.tiktok.com/tag/contenido?lang=es","#contenido","","","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oUO8sEBYQCRJSc28ebiQogiKlSPn4nZfKEDQAB?x-expires=1697673600&x-signature=Uq%2BMxvBLpCR8E49jQQavO7wwjV4%3D","710","https://www.tiktok.com/@pablolemusn/video/7289682124427365638","Feliz Día del Danzante 🙌🏻","https://www.tiktok.com/tag/tradicion?lang=es","#tradicion","https://www.tiktok.com/tag/danzante?lang=es","#danzante","https://www.tiktok.com/tag/jalisco?lang=es","#jalisco","https://www.tiktok.com/tag/paratii?lang=es","#paratii","https://www.tiktok.com/tag/viralvideo?lang=es","#viralvideo","","","","","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/c49e2bc906bc48cd8f9409e23e321351_1697212409?x-expires=1697673600&x-signature=EegUIp2o2eGVP20RcsUXL4QKw1w%3D","1993","https://www.tiktok.com/@pablolemusn/video/7289471768555818245","Es viernes y el cuerpo lo sabe 🙌🏻🕺🏻","https://www.tiktok.com/tag/baile?lang=es","#baile","https://www.tiktok.com/tag/contenido?lang=es","#contenido","https://www.tiktok.com/tag/funny?lang=es","#funny","https://www.tiktok.com/tag/yameronavidad?lang=es","#yameronavidad","https://www.tiktok.com/tag/emocion?lang=es","#emocion","https://www.tiktok.com/tag/viernes?lang=es","#viernes","https://www.tiktok.com/tag/viernesyelcuerpolosabe?lang=es","#viernesyelcuerpolosabe","https://www.tiktok.com/tag/dance?lang=es","#dance","https://www.tiktok.com/tag/baile?lang=es","#baile","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/4cd67b07f24448b1b1ed787b9f0df8db_1697176270?x-expires=1697673600&x-signature=eENywzrZ57GaPBLNpV9sDKa6Fwc%3D","10.3K","https://www.tiktok.com/@pablolemusn/video/7289316546042694917","Así fue la llegada de la Virgen de Zapopan, es un verdadero honor para mí, pues durante 9 años hemos organizado esta Romería con saldo blanco, 6 años como alcalde de Zapopan y 3 como alcalde de Guadalajara.","https://www.tiktok.com/tag/romeria2023?lang=es","#romeria2023","https://www.tiktok.com/tag/virgendezapopan?lang=es","#virgendezapopan","https://www.tiktok.com/tag/guadalajara?lang=es","#guadalajara","https://www.tiktok.com/tag/zapopan?lang=es","#zapopan","https://www.tiktok.com/tag/lomejor?lang=es","#lomejor","https://www.tiktok.com/tag/parati?lang=es","#parati","https://www.tiktok.com/tag/fyp?lang=es","#fyp","","","","","Gracias Virgen de Zapopan 🙏, gracias a las y los peregrinos y a todas y todos por su cariño ❤️, por su apoyo y por permitir desempeñarme más de 8 años como alcalde.",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/osIzylAII5OACAyk9vxgrVXAh0kKoS0EaoNfIG~tplv-dmt-logom:tos-useast2a-v-0068/oYuIQkKExcAGBElRfeBrEWDAonMKbvAlRACiAJ.image?x-expires=1697673600&x-signature=voguuFnbvoGVzJD5KIPdlFqTAFw%3D","11.9K","https://www.tiktok.com/@pablolemusn/video/7289103117575032070","Así se está viviendo la Romería 2023, en un ambiente seguro para que las familias 👨‍👩‍👧‍👦 acompañen a la Virgen de Zapopan en su regreso a casa 🕍.","https://www.tiktok.com/tag/romeria2023?lang=es","#romeria2023","https://www.tiktok.com/tag/virgendezapopan?lang=es","#virgendezapopan","https://www.tiktok.com/tag/guadalajara?lang=es","#guadalajara","https://www.tiktok.com/tag/zapopan?lang=es","#zapopan","https://www.tiktok.com/tag/jalisco?lang=es","#jalisco","","","","","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oIeU4e9EDQJIQRJL3ObmsHXARMkwlnJJBByZBP?x-expires=1697673600&x-signature=NKU0qVsapRvaYnlUALRxUyPcKMg%3D","1977","https://www.tiktok.com/@pablolemusn/video/7288928222341811462","Yo cuando me preguntan por Maye🥰😍","https://www.tiktok.com/tag/enamorado?lang=es","#enamorado","https://www.tiktok.com/tag/couplegoals?lang=es","#couplegoals","https://www.tiktok.com/tag/love?lang=es","#love","https://www.tiktok.com/tag/amor?lang=es","#amor","https://www.tiktok.com/tag/viralvideo?lang=es","#viralvideo","https://www.tiktok.com/tag/aladdin?lang=es","#aladdin","https://www.tiktok.com/tag/trend?lang=es","#trend","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/37e6d10d56f64b0c8a6e61247b1f7b28_1697054280?x-expires=1697673600&x-signature=5g8sMz7miosqqcxMGfc5QNYTXF4%3D","2455","https://www.tiktok.com/@pablolemusn/video/7288792603204635910","Muchas gracias, Don Adrián, por abrirme las puertas de su casa, por sus palabras y sobre todo por la confianza. Ustedes son un gran motor y no les vamos a fallar. Saludos a la familia Espinoza, vecinos de la colonia Monumental.","https://www.tiktok.com/tag/pablolemus?lang=es","#pablolemus","https://www.tiktok.com/tag/amor?lang=es","#amor","https://www.tiktok.com/tag/mimotor?lang=es","#mimotor","https://www.tiktok.com/tag/bienydebuenas?lang=es","#bienydebuenas","https://www.tiktok.com/tag/trabajoduro?lang=es","#trabajoduro","https://www.tiktok.com/tag/agradecido?lang=es","#agradecido","https://www.tiktok.com/tag/parati?lang=es","#parati","https://www.tiktok.com/tag/pt?lang=es","#pt","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/b7fab5c7efb1424aa656e42e75a2f1e5_1696993709?x-expires=1697673600&x-signature=etbNfUehHel0y%2BgbWUA6lOdGc64%3D","2080","https://www.tiktok.com/@pablolemusn/video/7288532458486697221","Nos alegra recibir en la casa de las y los tapatíos a tantas niñas, niños y jóvenes amantes del ajedrez.","https://www.tiktok.com/tag/pablolemus?lang=es","#pablolemus","https://www.tiktok.com/tag/ajedrez?lang=es","#ajedrez","https://www.tiktok.com/tag/torneos?lang=es","#torneos","https://www.tiktok.com/tag/guadalajara?lang=es","#guadalajara","https://www.tiktok.com/tag/jalisco?lang=es","#jalisco","","","","","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/cb148b4bb04f4243907e5614b4b14141_1696961715?x-expires=1697673600&x-signature=fW%2B%2BjcBTRVXi8z6LOMT4zwMO8Ws%3D","1999","https://www.tiktok.com/@pablolemusn/video/7288395044552314118","Muchas gracias por tanto cariño. ❤️","https://www.tiktok.com/tag/pablolemus?lang=es","#pablolemus","https://www.tiktok.com/tag/agradecimiento?lang=es","#agradecimiento","https://www.tiktok.com/tag/losamo?lang=es","#losamo","https://www.tiktok.com/tag/love?lang=es","#love","https://www.tiktok.com/tag/cari%C3%B1o?lang=es","#cariño","","","","","","","","","",""
