,texto,tokens,sentimiento
0,cuando le preguntan a maye por mi  enamorados couplegoals ,"['cuando', 'le', 'preguntan', 'a', 'maye', 'por', 'mi', 'enamorados', 'couplegoals']",0.0
1,vamos a seguir trabajando por guadalajara  trabajo working ,"['vamos', 'a', 'seguir', 'trabajando', 'por', 'guadalajara', 'trabajo', 'working']",0.0
2,feliz día del danzante  tradicion danzante ,"['feliz', 'día', 'del', 'danzante', 'tradicion', 'danzante']",0.0
3,es viernes y el cuerpo lo sabe  baile contenido ,"['es', 'viernes', 'y', 'el', 'cuerpo', 'lo', 'sabe', 'baile', 'contenido']",0.0
4,así fue la llegada de la virgen de zapopan es un verdadero honor para mí pues durante 9 años hemos organizado esta romería con saldo blanco 6 años como alcalde de zapopan y 3 como alcalde de guadalajara romeria2023 virgendezapopan gracias virgen de zapopan  gracias a las y los peregrinos y a todas y todos por su cariño  por su apoyo y por permitir desempeñarme más de 8 años como alcalde,"['así', 'fue', 'la', 'llegada', 'de', 'la', 'virgen', 'de', 'zapopan', 'es', 'un', 'verdadero', 'honor', 'para', 'mí', 'pues', 'durante', '9', 'años', 'hemos', 'organizado', 'esta', 'romería', 'con', 'saldo', 'blanco', '6', 'años', 'como', 'alcalde', 'de', 'zapopan', 'y', '3', 'como', 'alcalde', 'de', 'guadalajara', 'romeria2023', 'virgendezapopan', 'gracias', 'virgen', 'de', 'zapopan', 'gracias', 'a', 'las', 'y', 'los', 'peregrinos', 'y', 'a', 'todas', 'y', 'todos', 'por', 'su', 'cariño', 'por', 'su', 'apoyo', 'y', 'por', 'permitir', 'desempeñarme', 'más', 'de', '8', 'años', 'como', 'alcalde']",0.4939
5,así se está viviendo la romería 2023 en un ambiente seguro para que las familias  acompañen a la virgen de zapopan en su regreso a casa  romeria2023 virgendezapopan ,"['así', 'se', 'está', 'viviendo', 'la', 'romería', '2023', 'en', 'un', 'ambiente', 'seguro', 'para', 'que', 'las', 'familias', 'acompañen', 'a', 'la', 'virgen', 'de', 'zapopan', 'en', 'su', 'regreso', 'a', 'casa', 'romeria2023', 'virgendezapopan']",0.0
6,yo cuando me preguntan por maye enamorado couplegoals ,"['yo', 'cuando', 'me', 'preguntan', 'por', 'maye', 'enamorado', 'couplegoals']",0.0
7,muchas gracias don adrián por abrirme las puertas de su casa por sus palabras y sobre todo por la confianza ustedes son un gran motor y no les vamos a fallar saludos a la familia espinoza vecinos de la colonia monumental pablolemus amor ,"['muchas', 'gracias', 'don', 'adrián', 'por', 'abrirme', 'las', 'puertas', 'de', 'su', 'casa', 'por', 'sus', 'palabras', 'y', 'sobre', 'todo', 'por', 'la', 'confianza', 'ustedes', 'son', 'un', 'gran', 'motor', 'y', 'no', 'les', 'vamos', 'a', 'fallar', 'saludos', 'a', 'la', 'familia', 'espinoza', 'vecinos', 'de', 'la', 'colonia', 'monumental', 'pablolemus', 'amor']",0.4215
8,nos alegra recibir en la casa de las y los tapatíos a tantas niñas niños y jóvenes amantes del ajedrez pablolemus ajedrez ,"['nos', 'alegra', 'recibir', 'en', 'la', 'casa', 'de', 'las', 'y', 'los', 'tapatíos', 'a', 'tantas', 'niñas', 'niños', 'y', 'jóvenes', 'amantes', 'del', 'ajedrez', 'pablolemus', 'ajedrez']",0.0
9,muchas gracias por tanto cariño  pablolemus agradecimiento ,"['muchas', 'gracias', 'por', 'tanto', 'cariño', 'pablolemus', 'agradecimiento']",0.0
10,led zeppelin  ledzeppelin rock ,"['led', 'zeppelin', 'ledzeppelin', 'rock']",0.0
11,ya te diste una vuelta por el centro histórico de guadalajara lugarfeliz guadalajara ,"['ya', 'te', 'diste', 'una', 'vuelta', 'por', 'el', 'centro', 'histórico', 'de', 'guadalajara', 'lugarfeliz', 'guadalajara']",0.0
12, domingo guadalajara ,"['domingo', 'guadalajara']",0.0
13,disfrutemos hoy del clasicotapatio revistajalisco jmt ,"['disfrutemos', 'hoy', 'del', 'clasicotapatio', 'revistajalisco', 'jmt']",0.0
14,ya empezó la spooky season  octubre halloween ,"['ya', 'empezó', 'la', 'spooky', 'season', 'octubre', 'halloween']",0.0
15,muchas gracias por todo el cariño abrazos cariño ,"['muchas', 'gracias', 'por', 'todo', 'el', 'cariño', 'abrazos', 'cariño']",0.0
16, policia seguridad ,"['policia', 'seguridad']",0.0
17,sabemos que queda mucho camino por recorrer en materia de seguridad pero los datos nos indican que poco a poco la estrategia implementada está rindiendo frutos pablolemus seguridad estos datos nos llenan de impulso para lo que viene y todos nuestros esfuerzos seguirán enfocados en la tarea de recuperar la tranquilidad de nuestra ciudad ánimo guadalajara a seguir trabajando,"['sabemos', 'que', 'queda', 'mucho', 'camino', 'por', 'recorrer', 'en', 'materia', 'de', 'seguridad', 'pero', 'los', 'datos', 'nos', 'indican', 'que', 'poco', 'a', 'poco', 'la', 'estrategia', 'implementada', 'está', 'rindiendo', 'frutos', 'pablolemus', 'seguridad', 'estos', 'datos', 'nos', 'llenan', 'de', 'impulso', 'para', 'lo', 'que', 'viene', 'y', 'todos', 'nuestros', 'esfuerzos', 'seguirán', 'enfocados', 'en', 'la', 'tarea', 'de', 'recuperar', 'la', 'tranquilidad', 'de', 'nuestra', 'ciudad', 'ánimo', 'guadalajara', 'a', 'seguir', 'trabajando']",0.0
18,bien y de buenas excelente miércoles  miercoles pablolemus ,"['bien', 'y', 'de', 'buenas', 'excelente', 'miércoles', 'miercoles', 'pablolemus']",0.0
19, jalisco dif ,"['jalisco', 'dif']",0.0
20, guadalajara jalisco ,"['guadalajara', 'jalisco']",0.0
