,texto,tokens,coments,rts,likes,views
0,visitamos el oriente de la ciudad para una entrega más de “nidos de lluvia”,"['visitamos', 'el', 'oriente', 'de', 'la', 'ciudad', 'para', 'una', 'entrega', 'más', 'de', 'nidos', 'de', 'lluvia']",3,1,9,685
1,este nido captará el agua de lluvia,"['este', 'nido', 'captará', 'el', 'agua', 'de', 'lluvia']",1,2,5,349
2,agradezco a,"['agradezco', 'a']",,2,6,350
3,"ahora más calles de nuestra ciudad tienen un nuevo rostro, lucen más bonitas y dignas con la renovación que les hemos dado con:","['ahora', 'más', 'calles', 'de', 'nuestra', 'ciudad', 'tienen', 'un', 'nuevo', 'rostro', 'lucen', 'más', 'bonitas', 'y', 'dignas', 'con', 'la', 'renovación', 'que', 'les', 'hemos', 'dado', 'con']",18,10,50,3.336
4,adoquín podo táctil.,"['adoquín', 'podo', 'táctil']",,4,3,776
5,today:,['today'],,,394,2.026
6,"gracias a la estrategia operativa y la tecnología del c5 guadalajara, la comisaría de seguridad ciudadana guadalajara","['gracias', 'a', 'la', 'estrategia', 'operativa', 'y', 'la', 'tecnología', 'del', 'c5', 'guadalajara', 'la', 'comisaría', 'de', 'seguridad', 'ciudadana', 'guadalajara']",52,18,83,2.79
7,en guadalajara laboramos para brindar a las niñas y los niños los mejores cuidados.,"['en', 'guadalajara', 'laboramos', 'para', 'brindar', 'a', 'las', 'niñas', 'y', 'los', 'niños', 'los', 'mejores', 'cuidados']",,3,7,2.001
8,"más de dos mil tapatíos y tapatías disfrutaron de una ruta trail por la barranca de oblatos, como parte del segundo serial de carreras organizado por","['más', 'de', 'dos', 'mil', 'tapatíos', 'y', 'tapatías', 'disfrutaron', 'de', 'una', 'ruta', 'trail', 'por', 'la', 'barranca', 'de', 'oblatos', 'como', 'parte', 'del', 'segundo', 'serial', 'de', 'carreras', 'organizado', 'por']",5,6,33,1.837
9,muchas felicidades a todas y todos los participantes,"['muchas', 'felicidades', 'a', 'todas', 'y', 'todos', 'los', 'participantes']",,3,11,596
10,fue un gusto celebrar el 65 aniversario,"['fue', 'un', 'gusto', 'celebrar', 'el', '65', 'aniversario']",12,7,31,2.354
11,muchas felicidades a las y los estudiantes,"['muchas', 'felicidades', 'a', 'las', 'y', 'los', 'estudiantes']",1,2,8,718
12,vamos a seguir haciendo equipo,"['vamos', 'a', 'seguir', 'haciendo', 'equipo']",,1,3,789
