"css-4rbku5 href","css-9pa8cd src","css-901oao","css-901oao 2","css-901oao 3","css-4rbku5 href 4","css-4rbku5","css-901oao 4","css-4rbku5 2","css-4rbku5 href 5","css-901oao 5","css-4rbku5 3","css-4rbku5 href 6","css-901oao 6","css-4rbku5 href 7","css-9pa8cd src 2","css-901oao 8","css-4rbku5 href 12","css-901oao 9","css-901oao 10","css-4rbku5 href 13","css-901oao 11","r-4qtqp9 src","css-901oao 12","css-901oao 13","css-4rbku5 href 17","css-901oao 14","css-901oao 15","css-901oao 19"
"https://twitter.com/RafaBarriosD","https://pbs.twimg.com/profile_images/1711772934182694912/k7uoB8XB_normal.jpg","RafaelBarriosDavila","@RafaBarriosD","·","https://twitter.com/RafaBarriosD/status/1714081324007391457","15min","Que gusto poder acompañarlos el día de hoy, en representación de nuestro Alcalde","@PabloLemusN","https://twitter.com/PabloLemusN","; con la anfitrionia de la Dra Olga Martínez, Directora de la Escuela Secundaria Técnica #4; así como una fantástica banda de música del","@GuadalajaraGob","https://twitter.com/GuadalajaraGob","que amenizó","https://twitter.com/RafaBarriosD/status/1714081324007391457/photo/1","https://pbs.twimg.com/media/F8mj4DrWcAAvwjd?format=jpg&name=360x360","1","https://twitter.com/RafaBarriosD/status/1714081324007391457/analytics","4","","","","","","","","","",""
"https://twitter.com/JuanJoseFrangie","https://pbs.twimg.com/profile_images/1703804324126531589/CnnI7pKA_normal.png","Juan José Frangie","@JuanJoseFrangie","·","https://twitter.com/JuanJoseFrangie/status/1714079723385708896","22min","Muchas gracias, amigo. Sin tu apoyo esto no hubiera sido posible.","","","Sabes que cuentas con todo mi respaldo para seguir trabajando por las","","",".","","","","https://twitter.com/JuanJoseFrangie/status/1714079723385708896/analytics","42","En respuesta a","https://twitter.com/PabloLemusN","@PabloLemusN","https://abs-0.twimg.com/emoji/v2/svg/1f64c.svg","","","","","",""
"https://twitter.com/automation_com","https://pbs.twimg.com/profile_images/1245788238540877824/KseXttqj_normal.jpg","Automation.com","@automation_com","Dive into the annual AUTOMATION 2023 Trends Issue for the tech and strategies shaping industry and infrastructure.","https://twitter.com/automation_com/status/1694753433608245550/analytics","","76","","","445","","","605","","https://pbs.twimg.com/amplify_video_thumb/1693644161080324096/img/OYn2F1ukx7FzKhb1.jpg","Promocionado","","","","","","","","","","","",""
"https://twitter.com/BarrioSnAntonio","https://pbs.twimg.com/profile_images/1765534423/CLAUDIA_DELGADILLOGLEZ22_normal.jpg","Barrio de Sn Antonio","@BarrioSnAntonio","·","https://twitter.com/BarrioSnAntonio/status/1714075905901908089","37min","se han realizado no menos de cuatro reportes sin tener respuesta, ojalá que a través de ustedes podamos lograr que retiren este sanitario del jardín público ubicado en Lázaro Pérez entre rayón y escorza, da muy mal aspecto, gracias","@PabloLemusN","https://twitter.com/PabloLemusN","","@ANGELICAAGUIRR1","https://twitter.com/ANGELICAAGUIRR1","","https://twitter.com/BarrioSnAntonio/status/1714075905901908089/photo/1","https://pbs.twimg.com/media/F8me8-JWUAADJMH?format=jpg&name=900x900","2","https://twitter.com/BarrioSnAntonio/status/1714075905901908089/analytics","12","","","","","","","","","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1714072463649173588","51min","Te felicito amigo","","","por darle continuidad a importantes obras, Royal Country es una vía rápida que conecta a avenida Patria y Periférico. Sigamos trabajando en equipo por","@JuanJoseFrangie","https://twitter.com/JuanJoseFrangie","y","","","1","https://twitter.com/PabloLemusN/status/1714072463649173588/analytics","94","En respuesta a","https://twitter.com/JuanJoseFrangie","@JuanJoseFrangie","https://abs-0.twimg.com/emoji/v2/svg/1f609.svg","1","3","","","",""
"https://twitter.com/RafaBarriosD","https://pbs.twimg.com/profile_images/1711772934182694912/k7uoB8XB_normal.jpg","RafaelBarriosDavila","@RafaBarriosD","·","https://twitter.com/RafaBarriosD/status/1714070953716498733","57min","Buen inicio de semana! Hoy por la mañana, en representación de nuestro Alcalde","@PabloLemusN","https://twitter.com/PabloLemusN",", tuve el honor de ser partícipe en la Ceremonia de Inauguración de la Conmemoración del 60 Aniversario de la Escuela Secundaria Técnica No 4 “Idolina Gaona de Cosio”.","@GuadalajaraGob","https://twitter.com/GuadalajaraGob","","","https://pbs.twimg.com/ext_tw_video_thumb/1714070712472772609/pu/img/lLkq0W4OlvvfBJVt.jpg","","https://twitter.com/RafaBarriosD/status/1714070953716498733/analytics","19","","","","","","","","","",""
"https://twitter.com/Ramiro_Escoto","https://pbs.twimg.com/profile_images/528724338275414016/sWnBPTT4_normal.jpeg","RAMIRO ESCOTO DIGITAL (RED)","@Ramiro_Escoto","·","https://twitter.com/Ramiro_Escoto/status/1714065359408402783","1h","la empresa encuestadora","@PabloLemusN","https://twitter.com/PabloLemusN","presenta el","@ClementeCH","https://twitter.com/ClementeCH","entre","https://twitter.com/Ramiro_Escoto/status/1714065359408402783/photo/1","https://pbs.twimg.com/media/F8mVXFjXoAAAI1f?format=jpg&name=small","2","https://twitter.com/Ramiro_Escoto/status/1714065359408402783/analytics","215","","","","","","","https://twitter.com/hashtag/CaraACara?src=hashtag_click","","",""
"https://twitter.com/LuisGer23930782","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Luis Germán","@LuisGer23930782","·","https://twitter.com/LuisGer23930782/status/1714064705835130946","1h","Multen los, exhibanlos, marranos debería de vivir en un muladar","","","","","","","","","","https://twitter.com/LuisGer23930782/status/1714064705835130946/analytics","9","Respondiendo a","https://twitter.com/Myriamcarrilloe","@Myriamcarrilloe","","","","https://twitter.com/GuadalajaraGob","@GuadalajaraGob","y 2 más",""
"https://twitter.com/Ramiro_Escoto","https://pbs.twimg.com/profile_images/528724338275414016/sWnBPTT4_normal.jpeg","RAMIRO ESCOTO DIGITAL (RED)","@Ramiro_Escoto","·","https://twitter.com/Ramiro_Escoto/status/1714064050311643204","1h","publica","@PabloLemusN","https://twitter.com/PabloLemusN","la encuesta de","@MovCiudadanoJal","https://twitter.com/MovCiudadanoJal",". En la lista","https://twitter.com/Ramiro_Escoto/status/1714064050311643204/photo/1","https://pbs.twimg.com/media/F8mUK22WUAAwnIR?format=jpg&name=small","1","https://twitter.com/Ramiro_Escoto/status/1714064050311643204/analytics","303","","","","","","","https://twitter.com/hashtag/MejoresAlcaldes?src=hashtag_click","","",""
"https://twitter.com/Myriamcarrilloe","https://pbs.twimg.com/profile_images/1334160470736052228/VOTuMJsh_normal.jpg","Miri Estrella","@Myriamcarrilloe","·","https://twitter.com/Myriamcarrilloe/status/1714060803286987055","1h","así se encuentra la esquina de rio pecos y rio Danubio, col. Atlas, a pesar de que todos los días pasa el camión recolector, los vecinos sin educación aprovechan con total impunidad para tirar (literal) su basura. Que se puede hacer ?","@PabloLemusN","https://twitter.com/PabloLemusN","","@GuadalajaraGob","https://twitter.com/GuadalajaraGob","","https://twitter.com/Myriamcarrilloe/status/1714060803286987055/photo/1","https://pbs.twimg.com/media/F8mRN3gXYAA1oFE?format=jpg&name=small","1","https://twitter.com/Myriamcarrilloe/status/1714060803286987055/analytics","2.100","","","","","2","2","","","",""
