"css-4rbku5 href","css-9pa8cd src","css-4rbku5 href 2","css-901oao","css-901oao 2","css-901oao 3","css-4rbku5 href 4","css-4rbku5","css-901oao 4","r-4qtqp9 src","css-901oao 5","css-4rbku5 href 5","css-9pa8cd src 2","css-901oao 6","css-901oao 7","css-901oao 8","css-4rbku5 href 6","css-901oao 9","r-4qtqp9 src 2","css-901oao 10","css-4rbku5 href 7","css-9pa8cd src 3","css-4rbku5 href 8","css-9pa8cd src 4","css-4rbku5 2","css-4rbku5 3","css-901oao 11","css-901oao 12","css-4rbku5 href 9","css-9pa8cd src 5","css-4rbku5 href 10","css-4rbku5 href 11","css-901oao 13","css-901oao 14"
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1714023681809162507","2h","Visitamos el oriente de la ciudad para una entrega más de “Nidos de Lluvia”","https://abs-0.twimg.com/emoji/v2/svg/1f327.svg",". En esta ocasión estuvimos en la Escuela Primaria Ing. José Luis Arregui, en la colonia Oblatos.","https://twitter.com/PabloLemusN/status/1714023681809162507/photo/1","https://pbs.twimg.com/media/F8lvcm_XgAABL9N?format=jpg&name=small","3","1","9","https://twitter.com/PabloLemusN/status/1714023681809162507/analytics","685","","","","","","","","","","","","","","","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1714023728789491816","2h","Este Nido captará el agua de lluvia","https://abs-0.twimg.com/emoji/v2/svg/1f4a7.svg","para que pueda ser aprovechada para el uso que necesite la escuela, como regar los árboles, para los baños, etc. Además, con esto abonamos al cuidado de nuestro medio ambiente","https://twitter.com/PabloLemusN/status/1714023728789491816/photo/1","https://pbs.twimg.com/media/F8lve31W0AAfcTa?format=jpg&name=small","1","2","5","https://twitter.com/PabloLemusN/status/1714023728789491816/analytics","349","https://abs-0.twimg.com/emoji/v2/svg/1f33f.svg",".","https://twitter.com/PabloLemusN/status/1714023728789491816/photo/2","https://pbs.twimg.com/media/F8lvfQSWUAAecjP?format=jpg&name=360x360","https://twitter.com/PabloLemusN/status/1714023728789491816/photo/3","https://pbs.twimg.com/media/F8lvfqNW8AEv4E2?format=jpg&name=360x360","","","","","","","","","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1714023762876661865","2h","Agradezco a","","e","https://twitter.com/AstraZeneca","https://pbs.twimg.com/media/F8lvhlnXEAA9nye?format=jpg&name=small",", por hacer equipo para llevar a cabo este gran proyecto a las escuelas de nuestra ciudad, ya son 28 Nidos de Lluvia instalados. Invitó a las niñas y niños a cuidar del agua en sus casas, ya que todas y todos podemos ayudar. ¡Ánimo!","2","6","https://twitter.com/IslaUrbana","350","","","https://twitter.com/PabloLemusN/status/1714023762876661865/photo/1","","https://twitter.com/PabloLemusN/status/1714023762876661865/analytics","","@AstraZeneca","@IslaUrbana","","","","","","","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1713298830597206461","14 oct.","Ahora más calles de nuestra ciudad tienen un nuevo rostro, lucen más bonitas y dignas con la renovación que les hemos dado con:","https://abs-0.twimg.com/emoji/v2/svg/1f4cd.svg","Bacheo de caja, profundo y superficial.","https://twitter.com/PabloLemusN/status/1713298830597206461/photo/1","https://pbs.twimg.com/media/F8bcK12XAAAvGB8?format=jpg&name=360x360","18","10","50","https://twitter.com/PabloLemusN/status/1713298830597206461/analytics","3.336","https://abs-0.twimg.com/emoji/v2/svg/1f4cd.svg","Iluminación.","https://twitter.com/PabloLemusN/status/1713298830597206461/photo/2","https://pbs.twimg.com/media/F8bcLocXAAA9BNW?format=jpg&name=360x360","https://twitter.com/PabloLemusN/status/1713298830597206461/photo/3","https://pbs.twimg.com/media/F8bcMNjWQAAVhWG?format=jpg&name=360x360","","","Carpeta asfáltica.","Banquetas con accesibilidad universal.","https://twitter.com/PabloLemusN/status/1713298830597206461/photo/4","https://pbs.twimg.com/media/F8bcM2NXYAE6Juu?format=jpg&name=360x360","","","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1713298898482069642","14 oct.","Adoquín podo táctil.","https://abs-0.twimg.com/emoji/v2/svg/1f4cd.svg","Bolardos.","","https://pbs.twimg.com/media/F8bcPNnW8AApeoz?format=jpg&name=360x360","Balizamiento vial.
Y otras más renovaciones.

Nuestra ciudad está quedando de maravilla","4","3","https://twitter.com/hashtag/Guadalajara?src=hashtag_click","776","https://abs-0.twimg.com/emoji/v2/svg/1f4cd.svg",", para que los peatones caminen por banquetas amplias","https://twitter.com/PabloLemusN/status/1713298898482069642/photo/1","https://pbs.twimg.com/media/F8bcPzGXwAADCbk?format=jpg&name=360x360","https://twitter.com/PabloLemusN/status/1713298898482069642/analytics","https://pbs.twimg.com/media/F8bcQUNXoAANU7o?format=jpg&name=360x360","","#Guadalajara",", muy seguras y con infraestructura duradera. ¡Ánimo,","!","https://twitter.com/PabloLemusN/status/1713298898482069642/photo/2","https://pbs.twimg.com/media/F8bcQ0YXUAAy0ur?format=jpg&name=360x360","https://twitter.com/PabloLemusN/status/1713298898482069642/photo/3","https://twitter.com/PabloLemusN/status/1713298898482069642/photo/4","19",""
"https://twitter.com/getsquarex","https://pbs.twimg.com/profile_images/1689499534685347840/fAdQ_ISf_normal.png","https://twitter.com/getsquarex","SquareX","@getsquarex","Incognito mode? That’s a thing of the past. Browse privately with","https://twitter.com/hashtag/SquareX?src=hashtag_click","#SquareX","today:","","http://","https://t.co/BUwp5t5hQc?twclid=25ch2ghi92eawf5jqfhik1iim1","https://pbs.twimg.com/media/F5V15ElbMAAT00u?format=png&name=120x120","?twclid=25ch2ghi92eawf5jqfhik1iim1","sqrx.com","394","https://twitter.com/hashtag/BeFearlessOnline?src=hashtag_click","2.026","","6,9 M","https://sqrx.com/?utm_source=twitter&utm_medium=cpc&utm_campaign=emerging&utm_id=launch_0923&utm_content=drake_1&twclid=25ch2ghi92eawf5jqfhik1iim1","","https://twitter.com/getsquarex/status/1699395773601911195/analytics","","sqrx.io/f34qwa","#BeFearlessOnline","Promocionado","","","","","","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1713269845741981937","14 oct.","Gracias a la estrategia operativa y la tecnología del C5 Guadalajara, la Comisaría de Seguridad Ciudadana Guadalajara","https://abs-0.twimg.com/emoji/v2/svg/1f46e-200d-2642-fe0f.svg","logró reducir 64.2 por ciento el robo de vehículos","","https://pbs.twimg.com/ext_tw_video_thumb/1713269610005377024/pu/img/X3eJb20FaRwPgvcv.jpg","52","18","83","https://twitter.com/PabloLemusN/status/1713269845741981937/analytics","2.790","https://abs-0.twimg.com/emoji/v2/svg/1f46e-200d-2640-fe0f.svg","en la Perla Tapatía desde 2018.","","","","","","","","","","","","","",""
"https://twitter.com/GuadalajaraGob","https://pbs.twimg.com/profile_images/1699106644213334016/wHc5sJ54_normal.jpg","https://twitter.com/GuadalajaraGob","Gobierno de Guadalajara","@GuadalajaraGob","·","https://twitter.com/GuadalajaraGob/status/1708602928066400749","1 oct.","En Guadalajara laboramos para brindar a las niñas y los niños los mejores cuidados.","https://abs-0.twimg.com/emoji/v2/svg/2728.svg","En estos dos años de trabajo, junto con el","https://twitter.com/DIFGUADALAJARA","https://pbs.twimg.com/media/F7YtTL1WIAATLSz?format=jpg&name=small",", rehabilitamos cuatro Centros de Desarrollo Infantil en las colonias Analco, Blanco y Cuéllar, Jardines Alcalde y Lagos de Oriente.","3","7","","2.001","https://abs-0.twimg.com/emoji/v2/svg/1f91d.svg","","https://twitter.com/GuadalajaraGob/status/1708602928066400749/photo/1","","https://twitter.com/GuadalajaraGob/status/1708602928066400749/analytics","","@DIFGUADALAJARA","","","reposteado","","","","","14","Pablo Lemus Navarro"
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1708880442361893277","2 oct.","Más de dos mil tapatíos y tapatías disfrutaron de una ruta trail por la Barranca de Oblatos, como parte del segundo serial de carreras organizado por","",".","https://twitter.com/PabloLemusN/status/1708880442361893277/photo/1","https://pbs.twimg.com/media/F7cpryMX0AEcCO3?format=jpg&name=360x360","5","6","33","https://twitter.com/PabloLemusN/status/1708880442361893277/analytics","1.837","","","https://twitter.com/PabloLemusN/status/1708880442361893277/photo/2","https://pbs.twimg.com/media/F7cpsLuX0AcQBw6?format=jpg&name=360x360","https://twitter.com/PabloLemusN/status/1708880442361893277/photo/3","https://pbs.twimg.com/media/F7cpshvX0Bc4fJB?format=jpg&name=360x360","@ComudeGDL","","","","https://twitter.com/PabloLemusN/status/1708880442361893277/photo/4","https://pbs.twimg.com/media/F7cps7EX0AQKg4R?format=jpg&name=360x360","https://twitter.com/comudegdl","","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1708880490940322241","2 oct.","Muchas felicidades a todas y todos los participantes","https://abs-0.twimg.com/emoji/v2/svg/1f3c3-200d-2642-fe0f.svg",", gracias por hacer equipo para fomentar el deporte y un estilo de vida saludable","","https://pbs.twimg.com/media/F7cpuwQX0AQZeTF?format=jpg&name=360x360",".
¡Ánimo,","3","11","https://twitter.com/hashtag/Guadalajara?src=hashtag_click","596","https://abs-0.twimg.com/emoji/v2/svg/1f3c3-200d-2640-fe0f.svg","!","https://twitter.com/PabloLemusN/status/1708880490940322241/photo/1","https://pbs.twimg.com/media/F7cpvHHWYAAg1EQ?format=jpg&name=360x360","https://twitter.com/PabloLemusN/status/1708880490940322241/analytics","https://pbs.twimg.com/media/F7cpvh3X0AAFWsw?format=jpg&name=360x360","","#Guadalajara","","","https://twitter.com/PabloLemusN/status/1708880490940322241/photo/2","https://pbs.twimg.com/media/F7cpv3WX0AAZG-g?format=jpg&name=360x360","https://twitter.com/PabloLemusN/status/1708880490940322241/photo/3","https://twitter.com/PabloLemusN/status/1708880490940322241/photo/4","",""
