comentarios,repost,likes,views_reactions,views_reactions_log,red_social
7.0,8.0,25.0,548.0,6.306275286948016,X
2.0,3.0,21.0,375.0,5.926926025970411,X
4.0,31.0,20.0,378.0,5.934894195619588,X
20.0,18.0,68.0,1000.0,6.907755278982137,X
17.0,13.0,67.0,2000.0,7.600902459542082,X
84.0,33.0,113.0,6000.0,8.699514748210191,X
9.0,13.0,50.0,1000.0,6.907755278982137,X
15.0,11.0,74.0,3000.0,8.006367567650246,X
5.0,4.0,38.0,777.0,6.655440350367647,X
37.0,17.0,80.0,3000.0,8.006367567650246,X
10.0,41.0,45.0,1000.0,6.907755278982137,X
1.0,3.0,44.0,561.0,6.329720905522696,X
33.0,16.0,74.0,1000.0,6.907755278982137,X
2.0,29.0,54.0,419.0,6.037870919922137,X
4.0,7.0,53.0,934.0,6.839476438228843,X
2.0,31.0,51.0,481.0,6.175867270105761,X
3.0,5.0,56.0,1000.0,6.907755278982137,X
6.0,8.0,57.0,1000.0,6.907755278982137,X
11.0,20.0,71.0,2000.0,7.600902459542082,X
4.0,6.0,39.0,787.0,6.668228248417403,X
6.0,10.0,56.0,1000.0,6.907755278982137,X
19.0,21.0,91.0,2000.0,7.600902459542082,X
12.0,19.0,74.0,1000.0,6.907755278982137,X
13.0,6.0,42.0,1000.0,6.907755278982137,X
2.0,3.0,37.0,633.0,6.450470422144176,X
8.0,10.0,51.0,1000.0,6.907755278982137,X
1.0,5.0,36.0,1000.0,6.907755278982137,X
19.0,17.0,85.0,4000.0,8.294049640102028,X
1.0,33.0,60.0,423.0,6.0473721790462776,X
14.0,16.0,65.0,2000.0,7.600902459542082,X
4.0,5.0,44.0,819.0,6.70808408385307,X
3.0,5.0,42.0,1000.0,6.907755278982137,X
10.0,3.0,56.0,1000.0,6.907755278982137,X
116.0,25.0,109.0,17000.0,9.740968623038354,X
5.0,6.0,58.0,1000.0,6.907755278982137,X
2.0,2.0,37.0,742.0,6.60934924316738,X
10.0,7.0,71.0,1000.0,6.907755278982137,X
6.0,4.0,46.0,1000.0,6.907755278982137,X
42.0,30.0,113.0,12000.0,9.392661928770137,X
11.0,3.0,66.0,3000.0,8.006367567650246,X
5.0,2.0,29.0,1000.0,6.907755278982137,X
3.0,6.0,47.0,1000.0,6.907755278982137,X
8.0,8.0,48.0,2000.0,7.600902459542082,X
2.0,26.0,40.0,620.0,6.429719478039138,X
2.0,27.0,60.0,805.0,6.690842277418564,X
1.0,23.0,84.0,1000.0,6.907755278982137,X
