,No. Topico,Palabras Clave
0,0,"['saludo', 'dr', 'provecho', 'doc', 'torta', 'agua', 'gracias', 'valor', 'problema', 'animooooo']"
1,1,"['dr', 'tonalá', 'apoyo', 'buenrostro', 'regidor', 'gente', 'felicidad', 'duda', 'morena', 'proyecto']"
2,2,"['doctor', 'julio', 'apoyo', 'ocotlán', 'jalisco', 'éxito', 'pueblo', 'vida', 'padilla', 'trabajo']"
3,3,"['jalisco', 'transformación', 'dr', 'gobernador', 'opción', 'doctor', 'pueblo', 'triunfo', 'hombre', 'palabra']"
4,4,"['gobernador', 'doctor', 'felicidad', 'jalisco', 'morena', 'honor', 'cambio', 'claudia', 'saludo', 'actitud']"
5,5,"['equipo', 'dr', 'saludo', 'doctor', 'salto', 'jalisco', 'abrazo', 'amigo', 'respuesta', 'apoyo']"
6,6,"['dr', 'apoyo', 'persona', 'cambio', 'saludo', 'gobernatura', 'fuerza', 'familia', 'centro', 'presidente']"
7,7,"['cambio', 'municipio', 'dr', 'lograrer', 'apoyo', 'unidad', 'gobierno', 'perfil', 'lealtad', 'movilidad']"
8,8,"['dr', 'voto', 'bendición', 'confianza', 'propuesta', 'ánimo', 'angelico', 'cihuatlán', 'necesidad', 'jalisco']"
9,9,"['pueblo', 'movimiento', 'trabajo', 'jalisco', 'victoria', 'morena', 'hombro', 'casa', '2024', 'mujer']"
