,polaridad
0,0.0006735744790138
1,0.2643693047368373
2,0.3957213351866605
3,2.5502213624074655e-05
4,0.0108428509682335
5,0.0382075232413108
6,0.003951052976837
7,0.0733850494086659
8,0.6047313342430796
9,0.0373055913421108
10,0.0010972264149119
11,9.747981746354952e-09
12,0.4507454498615163
13,0.8184641151722704
14,8.835253066647978e-05
15,0.1111304695051704
16,0.0302301431283244
17,0.3438700360394838
18,0.0001130969188212
19,2.3984853768789164e-06
20,0.9285526742079838
21,2.074364992762387e-06
22,0.0022610995956138
23,0.4978922592055748
24,0.599284309575549
25,0.4978922592055748
26,0.4978922592055748
27,0.0028198055151524
28,0.0028198055151524
29,0.0001066198176777
30,0.0001066198176777
31,0.003034189760263
32,0.003034189760263
33,0.2507957975504201
34,0.2507957975504201
35,0.4978922592055748
36,0.4978922592055748
37,0.9281858695310584
38,0.9281858695310584
39,0.9403601665941164
40,0.9403601665941164
41,0.0034324859085631
42,0.0034324859085631
43,0.1352067679748919
44,0.1352067679748919
45,0.0069132902895487
46,0.0069132902895487
47,0.4731116932799126
48,0.4731116932799126
49,0.0021366935766025
50,0.0021366935766025
51,0.4978922592055748
52,0.4978922592055748
53,0.6150842836360038
54,0.6150842836360038
55,0.2846232169261788
56,0.2846232169261788
57,5.40832988483056e-05
58,5.40832988483056e-05
59,0.7789130040297381
60,0.7789130040297381
61,0.074377937977119
62,0.074377937977119
63,0.4028459067696465
64,0.4028459067696465
65,0.001789050089961
66,0.001789050089961
67,0.8964981323906235
68,0.8964981323906235
69,7.593687250052801e-06
70,7.593687250052801e-06
71,0.0046941792588663
72,0.0046941792588663
73,0.7940916016370325
74,0.7940916016370325
75,0.4870287290577342
76,0.4870287290577342
77,0.0030557071398533
78,0.0030557071398533
79,0.0014961588249644
80,0.0014961588249644
81,0.0124865445905169
82,0.0124865445905169
0,0.4978922592055748
1,0.3069547272515054
2,0.5136446707795853
3,0.8154719109213224
4,0.0287422117445135
5,0.2541726641076113
6,0.6235552725318039
7,0.0719999093374199
8,0.4978922592055748
9,6.559452751883119e-06
10,2.7926178939452048e-05
11,0.0014353938452861
12,0.4978922592055748
13,0.3069547272515054
14,0.0287422117445135
15,0.4612776830817024
16,0.4872801960214025
17,0.4872801960214025
18,0.4978922592055748
19,0.4978922592055748
20,0.379121809775271
21,0.5136446707795853
22,0.4978922592055748
23,0.0970699045705789
24,0.8154719109213224
25,0.4978922592055748
26,0.0641038890967472
27,0.0376534516464536
28,0.1085788269710805
29,0.4978922592055748
30,0.6128726279532205
31,0.1085788269710805
32,0.4978922592055748
33,0.6128726279532205
34,0.19613646870216
35,0.3269745550501543
36,0.2858374598939068
37,0.1606629558543377
38,0.4978922592055748
39,0.0970699045705789
40,0.28684659386477
41,0.4978922592055748
42,0.2858374598939068
43,0.1606629558543377
44,0.4978922592055748
45,0.0970699045705789
46,0.28684659386477
47,0.4978922592055748
48,0.4810837636405833
49,0.0109240555588381
50,1.8128974218604195e-05
51,0.0235224321104574
52,0.0502146217497311
0,0.4737554465528978
1,0.0046379682032241
2,0.4978922592055748
3,0.0005029337638742
4,0.845076146751597
5,0.5017543432377519
6,0.4978922592055748
7,0.0017424250952632
8,0.232935065504501
9,1.6573819797185652e-10
10,0.0014302221046691
11,0.4978922592055748
12,0.0008592203626308
13,0.0213974102080839
14,0.0213974102080839
15,0.5136446707795853
16,0.0203146833184524
17,0.4978922592055748
18,0.0006357983442289
19,0.2220051882092608
20,0.1241160718229072
21,0.4978922592055748
22,0.4978922592055748
23,0.4872801960214025
24,0.0039081940183507
25,0.4978922592055748
26,4.209279984459031e-05
27,0.021881651332178
28,0.4978922592055748
29,0.9581136821316084
30,0.4978922592055748
31,0.946454605223238
32,0.487980366762386
33,0.1365656708064478
34,0.017518000667779
35,0.5136446707795853
36,0.1039016207006397
37,0.0035847885399238
38,0.7301124156256802
39,0.4651188445544177
40,0.0016864728771875
41,0.0001774397301444
42,1.2965495668029843e-05
43,0.4978922592055748
44,0.1172616106436626
45,0.0004818691864017
46,0.0495668671938918
47,0.0049138605689407
48,0.4978922592055748
49,0.3465637962118602
50,0.4978922592055748
51,0.0822188726539148
52,0.0001559825709443
53,0.4978922592055748
54,0.3228246845546627
55,0.0010458480287809
56,0.4978922592055748
57,0.2517456297231813
58,1.199061881093715e-07
59,0.1062968969258405
60,0.4978922592055748
61,0.0291905127669177
62,0.0024716981899659
63,0.0913643030642957
64,0.0018562509325883
65,0.4978922592055748
66,0.3497515264445293
67,0.448509176479693
68,0.0004577882777073
69,0.0916938422655811
70,0.7005635780771149
71,1.6301102306677708e-06
72,0.0271159433590871
73,0.033326036687878
74,0.4639293365977412
75,0.4978922592055748
76,1.813634314567271e-09
77,0.0001076368938441
78,0.0747584676482354
79,0.4978922592055748
80,0.0037569612893831
81,0.0576698201513768
82,0.0001182427648802
83,0.4872801960214025
84,0.4978922592055748
85,0.4737554465528978
86,0.1777740694195046
87,0.1954026099136883
88,0.1738426377830091
89,0.4769721039139497
90,0.1099915675422075
91,0.4016456640770788
92,0.0041757638246567
93,0.4949456389253234
94,0.4978922592055748
95,0.3672829101996748
96,0.4872801960214025
97,0.4872801960214025
98,0.0506830202413456
99,0.4978922592055748
100,0.2828136932208214
101,0.0311127853650166
102,0.7216340865767811
103,0.4978922592055748
104,0.4978922592055748
105,0.3972970274207995
106,0.0589978772365613
107,0.4978922592055748
108,0.164849821118213
109,0.7896308023335322
110,0.3318228626708164
111,0.4978922592055748
112,0.007471716062292
113,0.0696326753882315
114,0.0396080979883677
115,0.4978922592055748
116,0.4978922592055748
117,0.0480644762575365
118,0.1208686110951082
119,0.000251998415826
120,0.4978922592055748
121,0.4078119007571439
122,0.6763517683108127
123,0.000315549464206
124,0.4978922592055748
125,0.3029968537174699
126,0.2620173593434548
127,0.4870287290577342
128,0.4978922592055748
129,0.0082338048986163
130,4.0913008761046224e-06
131,0.7293679019780844
132,0.7814303862653554
133,0.4978922592055748
134,0.3135681213723363
135,0.4978922592055748
136,0.4978922592055748
137,0.5136446707795853
138,0.4769721039139497
139,0.100263956164498
140,0.2480599624595507
141,0.4978922592055748
142,0.8577638040664197
143,8.380833576981565e-08
144,0.0755669063446068
145,0.4978922592055748
146,0.0001412207349074
147,0.2074276340043911
148,0.4639293365977412
149,0.0032058825982115
150,0.5759457531336667
151,0.0389800742773578
152,0.0498101591981383
153,0.5887973398928581
154,0.0004058839822552
155,0.4978922592055748
156,0.0146035922072513
157,0.4612776830817024
158,1.915865877972821e-05
159,0.0012598345168654
160,0.4978922592055748
161,0.5755436691302463
162,0.1092795934635272
163,0.5159436667231726
164,0.9998808628228478
165,0.4978922592055748
166,0.1330547962377515
167,0.3888686080913484
168,0.0275398184955811
169,7.844203853110061e-05
170,9.32338182497199e-05
171,1.4015797267018772e-05
172,0.0397384972577124
173,0.0001293003890842
174,2.96517991223067e-10
175,0.0014006610235911
176,0.4978922592055748
177,0.943959967011902
178,0.2141613514389676
179,1.9823478964072125e-06
180,0.1131160760001044
