,No. Topico,Palabras Clave
0,0,"['cambio', 'movimiento', 'chayote', 'fuerza', 'defensa', 'salto', 'comités', 'vida', 'presidente', 'traidor']"
1,1,"['jalisco', 'morena', 'dr', 'candidato', 'gobernador', 'pueblo', 'transformación', 'año', 'mujer', 'jajajajajaja']"
2,2,"['doctor', 'jalisco', 'gobernador', 'honestidad', 'felicidad', 'apoyo', 'gobierno', 'julio', 'cambio', 'honor']"
3,3,"['saludo', 'amigo', 'dr', 'edificio', 'municipio', 'unidad', 'abrazo', 'bendición', 'apoyo', 'perfil']"
4,4,"['dr', 'apoyo', 'tonalá', 'buenrostro', 'regidor', 'equipo', 'gente', 'saludo', 'persona', 'líder']"
5,5,"['tiempo', 'transformación', 'jalisco', 'deber', 'hombre', 'palabra', 'experiencia', 'colonia', 'compromiso', 'agua']"
6,6,"['gobernador', 'voto', 'doc', 'transformación', 'favor', 'negocio', 'lemus', 'pendejo', 'coordinador', 'sheinbaum']"
7,7,"['respuesta', 'candidato', 'cárdena', 'imagen', 'narco', 'candidata', 'descripción', 'gubernatura', 'cosa', 'camino']"
8,8,"['chema', 'lugar', 'opción', 'campaña', 'jajajaja', 'jajaja', 'medicina', 'duda', 'liderazgo', 'amor']"
9,9,"['dinero', 'corrupto', 'semana', 'madre', 'gracia', 'comunidad', 'trabajo', 'señor', 'gracias', 'mujer']"
