,texto,tokens,texto_preprocesado,bigramas_spacy,texto_lematizado,polaridad
2,en jalisco morena no está para improvisar no hay más a construir la transformación de jalisco con el liderazgo de nuestro amigo el doctor carlos lomelí ,"['improvisar', 'construir', 'transformación', 'liderazgo', 'amigo', 'carlos', 'lomelí']","['jalisco', 'morén', 'improvisar', 'construir', 'transformación', 'jalisco', 'liderazgo', 'amigo', 'doctor', 'carlos', 'lomelí']","[('en', 'jalisco'), ('jalisco', 'morena'), ('morena', 'no'), ('no', 'está'), ('está', 'para'), ('para', 'improvisar'), ('improvisar', 'no'), ('no', 'hay'), ('hay', 'más'), ('más', 'a'), ('a', 'construir'), ('construir', 'la'), ('la', 'transformación'), ('transformación', 'de'), ('de', 'jalisco'), ('jalisco', 'con'), ('con', 'el'), ('el', 'liderazgo'), ('liderazgo', 'de'), ('de', 'nuestro'), ('nuestro', 'amigo'), ('amigo', 'el'), ('el', 'doctor'), ('doctor', 'carlos'), ('carlos', 'lomelí')]",en jalisco morén no estar para improvisar no haber más a construir el transformación de jalisco con el liderazgo de nuestro amigo el doctor carlos lomelí,0.0006735744790138372
6,por la coordinación de la defensa de la  en,"['coordinación', 'defensa']","['coordinación', 'defensa']","[('por', 'la'), ('la', 'coordinación'), ('coordinación', 'de'), ('de', 'la'), ('la', 'defensa'), ('defensa', 'de'), ('de', 'la'), ('la', ' '), (' ', 'en')]",por el coordinación de el defensa de el   en,0.26436930473683734
9,la situación de carlos lomelí la resolverá el tribunal de materia administrativahttpmesaderedaccioncomlasituaciondecarloslomelilaresolveraeltribunaldemateriaadministrativa,"['situación', 'carlos', 'lomelí', 'resolverá', 'tribunal', 'materia', 'administrativahttpmesaderedaccioncomlasituaciondecarloslomelilaresolveraeltribunaldemateriaadministrativa']","['situación', 'carlos', 'lomelí', 'resolver', 'tribunal', 'materia', 'administrativahttpmesaderedaccioncomlasituaciondecarloslomelilaresolveraeltribunaldemateriaadministrativo']","[('la', 'situación'), ('situación', 'de'), ('de', 'carlos'), ('carlos', 'lomelí'), ('lomelí', 'la'), ('la', 'resolverá'), ('resolverá', 'el'), ('el', 'tribunal'), ('tribunal', 'de'), ('de', 'materia'), ('materia', 'administrativahttpmesaderedaccioncomlasituaciondecarloslomelilaresolveraeltribunaldemateriaadministrativa')]",el situación de carlos lomelí él resolver el tribunal de materia administrativahttpmesaderedaccioncomlasituaciondecarloslomelilaresolveraeltribunaldemateriaadministrativo,0.39572133518666053
12,en nuestra mañanera dimos voz a un grupo de vecinos de diferentes colonias que viven abusos y corrupción por parte de servidores públicos del ayuntamiento de guadalajaraestamos en pie de lucha con ellos hasta que la dignidad se haga costumbre,"['mañanera', 'dimos', 'voz', 'grupo', 'vecinos', 'diferentes', 'colonias', 'viven', 'abusos', 'corrupción', 'parte', 'servidores', 'públicos', 'ayuntamiento', 'guadalajaraestamos', 'pie', 'lucha', 'dignidad', 'haga', 'costumbre']","['mañanera', 'dar', 'voz', 'grupo', 'vecino', 'colonia', 'vivir', 'abuso', 'corrupción', 'servidor', 'público', 'ayuntamiento', 'guadalajaraestamos', 'pie', 'lucha', 'dignidad', 'hacer', 'costumbre']","[('en', 'nuestra'), ('nuestra', 'mañanera'), ('mañanera', 'dimos'), ('dimos', 'voz'), ('voz', 'a'), ('a', 'un'), ('un', 'grupo'), ('grupo', 'de'), ('de', 'vecinos'), ('vecinos', 'de'), ('de', 'diferentes'), ('diferentes', 'colonias'), ('colonias', 'que'), ('que', 'viven'), ('viven', 'abusos'), ('abusos', 'y'), ('y', 'corrupción'), ('corrupción', 'por'), ('por', 'parte'), ('parte', 'de'), ('de', 'servidores'), ('servidores', 'públicos'), ('públicos', 'del'), ('del', 'ayuntamiento'), ('ayuntamiento', 'de'), ('de', 'guadalajaraestamos'), ('guadalajaraestamos', 'en'), ('en', 'pie'), ('pie', 'de'), ('de', 'lucha'), ('lucha', 'con'), ('con', 'ellos'), ('ellos', 'hasta'), ('hasta', 'que'), ('que', 'la'), ('la', 'dignidad'), ('dignidad', 'se'), ('se', 'haga'), ('haga', 'costumbre')]",en nuestro mañanera dar voz a uno grupo de vecino de diferente colonia que vivir abuso y corrupción por parte de servidor público del ayuntamiento de guadalajaraestamos en pie de lucha con él hasta que el dignidad él hacer costumbre,2.5502213624074658e-05
15,que esta en juego este 4 de junio en las elecckones del  entre y   quienes son las corcholatas de jalisco,"['juego', 'junio', 'elecckones', 'corcholatas']","['juego', 'junio', 'elecckón', 'corcholata', 'jalisco']","[('que', 'esta'), ('esta', 'en'), ('en', 'juego'), ('juego', 'este'), ('este', '4'), ('4', 'de'), ('de', 'junio'), ('junio', 'en'), ('en', 'las'), ('las', 'elecckones'), ('elecckones', 'del'), ('del', ' '), (' ', 'entre'), ('entre', 'y'), ('y', '  '), ('  ', 'quienes'), ('quienes', 'son'), ('son', 'las'), ('las', 'corcholatas'), ('corcholatas', 'de'), ('de', 'jalisco')]",que este en juego este 4 de junio en el elecckón del   entre y    quien ser el corcholata de jalisco,0.010842850968233557
18,me siento muy afortunado de conocer y trabajar de la mano con personas tan comprometidas yenfocadas en el bien de nuestra ,"['siento', 'afortunado', 'conocer', 'trabajar', 'mano', 'personas', 'comprometidas', 'yenfocadas', 'bien']","['sentir', 'afortunado', 'trabajar', 'mano', 'persona', 'comprometido', 'yenfocada']","[('me', 'siento'), ('siento', 'muy'), ('muy', 'afortunado'), ('afortunado', 'de'), ('de', 'conocer'), ('conocer', 'y'), ('y', 'trabajar'), ('trabajar', 'de'), ('de', 'la'), ('la', 'mano'), ('mano', 'con'), ('con', 'personas'), ('personas', 'tan'), ('tan', 'comprometidas'), ('comprometidas', 'yenfocadas'), ('yenfocadas', 'en'), ('en', 'el'), ('el', 'bien'), ('bien', 'de'), ('de', 'nuestra')]",yo sentir mucho afortunado de conocer y trabajar de el mano con persona tanto comprometido yenfocada en el bien de nuestro,0.03820752324131084
21,creo que en jalisco el 1 de julio tendra gobernador de morena,"['creo', 'julio', 'tendra', 'gobernador']","['jalisco', 'julio', 'tendra', 'gobernador', 'morena']","[('creo', 'que'), ('que', 'en'), ('en', 'jalisco'), ('jalisco', 'el'), ('el', '1'), ('1', 'de'), ('de', 'julio'), ('julio', 'tendra'), ('tendra', 'gobernador'), ('gobernador', 'de'), ('de', 'morena')]",creer que en jalisco el 1 de julio tendra gobernador de morena,0.003951052976837098
24,una fiesta cívica el cierre de campaña en zapopan  presidente  diputado local  diputada federal  gobernador  presidente municipal,"['fiesta', 'cívica', 'cierre', 'campaña', 'zapopan', 'presidente', 'diputado', 'local', 'diputada', 'federal', 'gobernador', 'presidente', 'municipal']","['fiesta', 'cívico', 'cierre', 'campaña', 'zapopar', 'presidente', 'diputado', 'local', 'diputada', 'federal', 'gobernador', 'presidente', 'municipal']","[('una', 'fiesta'), ('fiesta', 'cívica'), ('cívica', 'el'), ('el', 'cierre'), ('cierre', 'de'), ('de', 'campaña'), ('campaña', 'en'), ('en', 'zapopan'), ('zapopan', ' '), (' ', 'presidente'), ('presidente', ' '), (' ', 'diputado'), ('diputado', 'local'), ('local', ' '), (' ', 'diputada'), ('diputada', 'federal'), ('federal', ' '), (' ', 'gobernador'), ('gobernador', ' '), (' ', 'presidente'), ('presidente', 'municipal')]",uno fiesta cívico el cierre de campaña en zapopar   presidente   diputado local   diputada federal   gobernador   presidente municipal,0.07338504940866596
27,prosperando para un mejor zapopan ,"['prosperando', 'mejor', 'zapopan']","['prosperar', 'zapopar']","[('prosperando', 'para'), ('para', 'un'), ('un', 'mejor'), ('mejor', 'zapopan')]",prosperar para uno mejor zapopar,0.6047313342430796
30,yo y mis gestos de atención en la apertura de campaña de   foto alberto,"['gestos', 'atención', 'apertura', 'campaña', 'foto', 'alberto']","['gesto', 'atención', 'apertura', 'campaña', 'foto', 'alberto']","[('yo', 'y'), ('y', 'mis'), ('mis', 'gestos'), ('gestos', 'de'), ('de', 'atención'), ('atención', 'en'), ('en', 'la'), ('la', 'apertura'), ('apertura', 'de'), ('de', 'campaña'), ('campaña', 'de'), ('de', '  '), ('  ', 'foto'), ('foto', 'alberto')]",yo y mi gesto de atención en el apertura de campaña de    foto alberto,0.037305591342110825
33,sangre zapata  por que este gallo les canta en su gallinero,"['sangre', 'zapata', 'gallo', 'canta', 'gallinero']","['sangre', 'zapata', 'gallo', 'cantar', 'gallinero']","[('sangre', 'zapata'), ('zapata', ' '), (' ', 'por'), ('por', 'que'), ('que', 'este'), ('este', 'gallo'), ('gallo', 'les'), ('les', 'canta'), ('canta', 'en'), ('en', 'su'), ('su', 'gallinero')]",sangre zapata   por que este gallo él cantar en su gallinero,0.001097226414911971
36,estuvimos presentes en la colonia ferrocarril en el poligo las víascolonia abandonada y olvidada por el gobierno municipal y estatalla contingencia sanitaria dejó a muchas familias de esta comunidad  sin trabajo y con esto sin seguridad social además sin recursos para poder solventar los gastos médicos si se presenta una enfermadadpor tal motivo nos comprometimos a apoyar a la comunidad en general y con ello llevaremos a cabo en los próximos días una jornada de salud gracias al apoyo del dr carlos lomelí no están solos y seguimos trabajando,"['presentes', 'colonia', 'ferrocarril', 'poligo', 'víascolonia', 'abandonada', 'olvidada', 'gobierno', 'municipal', 'estatalla', 'contingencia', 'sanitaria', 'dejó', 'muchas', 'familias', 'comunidad', 'trabajo', 'seguridad', 'social', 'además', 'recursos', 'poder', 'solventar', 'gastos', 'médicos', 'presenta', 'enfermadadpor', 'tal', 'motivo', 'comprometimos', 'apoyar', 'comunidad', 'general', 'ello', 'llevaremos', 'cabo', 'próximos', 'días', 'jornada', 'salud', 'gracias', 'apoyo', 'carlos', 'lomelí', 'solos', 'seguimos', 'trabajando']","['estuvir', 'presente', 'colonia', 'ferrocarril', 'poligo', 'víascolonia', 'abandonado', 'olvidado', 'gobierno', 'municipal', 'estatallo', 'contingencia', 'sanitario', 'familia', 'comunidad', 'trabajo', 'seguridad', 'social', 'recurso', 'solventar', 'gasto', 'médico', 'presentar', 'enfermadadpor', 'motivo', 'comprometer', 'apoyar', 'comunidad', 'general', 'llevar', 'cabo', 'jornada', 'salud', 'gracias', 'apoyo', 'dr', 'carlos', 'lomelí', 'seguir', 'trabajar']","[('estuvimos', 'presentes'), ('presentes', 'en'), ('en', 'la'), ('la', 'colonia'), ('colonia', 'ferrocarril'), ('ferrocarril', 'en'), ('en', 'el'), ('el', 'poligo'), ('poligo', 'las'), ('las', 'víascolonia'), ('víascolonia', 'abandonada'), ('abandonada', 'y'), ('y', 'olvidada'), ('olvidada', 'por'), ('por', 'el'), ('el', 'gobierno'), ('gobierno', 'municipal'), ('municipal', 'y'), ('y', 'estatalla'), ('estatalla', 'contingencia'), ('contingencia', 'sanitaria'), ('sanitaria', 'dejó'), ('dejó', 'a'), ('a', 'muchas'), ('muchas', 'familias'), ('familias', 'de'), ('de', 'esta'), ('esta', 'comunidad'), ('comunidad', ' '), (' ', 'sin'), ('sin', 'trabajo'), ('trabajo', 'y'), ('y', 'con'), ('con', 'esto'), ('esto', 'sin'), ('sin', 'seguridad'), ('seguridad', 'social'), ('social', 'además'), ('además', 'sin'), ('sin', 'recursos'), ('recursos', 'para'), ('para', 'poder'), ('poder', 'solventar'), ('solventar', 'los'), ('los', 'gastos'), ('gastos', 'médicos'), ('médicos', 'si'), ('si', 'se'), ('se', 'presenta'), ('presenta', 'una'), ('una', 'enfermadadpor'), ('enfermadadpor', 'tal'), ('tal', 'motivo'), ('motivo', 'nos'), ('nos', 'comprometimos'), ('comprometimos', 'a'), ('a', 'apoyar'), ('apoyar', 'a'), ('a', 'la'), ('la', 'comunidad'), ('comunidad', 'en'), ('en', 'general'), ('general', 'y'), ('y', 'con'), ('con', 'ello'), ('ello', 'llevaremos'), ('llevaremos', 'a'), ('a', 'cabo'), ('cabo', 'en'), ('en', 'los'), ('los', 'próximos'), ('próximos', 'días'), ('días', 'una'), ('una', 'jornada'), ('jornada', 'de'), ('de', 'salud'), ('salud', 'gracias'), ('gracias', 'al'), ('al', 'apoyo'), ('apoyo', 'del'), ('del', 'dr'), ('dr', 'carlos'), ('carlos', 'lomelí'), ('lomelí', 'no'), ('no', 'están'), ('están', 'solos'), ('solos', 'y'), ('y', 'seguimos'), ('seguimos', 'trabajando')]",estuvir presente en el colonia ferrocarril en el poligo el víascolonia abandonado y olvidado por el gobierno municipal y estatallo contingencia sanitario dejar a mucho familia de este comunidad   sin trabajo y con este sin seguridad social además sin recurso para poder solventar el gasto médico si él presentar uno enfermadadpor tal motivo yo comprometer a apoyar a el comunidad en general y con él llevar a cabo en el próximo día uno jornada de salud gracias al apoyo del dr carlos lomelí no estar solo y seguir trabajar,9.74798174635495e-09
39,cierre de campaña en zapopan  presidente   presidente municipal,"['cierre', 'campaña', 'zapopan', 'presidente', 'presidente', 'municipal']","['cierre', 'campaña', 'zapopar', 'presidente', 'presidente', 'municipal']","[('cierre', 'de'), ('de', 'campaña'), ('campaña', 'en'), ('en', 'zapopan'), ('zapopan', ' '), (' ', 'presidente'), ('presidente', '  '), ('  ', 'presidente'), ('presidente', 'municipal')]",cierre de campaña en zapopar   presidente    presidente municipal,0.4507454498615163
42,parque entregadocol el vigia zapopan,"['parque', 'entregadocol', 'vigia', 'zapopan']","['parque', 'entregadocol', 'vigia', 'zapopar']","[('parque', 'entregadocol'), ('entregadocol', 'el'), ('el', 'vigia'), ('vigia', 'zapopan')]",parque entregadocol el vigia zapopar,0.8184641151722704
45,con todas la medidas sanitarias realizamos a través de las asociacion civil  la tradicional posada en la colonia primero de mayo y sus alrededoresnuestro propósito es llevar  y  en tiempos difíciles y sobre todo no perder esta tradición en épocas de sembrinagracias a todos los que se dieron cita,"['todas', 'medidas', 'sanitarias', 'realizamos', 'través', 'asociacion', 'civil', 'tradicional', 'posada', 'colonia', 'primero', 'mayo', 'alrededoresnuestro', 'propósito', 'llevar', 'tiempos', 'difíciles', 'perder', 'tradición', 'épocas', 'sembrinagracias', 'dieron', 'cita']","['medida', 'sanitario', 'realizamos', 'asociacion', 'civil', 'tradicional', 'posada', 'colonia', 'mayo', 'alrededoresnuestro', 'propósito', 'tiempo', 'difícil', 'perder', 'tradición', 'época', 'sembrinagracia', 'cita']","[('con', 'todas'), ('todas', 'la'), ('la', 'medidas'), ('medidas', 'sanitarias'), ('sanitarias', 'realizamos'), ('realizamos', 'a'), ('a', 'través'), ('través', 'de'), ('de', 'las'), ('las', 'asociacion'), ('asociacion', 'civil'), ('civil', ' '), (' ', 'la'), ('la', 'tradicional'), ('tradicional', 'posada'), ('posada', 'en'), ('en', 'la'), ('la', 'colonia'), ('colonia', 'primero'), ('primero', 'de'), ('de', 'mayo'), ('mayo', 'y'), ('y', 'sus'), ('sus', 'alrededoresnuestro'), ('alrededoresnuestro', 'propósito'), ('propósito', 'es'), ('es', 'llevar'), ('llevar', ' '), (' ', 'y'), ('y', ' '), (' ', 'en'), ('en', 'tiempos'), ('tiempos', 'difíciles'), ('difíciles', 'y'), ('y', 'sobre'), ('sobre', 'todo'), ('todo', 'no'), ('no', 'perder'), ('perder', 'esta'), ('esta', 'tradición'), ('tradición', 'en'), ('en', 'épocas'), ('épocas', 'de'), ('de', 'sembrinagracias'), ('sembrinagracias', 'a'), ('a', 'todos'), ('todos', 'los'), ('los', 'que'), ('que', 'se'), ('se', 'dieron'), ('dieron', 'cita')]",con todo el medida sanitario realizamos a través de el asociacion civil   el tradicional posada en el colonia primero de mayo y su alrededoresnuestro propósito ser llevar   y   en tiempo difícil y sobre todo no perder este tradición en época de sembrinagracia a todo el que él dar cita,8.835253066647978e-05
48,morena redobla críticas contra paco sánchez,"['redobla', 'críticas', 'paco', 'sánchez']","['morena', 'redoblar', 'crítica', 'paco', 'sánchez']","[('morena', 'redobla'), ('redobla', 'críticas'), ('críticas', 'contra'), ('contra', 'paco'), ('paco', 'sánchez')]",morena redoblar crítica contra paco sánchez,0.11113046950517044
51,por primera vez con humildad y valentía  se someterá a la  asegura  en el edil de  inició en esta ciudad su gira para respaldar el proyecto de nación bajo la 4tinformación en proceso ,"['primera', 'vez', 'humildad', 'valentía', 'someterá', 'asegura', 'edil', 'inició', 'ciudad', 'gira', 'respaldar', 'proyecto', 'nación', 'bajo', 'proceso']","['humildad', 'valentir', 'someter', 'asegurar', 'edil', 'iniciar', 'ciudad', 'gira', 'respaldar', 'proyecto', 'nación', 'proceso']","[('por', 'primera'), ('primera', 'vez'), ('vez', 'con'), ('con', 'humildad'), ('humildad', 'y'), ('y', 'valentía'), ('valentía', ' '), (' ', 'se'), ('se', 'someterá'), ('someterá', 'a'), ('a', 'la'), ('la', ' '), (' ', 'asegura'), ('asegura', ' '), (' ', 'en'), ('en', 'el'), ('el', 'edil'), ('edil', 'de'), ('de', ' '), (' ', 'inició'), ('inició', 'en'), ('en', 'esta'), ('esta', 'ciudad'), ('ciudad', 'su'), ('su', 'gira'), ('gira', 'para'), ('para', 'respaldar'), ('respaldar', 'el'), ('el', 'proyecto'), ('proyecto', 'de'), ('de', 'nación'), ('nación', 'bajo'), ('bajo', 'la'), ('la', '4tinformación'), ('4tinformación', 'en'), ('en', 'proceso')]",por primero vez con humildad y valentir   él someter a el   asegurar   en el edil de   iniciar en este ciudad su gira para respaldar el proyecto de nación bajo el 4tinformación en proceso,0.030230143128324408
54,ayer fue un magnífico día  cierre de campaña de  y el,"['ayer', 'magnífico', 'cierre', 'campaña']","['ayer', 'magnífico', 'cierre', 'campaña']","[('ayer', 'fue'), ('fue', 'un'), ('un', 'magnífico'), ('magnífico', 'día'), ('día', ' '), (' ', 'cierre'), ('cierre', 'de'), ('de', 'campaña'), ('campaña', 'de'), ('de', ' '), (' ', 'y'), ('y', 'el')]",ayer ser uno magnífico día   cierre de campaña de   y el,0.3438700360394838
