texto,fecha,emocion
Bn día!! Regidor@s ✨,29/10/2023 23:24,neutral
Gracias asu tolerancia Firmeza y transparencia de persona ah llegado a sus sueños para apoyar y trabajar con el pueblo de Guadalajara Dr Carlos Lomelí gracias,29/10/2023 22:00,gratitude
"Vamos apoyar con todo al Dr. Carlos Lomelí
SI PUEDE!!!
VAMOS JALISCO!!!
VAMOS TOMATLAN!!!!!!",29/10/2023 23:00,caring
Saludos cordiales desde cocula jalisco México cuna mundial del mariachi ajua,29/10/2023 22:00,neutral
Buenos días. q la ciudadanía despierte ya MC puro ROBO,29/10/2023 22:00,neutral
Lindo día!! Saludos desde Unión de TVLA! Dra.Candelaria un abrazo... Iniciamos con toda la actitud MORENA LEVANTANDO LA VOZ!!!,29/10/2023 23:00,joy
buen día ojalá toquen el tema de las gruas pero de los operativos fantasmas,29/10/2023 22:00,optimism
Saludos desde Etzatlan Jalisco viva la 4T,29/10/2023 22:00,neutral
Y les pido de que solucionen por favor el agua 💧 porque si está muy sucia y gracias ah ustedes que se encargan de todo esto,29/10/2023 22:00,caring
Esas 🐀🐀🐀🐀 de MC no tienen llenadera 🤮,29/10/2023 22:00,neutral
Buen día 👍💯,29/10/2023 22:00,caring
Buenos días,29/10/2023 22:00,neutral
Vamos con todo Dr. Carlos Lomelí próximo gobernador todo el apoyo del distrito 15 poncitlan,29/10/2023 09:00,approval
Excelente De Carlos Lomeli,29/10/2023 12:00,admiration
mi 🐓🐓🐓🐓🐓 es el doc lomeli con toda la actitud ánimo si se puede saludos desde poncitlan,29/10/2023 23:00,admiration
Usted tiene todo nuestro voto 🗳️ por que sabemos que es el cambio para Jalisco espero y pronto pase por nuestro municipio para poderlo saludar cuquio jalisco aquí lo esperamos,29/10/2023 11:00,optimism
Saludos desde cihuatlan hay le encargo a cihualtan,29/10/2023 11:00,neutral
Excelente!!!,29/10/2023 12:00,admiration
Por Jalisco Dr Lomeli Nuestro Próximo Gobernador,29/10/2023 08:00,neutral
Próximo Gobernador .👍,29/10/2023 08:00,neutral
🙏,29/10/2023 11:00,neutral
El salto con el Dr Carlos Lomeli,29/10/2023 21:00,neutral
Estamos con usted doctor Lomeli gobernador,29/10/2023 07:00,neutral
Todo el apoyo desde Tonalá Dr. Carlos Lomelí Bolaños con el equipo del Regidor Alejandro Buenrostro,29/10/2023 10:00,neutral
Para las y los jovenes este señor es bien tranzas se metio a morena para venir a joder a jalisco es igual que Alfaro no se dejen engañar,29/10/2023 21:00,neutral
"Dr lomelí cuando llegues a la gobernatura ayoda al pueblo con las roboverificació
nes qué impuso Alfaro.
En el 2024vmi voto va por ti",29/10/2023 22:00,neutral
"Demagogia del pasado visitas domiciliarias, promesas y más promesas viejos vicios del pasado, cambien discurso, mejor NO ROBAR
NO MENTIR
NO TRAICIONAR",29/10/2023 23:07,neutral
Todo el apoyo del distrito 19 cd Guzmán Dr. Carlos Lomelí Bolaños,29/10/2023 08:00,neutral
MC TIENE QUE SALIR PARA SIEMPRE DEL GOBIERNO...,29/10/2023 23:12,neutral
Todo el apoyo desde Tonalá Dr. Carlos Lomelí Bolaños con el equipo del Regidor Alejandro Buenrostro,29/10/2023 23:00,neutral
Excelente equipo para una excelente transformación,29/10/2023 01:00,admiration
Que bueno dr. Lomelí que se la lleve bien con la dra.Claudia para que nos vaya mejor en Jalisco.( Para rescatarlo).,29/10/2023 23:00,caring
Vamos por la transformación de jalisco y sus municipios con el Dr. Carlos Lomelí Bolaños,,approval
Vamos a salvar a Jalisco del Hugo Chávez Alfaro que está en jalisco,29/10/2023 01:00,neutral
DR.LOMELI CUENTE CON TODO EL APOYO DE NUESTRA GENTE Y FAMILIARES VIVA LA 4T.Y MORENA,,approval
Por un cambio verdadero que necesita Jalisco con el Dr.Carlos Lomelí se logrará,,approval
"El más cercano al pueblo de Jalisco, el más querido por los jaliscienses, la transformación la coordinará dr Carlos Lomelí y a Jalisco le urge el mejor gobernador de la historia moderna",,neutral
🙌🏻🙌🏻,,approval
Eso es todo 😃🤗muchas felicidades doctor👏👏👏💪🙏 Dr. Carlos Lomelí Bolaños en hora buena saludos de Jose Pio Lopez Acero y su servidora Yadira Alejandra Picazo Serna,29/10/2023 03:00,joy
Apoyo al coordinador de MORENA en JALISCO es el Doc Carlos Lomelí Bolaños y el regidor Alejandro Buenrostro de Tonalá vamos todos por la cuarta transformación,,neutral
Para un mejor Jalisco es Carlo lomelí la familia Gonzales estamos con morena en el salto y Tonalá saludos a Alejandro Buenrostro,,neutral
"Nadie como usted para seguir la 4T en Jalisco, queremos un verdadero hombre de palabra para sacar a los Naranjas del estado",,annoyance
TOTALMENTE DE ACUERDO!!! Dr LOMELÍ!!! Firmes y adelante!!!! 4T !! Saludos cordiales 🙏,,approval
"Muchas Felicidades doc., siempre activo",,admiration
Un placer haberlo acompañado Dr. Carlos Lomelí Bolaños todo el equipo de Alejandro Buenrostro,,joy
Apollo total Dr confiamos en usted ...,29/10/2023 23:53,approval
"Vamos con usted👍🏻, un mejor jalisco 👌🏻",29/10/2023 23:00,approval
Sin duda la mejor opción dr Lomeli,,admiration
Apoyo total al doc Carlos Lomeli,29/10/2023 23:13,neutral
"SALUDOS Dr. Carlos Lomeelí Bolaños
Departe de la señora IRENE IÑIGUEZ GONZALEZ ENFERMERA DEL CENTRO DE SALUD DE LA COMUNIDAD DE SANTA CRUZ DE LAS HUERTAS , TIENE NUESTRO
APOYO Y BENDICIONES",29/10/2023 23:00,gratitude
Apoyo a Carlos Lomeli,,caring
"El pueblo lo quiere a Usted, por qué morena ya tiene candidato.",,love
UMM doctor va Lemus en contra de usted se la va a aplicar igual que en Guadalajara si no busca una buena estrategia se repetirá la ecuación gana Lemus y usted en segundo pero bueno a ver cómo le va por que ya están preparando toda la caballería del estado y de los ayuntamientos que tiene MC,29/10/2023 21:00,neutral
Todo el apoyo al dr. Lomelí,29/10/2023 23:00,neutral
"Jalisco en verdad mmmm no es que nesecite un cambio , si no que urge ese cambio verdadero que el gobierno actual tanto prometió,, usted si Dr. Carlos Lomelí Bolaños creo sin lugar a dudas que este es su tiempo...",,neutral
"solo en usted confiamos DR LOMELI , nunca votaremos otra vez por un ladrón y corrupto panista , aunque brinque a morena , en jalis usted es el mejor representante del movimiento de regeneración , VAMOS CON USTED DR CARLOS LOMELI",,neutral
Estamos con usted Doctor,,neutral
contódo mi doc tu eres mi 🐓🐓🐓🐓🐓 saludos desde poncitlan,,neutral
José Luis Muro,,neutral
José Luis Muro,,neutral
Siempre lo apoyaré Dr. Carlos Lomelí Bolaños los migrantes ya nos conoce un abrazo 🤗,,caring
"En el salto confiamos en usted Dr. Lomelí, Sabemos que no nos va a fallar.",,approval
Un saludo mi estimado Carlitos,,excitement
"Muchas Felicidades Dr.
Tlaquepaque y Jalisco son 4T",,excitement
"Como Jalisciense es nuestro tiempo apoyar al Dr. Carlos Lomelí
Juntos ganaremos y a Cumplir su compromiso como Gobernador!!!!
Dr. Carlos Lomelí SÍ PUEDE !!!!",,approval
saludos desde poncitlan animo si se puede,,joy
Dr. Carlos Lomelí Bolaños siiii se puede saludos 🤗 cordiales,,joy
Saludos desde Tlaquepaque!!,,neutral
Porque Jalisco es Grande y lo merece Morena Si Dr Lomeli Nuestro Próximo Gobernador,,admiration
El Dr. Carlos Lomelí Bolaños SI PUEDE,,neutral
LUCHAREMOS UNIDOS A SU LADO DR.LOMELI YA ASE FALTA UN VERDADERO CAMBIO UD. SERA GOBERNADOR DEL ESTADO DE JALISCO VIVA LA 4T. Y MORENA,29/10/2023 19:00,neutral
Vamos con todo Dr Carlos Lomelí próximo gobernador,,neutral
a darle con todo y hasta cumplir el objetivo mi doc animooooo si se puede saludos desde poncitlan,,caring
Así es doctor como usted dice la unión mueve montañas siempre con usted adelante k ya falta menos,,neutral
Dr. Carlos Lomelí SÍ PUEDE !!!!!,,neutral
👏👏👏👏,,amusement
"Dr,siempre cuenta con mi apoyo incondicional desde Los Ángeles California ,
Jalisco por un cambio real 🤝🤝",,caring
OJALA Y NO PACTE CON MOVIMIENTO CIUDADANO LA GOBERNATURA DR. LOMELÍ PORQUE ELLOS YA TIENEN LISTO A LEMUS Y SEGÚN ESO YA PACTARON VARIAS DEPENDENCIAS.,,disapproval
Esooo nececito Jalisco Morena Si La 4T llegará pronto Dr Lomeli Nuestro Próximo Gobernador,,neutral
Camello Camello Camello,,neutral
Jalisco con el.Dr.Lomeli,,neutral
TODO JALISCO CON MORENA DR LOMELÍ Y LA 4 T,,neutral
Guadalajara que con su confianza y firmeza a logrado llegar Asus sueños para trabajar y transformar asu pueblo Dr Carlos Lomelí,,admiration
"Con todo, vamos con el Doctor Lomeli, próximo gobernador de Jalisco.",,neutral
Ocotlán Jalisco está con usted doctor Lomeli gobernador y el gran equipo del profe julio que día a día y simos un gran trabajo para que el estado de Jalisco sea mejor,,admiration
"Todo nuestro apoyo con usted, Dr. Lomelí
Saludos desde Tonalá
Equipo del Regidor Alejandro Buenrostro.",,caring
Ya es el momento de la 4T en Jalisco. Es el tiempo del pueblo.,,neutral
Vamos por el cambio con el Dr. Carlos Lomelí Bolaños 👍👌,,amusement
"Es verdad Dr Carlos Lomeli, se dice fácil, pero se requiere de mucho valor, como lo ha tenido usted. Felicidades, y gracias por no soltarnos",,gratitude
Distrito 18 con Usted estimado Doctor 🇱🇻🙌🏽,,neutral
"Felicidades Dr.
Tlaquepaque y Jalisco son 4T",,excitement
Vamos con todo por Jalisco Morena SI Dr Lomeli Nuestro Próximo Gobernador,,neutral
"Dr. Carlos Lomelí SÍ PUEDE!!!
Dios y el Estado Jalisco con tigo en la Cd de México 🙌",,neutral
Estamos con el Dr Carlos LOMELI Si se Puede Distrito 19 te apoyamos Dr en la Encuesta Dr Carlos LOMELI es la Respuesta,,neutral
Vamos con todo Dr Carlos Lomelí,,neutral
Exito. Dr.,,gratitude
Jalisco con usted Doc Lomelí,,neutral
Abrazo Doctor! Jalisco será #Morena,,neutral
Es tiempo de un buen cambio Dr. Lomeli 🙏,,joy
Vamos 💪 Doctor nuestro próximo gobernador,,annoyance
"Estamos con usted Dr Carlos.
Lomelí es la respuesta.",,caring
"Saludos de Tuxpan, Dr Carlos Si se puede.",,neutral
Felicidad de todos los migrantes de California,,sadness
Jalisco ya Decidió Dr. Carlos Lomelí Bolaños será el próximo gobernador ¡SI PUEDE!,,neutral
Cuautla esta con usted Dr. Carlos Lomelí Bolaños 🫶,,caring
Jalisco y sus distritos ya queremos el cambio por eso el apoyo es para Dr. Carlos Lomelí Bolaños donde vamos haber la diferencia y un cambio verdadero,,approval
El pueblo de Jalisco ya decidio! Con el Dr. Carlos Lomelí Bolaños vamos a construir la Transformación de Jalisco ! Lo mejor está por venir!,,optimism
