,texto,tokens,Coments,RT’s,Likes,Views
0,"aquí estoy, con la cabeza en alto y el corazón encendido, a punto de alcanzar este sueño.  ","['aquí', 'estoy', 'con', 'la', 'cabeza', 'en', 'alto', 'y', 'el', 'corazón', 'encendido', 'a', 'punto', 'de', 'alcanzar', 'este', 'sueño']",177,41,3,6873
1,de doctor a doctora @claudia sheinbaum pardo .,"['de', 'doctor', 'a', 'doctora', 'claudia', 'sheinbaum', 'pardo']",59,5,1,683
2,"con la fuerza de la unidad, ¡estamos listos para ganar con la dra. claudia sheinbaum!  nadie detendrá la transformación de jalisco en 2024.","['con', 'la', 'fuerza', 'de', 'la', 'unidad', 'estamos', 'listos', 'para', 'ganar', 'con', 'la', 'dra', 'claudia', 'sheinbaum', 'nadie', 'detendrá', 'la', 'transformación', 'de', 'jalisco', 'en', '2024']",142,17,3,1136
3,"en #morena hemos combatido permanentemente la corrupción de movimiento ciudadano. no nos detendremos, así seguiremos porque nosotros actuamos bajo los principios de no mentir, no robar y no traicionar el mandato del pueblo.","['en', 'morena', 'hemos', 'combatido', 'permanentemente', 'la', 'corrupción', 'de', 'movimiento', 'ciudadano', 'no', 'nos', 'detendremos', 'así', 'seguiremos', 'porque', 'nosotros', 'actuamos', 'bajo', 'los', 'principios', 'de', 'no', 'mentir', 'no', 'robar', 'y', 'no', 'traicionar', 'el', 'mandato', 'del', 'pueblo']",123,33,3,3972
4,"mientras movimiento ciudadano y el gobierno dd guadalara quieren más impuestos, en #morena proponemos servicios médicos municipales gratuitos.","['mientras', 'movimiento', 'ciudadano', 'y', 'el', 'gobierno', 'dd', 'guadalara', 'quieren', 'más', 'impuestos', 'en', 'morena', 'proponemos', 'servicios', 'médicos', 'municipales', 'gratuitos']",55,4,2,901
5,"caro, malo y vacío el carrusel de pablo lemus.  quiero escuchar sus voces. ¿están cansados de esta corrupción? ¡es hora de un cambio real en guadalajara y en todo jalisco!","['caro', 'malo', 'y', 'vacío', 'el', 'carrusel', 'de', 'pablo', 'lemus', 'quiero', 'escuchar', 'sus', 'voces', 'están', 'cansados', 'de', 'esta', 'corrupción', 'es', 'hora', 'de', 'un', 'cambio', 'real', 'en', 'guadalajara', 'y', 'en', 'todo', 'jalisco']",2187,381,99,84200
6,"esperamos que las autoridades investiguen a fondo el desfalco de 330 millones de pesos al erario de zapopan, durante la administración de pablo lemus.  ","['esperamos', 'que', 'las', 'autoridades', 'investiguen', 'a', 'fondo', 'el', 'desfalco', 'de', '330', 'millones', 'de', 'pesos', 'al', 'erario', 'de', 'zapopan', 'durante', 'la', 'administración', 'de', 'pablo', 'lemus']",14,1,1,637
7,"preocupan los datos del #inegi , donde muestran a guadalajara como una de las ciudades más inseguras del país.","['preocupan', 'los', 'datos', 'del', 'inegi', 'donde', 'muestran', 'a', 'guadalajara', 'como', 'una', 'de', 'las', 'ciudades', 'más', 'inseguras', 'del', 'país']",58,9,2,1002
8,"las y los ciudadanos de la #zmg reciben agua sucia que puede dañar su salud. lo peor es que el gobierno naranja no atiende la situacion, pero sí cobra peso a peso este servicio.","['las', 'y', 'los', 'ciudadanos', 'de', 'la', 'zmg', 'reciben', 'agua', 'sucia', 'que', 'puede', 'dañar', 'su', 'salud', 'lo', 'peor', 'es', 'que', 'el', 'gobierno', 'naranja', 'no', 'atiende', 'la', 'situacion', 'pero', 'sí', 'cobra', 'peso', 'a', 'peso', 'este', 'servicio']",1527,326,84,42700
9,ya basta del abuso de poder de movimiento ciudadano. la transformación está en camino.  ,"['ya', 'basta', 'del', 'abuso', 'de', 'poder', 'de', 'movimiento', 'ciudadano', 'la', 'transformación', 'está', 'en', 'camino']",90,9,4,1621
10,"alfaro miente, los datos no. estamos muy a tiempo de enderezar el rumbo y cambiar la manera de gobernar.  ","['alfaro', 'miente', 'los', 'datos', 'no', 'estamos', 'muy', 'a', 'tiempo', 'de', 'enderezar', 'el', 'rumbo', 'y', 'cambiar', 'la', 'manera', 'de', 'gobernar']",46,4,2,906
11,"gracias erika, por esta plática. deseo compartir contigo y con tu familia muchas anécdotas más. #doccast ","['gracias', 'erika', 'por', 'esta', 'plática', 'deseo', 'compartir', 'contigo', 'y', 'con', 'tu', 'familia', 'muchas', 'anécdotas', 'más', 'doccast']",43,5,3,752
12,"movimiento ciudadano será recordado por lastimar dolosamente la economía de las familias, con sus multas, sus impuestos y sus programas recaudatorios.  ","['movimiento', 'ciudadano', 'será', 'recordado', 'por', 'lastimar', 'dolosamente', 'la', 'economía', 'de', 'las', 'familias', 'con', 'sus', 'multas', 'sus', 'impuestos', 'y', 'sus', 'programas', 'recaudatorios']",607,100,13,9961
13,jalisco necesita un gobierno que garantice a las mujeres acceder a cargos de liderazgo y tener una representación equitativa en la toma de decisiones.  ,"['jalisco', 'necesita', 'un', 'gobierno', 'que', 'garantice', 'a', 'las', 'mujeres', 'acceder', 'a', 'cargos', 'de', 'liderazgo', 'y', 'tener', 'una', 'representación', 'equitativa', 'en', 'la', 'toma', 'de', 'decisiones']",37,5,1,858
14,"les comparto algo de lo que verán en el próximo episodio del #doccast , donde tuve la oportunidad de platicar con una gran compañera de lucha.","['les', 'comparto', 'algo', 'de', 'lo', 'que', 'verán', 'en', 'el', 'próximo', 'episodio', 'del', 'doccast', 'donde', 'tuve', 'la', 'oportunidad', 'de', 'platicar', 'con', 'una', 'gran', 'compañera', 'de', 'lucha']",89,22,1,1586
15,"cada abrazo, cada sonrisa, cada muestra de cariño, son la fuerza que me motiva a seguir. #drcarloslomeli ","['cada', 'abrazo', 'cada', 'sonrisa', 'cada', 'muestra', 'de', 'cariño', 'son', 'la', 'fuerza', 'que', 'me', 'motiva', 'a', 'seguir', 'drcarloslomeli']",62,0,3,942
16,un honor ser aliado de lucha de grandes mujeres. ¡adelante compañeras! #drcarloslomeli ,"['un', 'honor', 'ser', 'aliado', 'de', 'lucha', 'de', 'grandes', 'mujeres', 'adelante', 'compañeras', 'drcarloslomeli']",89,0,2,1270
17,  ,[],197,18,5,1632
18,"lo dijo nuestro presidente andrés manuel lópez obrador hoy en la mañanera, con la voluntad del pueblo, la  transformación de jalisco avanza a paso firme y nadie podrá detenerla. #morenava ","['lo', 'dijo', 'nuestro', 'presidente', 'andrés', 'manuel', 'lópez', 'obrador', 'hoy', 'en', 'la', 'mañanera', 'con', 'la', 'voluntad', 'del', 'pueblo', 'la', 'transformación', 'de', 'jalisco', 'avanza', 'a', 'paso', 'firme', 'y', 'nadie', 'podrá', 'detenerla', 'morenava']",215,19,6,2071
19,¡es una delicia de nuestro estado! #drcarloslomeli ,"['es', 'una', 'delicia', 'de', 'nuestro', 'estado', 'drcarloslomeli']",115,0,4,2886
20,"gracias por tantos momentos juntos, pato. siempre contarás conmigo. #doccast ","['gracias', 'por', 'tantos', 'momentos', 'juntos', 'pato', 'siempre', 'contarás', 'conmigo', 'doccast']",41,5,1,741
21,"para realmente celebrar a jalisco, necesitamos que llegue la cuarta transformación, con un gobierno que vea por el pueblo, y vivamos en una tierra donde la dignidad se haga costumbre.  ","['para', 'realmente', 'celebrar', 'a', 'jalisco', 'necesitamos', 'que', 'llegue', 'la', 'cuarta', 'transformación', 'con', 'un', 'gobierno', 'que', 'vea', 'por', 'el', 'pueblo', 'y', 'vivamos', 'en', 'una', 'tierra', 'donde', 'la', 'dignidad', 'se', 'haga', 'costumbre']",52,12,2,907
22,feliz #díadelpadre2023 para todos quienes tienen la dicha de serlo. ¡un abrazo!,"['feliz', 'díadelpadre2023', 'para', 'todos', 'quienes', 'tienen', 'la', 'dicha', 'de', 'serlo', 'un', 'abrazo']",72,7,1,985
