"tiktok-1as5cen-DivWrapper href","tiktok-41hm0z src","tiktok-dennn6-DivTimeTag","tiktok-j2a19r-SpanText","ejg0rhn6 href","tiktok-1p6dp51-StrongText","ejg0rhn6 href 2","tiktok-1p6dp51-StrongText 2","tiktok-j2a19r-SpanText 2","ejg0rhn6 href 3","tiktok-1p6dp51-StrongText 3","ejg0rhn6 href 4","tiktok-1p6dp51-StrongText 4","ejg0rhn6 href 5","tiktok-1p6dp51-StrongText 5","tiktok-22xkqc-StyledLink href","tiktok-1zpj2q-ImgAvatar src","tiktok-2zn17v-PUniqueId","tiktok-ws4x78-StrongVideoCount","ejg0rhn6 href 6","tiktok-1p6dp51-StrongText 6"
"https://www.tiktok.com/@ce_mexico/video/7290692475818200326","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/35cc7f747ac44b83a225429157f3f38c_1697496628~tplv-dmt-logom:tos-useast2a-v-0068/oMAAQbhIEgoyD8lNlvfEt1A7ig8RrCARzBtIAM.image?x-expires=1697673600&x-signature=9x%2FxylfJMn750ZbFjaoeNPH6RRA%3D","hace 1 h","📊","https://www.tiktok.com/tag/jalisco2024","#JALISCO2024","https://www.tiktok.com/tag/ceresearch","#CEResearch",". 16 de octubre 2023.-","https://www.tiktok.com/tag/carloslomel%C3%AD","#CarlosLomelí","https://www.tiktok.com/tag/jalisco","#Jalisco","https://www.tiktok.com/tag/clementecasta%C3%B1eda","#ClementeCastañeda","https://www.tiktok.com/@ce_mexico","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c9928a37a491a8fea96582d1fa50a7ad~c5_100x100.jpeg?x-expires=1697673600&x-signature=%2BNeu0ywHlZp3PxSNgOuo65HqPKQ%3D","ce_mexico","1116","",""
"https://www.tiktok.com/@mel4t_/video/7290671812797566213","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/ok72tAHqtkAmThIy8lftgAoFLqi4WSECIxzJCL?x-expires=1697673600&x-signature=kFeJKEkGXmVhsY65s0R7ZXtoaLA%3D","hace 2 h","Empoderemos a las mujeres en Jalisco con un aliado, el Dr. Carlos Lomelí 💜💪🏻","https://www.tiktok.com/tag/jalisco","#Jalisco","https://www.tiktok.com/tag/fyp","#fyp","","https://www.tiktok.com/tag/2024","#2024","https://www.tiktok.com/tag/empoderar","#empoderar","https://www.tiktok.com/tag/mujeres","#mujeres","https://www.tiktok.com/@mel4t_","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9adc9ed3dc276fb987c09ca0e1210786~c5_100x100.jpeg?x-expires=1697673600&x-signature=lCTvRbDTeU%2BUV08RCjihMWYAAOA%3D","mel4t_","221","",""
"https://www.tiktok.com/@filosofia_con_3_puntos/video/7283884013155044614","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oMQR1JlAYWni228rnBIP3FeQ1WBBKQbZDGENVe?x-expires=1697673600&x-signature=aRkx0RI9gU4mpJ1cYmdDeu0Trdo%3D","9-28","El doc","https://www.tiktok.com/tag/carloslomeli","#carloslomeli","https://www.tiktok.com/tag/claudiasheinbaum","#claudiasheinbaum","una fichita junto a","https://www.tiktok.com/tag/amlo","#amlo","https://www.tiktok.com/tag/morena","#morena","https://www.tiktok.com/tag/elecciones2024","#elecciones2024","https://www.tiktok.com/@filosofia_con_3_puntos","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9c4abf9e34253df65f04c4e732d7a141~c5_100x100.jpeg?x-expires=1697673600&x-signature=xkmwCCyR1qtUMec%2Bf0Ha%2BErBRqk%3D","filosofia_con_3_puntos","8574","https://www.tiktok.com/tag/gobernadorjalisco","#gobernadorjalisco"
"https://www.tiktok.com/@carloslomeli6/video/7287424084814597382","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/o8nIohMAICHEyAINixmksRZ5IRSzCAfukDwgNx?x-expires=1697673600&x-signature=0duN3vpyfgqtbaQ3JsQ51hF%2FdRE%3D","10-7","Mi hermoso colima","https://www.tiktok.com/tag/colima","#colima","https://www.tiktok.com/tag/colimacolima","#colimacolima","","","","","","","","https://www.tiktok.com/@carloslomeli6","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/2efa9a8e17892445fc74d16abb1cd1cf~c5_100x100.jpeg?x-expires=1697673600&x-signature=5BwakOpxh6F8HEYOzho8eRW4GIU%3D","carloslomeli6","36.4K","",""
"https://www.tiktok.com/@jalcirco/video/7288828560255487237","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oARgY9yIn8VzTALHohkv4thFfCAIkAkIgmU8nE?x-expires=1697673600&x-signature=g4t2AuZPqxVW9QVT97X%2FVMpvn80%3D","hace 5 día(s)","No se haga, doc","https://www.tiktok.com/tag/morena","#Morena","https://www.tiktok.com/tag/carloslomel%C3%AD","#CarlosLomelí","","https://www.tiktok.com/tag/humor","#humor","https://www.tiktok.com/tag/foryou","#foryou","","","https://www.tiktok.com/@jalcirco","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/20c73241c1b182041cdbc3a4770f54c1~c5_100x100.jpeg?x-expires=1697673600&x-signature=tm5npwfgZ0QzBxSwNA9ASPLracM%3D","jalcirco","3057","",""
"https://www.tiktok.com/@noticiasactual/video/7289707965865643269","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/b12435c9af94485f84669d89d2de9773_1697267404~tplv-dmt-logom:tos-useast2a-v-0068/oQSPkATAHCfAgZ5gKCAAHfH2M2ejEQIVoQCBdb.image?x-expires=1697673600&x-signature=ZvW1GAFJNPvA8Q%2FXfmc5SwKUP1A%3D","hace 2 día(s)","¿Quienes crees que ganen la candidatura a gobernador de","https://www.tiktok.com/tag/predicci%C3%B3n","#predicción","https://www.tiktok.com/tag/morena","#Morena","? |","https://www.tiktok.com/tag/cdmx","#CDMX","https://www.tiktok.com/@omargharfuch","@Omar García Harfuch","https://www.tiktok.com/tag/chiapas","#Chiapas","https://www.tiktok.com/@noticiasactual","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1db7e4adc57b190f5488a365d7e3abbc~c5_100x100.jpeg?x-expires=1697673600&x-signature=48QXuYxPLDZ%2Bm9vGzKlKoJ6W2w0%3D","noticiasactual","17.1K","https://www.tiktok.com/@sasildeleon","@Sasil de León"
"https://www.tiktok.com/@elreporterotv/video/7289449532491058437","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/osDIoclEX0LUgvy9tfK0Cbh8pzB7NzADIAAj8k?x-expires=1697673600&x-signature=0ZS15ewC7mHZWO3W1ZFYz1i6ULY%3D","hace 3 día(s)","está tirado en la hamaca en","https://www.tiktok.com/tag/movimientociudadano","#movimientociudadano","https://www.tiktok.com/tag/jalisco","#Jalisco","y se deja comer el mandado por","https://www.tiktok.com/tag/morena","#morena","https://www.tiktok.com/tag/eleccionesmexico2024","#eleccionesmexico2024","https://www.tiktok.com/tag/elecciones","#elecciones","https://www.tiktok.com/@elreporterotv","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/76d09f17efb353dcd7ca942e40d6d404~c5_100x100.jpeg?x-expires=1697673600&x-signature=j2UrzVliQd%2FaoFbNSzIVATussjQ%3D","elreporterotv","2520","https://www.tiktok.com/tag/amlo","#amlo"
"https://www.tiktok.com/@carloslomeli6/video/7275171540491062533","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/owftRk5a9fGDEMAaBAgbUynbS8vQh8QnCbJBcp?x-expires=1697673600&x-signature=uSkWo2mZCnSH1WtcWdqB%2BlTQspA%3D","9-4","","https://www.tiktok.com/tag/baile","#baile","https://www.tiktok.com/tag/nosebailar","#nosebailar","","","","","","","","https://www.tiktok.com/@carloslomeli6","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/2efa9a8e17892445fc74d16abb1cd1cf~c5_100x100.jpeg?x-expires=1697673600&x-signature=5BwakOpxh6F8HEYOzho8eRW4GIU%3D","carloslomeli6","533","",""
"https://www.tiktok.com/@elmaromastimes/video/7278924768546475269","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oQ3RHAhEMh7GUDJ4EEZ97yQEzNAUfBAECBLlfI?x-expires=1697673600&x-signature=69d9gT8%2FMnZ8jItO98fYuVW7tjI%3D","9-14","No siempre se puede pues.","https://www.tiktok.com/tag/morenajalisco","#morenajalisco","https://www.tiktok.com/tag/carloslomeli","#carloslomeli","","https://www.tiktok.com/tag/eleccionesmx2024","#eleccionesmx2024","https://www.tiktok.com/tag/frenteampliopormexico","#frenteampliopormexico","","","https://www.tiktok.com/@elmaromastimes","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/91022f71488969140f0bb9e7e108a65b~c5_100x100.jpeg?x-expires=1697673600&x-signature=q8K0x1Zcm%2BBMxgKVe0dh1jvkdQ4%3D","elmaromastimes","4575","",""
"https://www.tiktok.com/@carloslomeli6/video/7282632259612478725","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/o0IzyiAGHqMICAHy1c2g1TzAhEk3R7bEwoNfIG?x-expires=1697673600&x-signature=g1LcURSpXIuqCegDYfA2ry%2FAfwk%3D","9-24","","https://www.tiktok.com/tag/momentos","#momentos","https://www.tiktok.com/tag/paz","#paz","","https://www.tiktok.com/tag/tranquilidad","#tranquilidad","https://www.tiktok.com/tag/naturaleza","#naturaleza","","","https://www.tiktok.com/@carloslomeli6","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/2efa9a8e17892445fc74d16abb1cd1cf~c5_100x100.jpeg?x-expires=1697673600&x-signature=5BwakOpxh6F8HEYOzho8eRW4GIU%3D","carloslomeli6","337","",""
"https://www.tiktok.com/@drcarloslomeli/video/7283337324790828294","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/o05mEvTDRJbb2YgenQA1VIQEEAylLbnw0cGBeB?x-expires=1697673600&x-signature=GUJKGDmOosn4IajEBFneFAa9LRM%3D","9-26","Aquí estoy, con la cabeza en alto y el corazón encendido, a punto de alcanzar este sueño.","","","","","","","","","","","","https://www.tiktok.com/@drcarloslomeli","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3ceea4972de9988a085b4e9741adb488~c5_100x100.jpeg?x-expires=1697673600&x-signature=HMGvz%2B5WstHnxoQPSaZxmXK4JGY%3D","drcarloslomeli","6873","",""
"https://www.tiktok.com/@rodrigorivasuribe/video/7272505723546815749","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/b9868f1fa7f442f39726031fad6ec970_1693262197?x-expires=1697673600&x-signature=VW7wy%2FCh7YAh32d2FP5pqutZEas%3D","8-28","Niega","https://www.tiktok.com/@drcarloslomeli","@Dr. Carlos Lomelí","https://www.tiktok.com/@claudiasheinbaum","@Claudia Sheinbaum Pardo","irregularidades en compras de la administración de","https://www.tiktok.com/tag/noticias","#Noticias","https://www.tiktok.com/tag/morena","#Morena","https://www.tiktok.com/tag/pol%C3%ADtica","#Política","https://www.tiktok.com/@rodrigorivasuribe","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7261108917260943366~c5_100x100.jpeg?x-expires=1697673600&x-signature=44F%2FqWX138cRM0LZ6sS4Fg9Gz8Q%3D","rodrigorivasuribe","4530","https://www.tiktok.com/tag/claudiasheimbaum","#ClaudiaSheimbaum"
"https://www.tiktok.com/@carloslomeli8/video/7186373117697199365","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oMNxIHIaCqz3S7yhtIfAcEYEgDRhIoACZJBk8A?x-expires=1697673600&x-signature=iW2Mik4qUymXbP08pZA%2BADuagzo%3D","1-8","😍😂😂😂😂😘","","","","","","","","","","","","https://www.tiktok.com/@carloslomeli8","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1655096181791750~c5_100x100.jpeg?x-expires=1697673600&x-signature=z9gERQ7NzBUQxWTou95VNqgRRLs%3D","carloslomeli8","1220","",""
"https://www.tiktok.com/@mel4t_/video/7289074195147918597","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oYIAoR7fNAfCkccgy8ChLffEgNk1eAwfYf6Dk7I?x-expires=1697673600&x-signature=1OcFbGLX3vvxWYGP0iPSqeXGiv0%3D","hace 4 día(s)","Un hombre de hechos, no palabras: así es el doctor Carlos Lomelí.","","","","","","","","","","","","https://www.tiktok.com/@mel4t_","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9adc9ed3dc276fb987c09ca0e1210786~c5_100x100.jpeg?x-expires=1697673600&x-signature=lCTvRbDTeU%2BUV08RCjihMWYAAOA%3D","mel4t_","195","",""
"https://www.tiktok.com/@latinus_us/video/7270727438793968901","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/db6a2c8b3b0a431aa44a75ceba8fc91e_1692848172?x-expires=1697673600&x-signature=O%2FpgQ5qzevfyIVDwz1S8zb0LI0g%3D","8-23","No sólo será enfrentar a Morena y AMLO, también al poder económico que han atesorado estos personajes: Xóchitl Gálvez habla sobre los contratos de Carlos Lomelí en CDMX.","https://www.tiktok.com/tag/latinus","#Latinus","https://www.tiktok.com/tag/informaci%C3%B3nparati","#InformaciónParaTi","","","","","","","","https://www.tiktok.com/@latinus_us","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9b1bc4bbfedb3bd917a27ff590234ca0~c5_100x100.jpeg?x-expires=1697673600&x-signature=3yIj4pxq0XuPEr3DMqb2aE%2Bh6Is%3D","latinus_us","81.3K","",""
"https://www.tiktok.com/@mel4t_/video/7288752371486838021","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/d9f04a96e5d44dc2adbc5725cbe1e54f_1697044910?x-expires=1697673600&x-signature=U4gpFpi635DWSr8l4xknZVmTwic%3D","hace 5 día(s)","Queremos políticos que sí protejan los derechos de las mujeres, como el Dr. Carlos Lomelí","","","","","","","","","","","","https://www.tiktok.com/@mel4t_","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9adc9ed3dc276fb987c09ca0e1210786~c5_100x100.jpeg?x-expires=1697673600&x-signature=lCTvRbDTeU%2BUV08RCjihMWYAAOA%3D","mel4t_","214","",""
"https://www.tiktok.com/@nain_luquinr/video/7278879822875495685","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oEJBAWbAA8enxSKQBSPRqCbVEWBeDxDlQEgIFS?x-expires=1697673600&x-signature=GeKTgHoF0LsUhtOnZA0dLiGKBLM%3D","9-14","","","","","","","","","","","","","https://www.tiktok.com/@nain_luquinr","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6b975b8de42e43a958b10a9233d23e97~c5_100x100.jpeg?x-expires=1697673600&x-signature=M54si9mcb14DMpQsXfoBqMWkHew%3D","nain_luquinr","25.5K","",""
"https://www.tiktok.com/@ganatucampagna.com/video/7283296239490256134","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","9-26","Si lo postulan, seria claro un acuerdo con MC para que mantenga ese estado y juegue a favor en la campaña federal.","https://www.tiktok.com/tag/mexico%F0%9F%87%B2%F0%9F%87%BD","#mexico🇲🇽","https://www.tiktok.com/tag/morena","#morena","@","https://www.tiktok.com/tag/jalisco","#jalisco","https://www.tiktok.com/tag/corruptos","#corruptos","https://www.tiktok.com/tag/dea","#dea","https://www.tiktok.com/@ganatucampagna.com","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/71cb3972ab9fbbc8b9eb1b5203f858c0~c5_100x100.jpeg?x-expires=1697673600&x-signature=5xfbZQ3wtnIVbvK7YdepDsJTknk%3D","ganatucampagna.com","21.2K","https://www.tiktok.com/@mario_delgadoc","@Mario Delgado"
"https://www.tiktok.com/@lomeli_omg/video/7289094030833618181","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","hace 4 día(s)","","https://www.tiktok.com/tag/tulum","#tulum","https://www.tiktok.com/tag/tulummexico","#tulummexico","","","","","","","","https://www.tiktok.com/@lomeli_omg","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/50b50cff1dfee7ed13e63752352aa4a8~c5_100x100.jpeg?x-expires=1697587200&x-signature=tyHRzJOVRcKL4HTVziL7HWKkwzQ%3D","lomeli_omg","397","",""
"https://www.tiktok.com/@carloslomeli13/video/7022484953329945862","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/2a18634b4edb422ba2afc47c86bba1ed?x-expires=1697673600&x-signature=a3QuTwSdMRsDuceq%2BPhxRZ9ysvs%3D","2021-10-23","","","","","","","","","","","","","https://www.tiktok.com/@carloslomeli13","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1656406840213509~c5_100x100.jpeg?x-expires=1697673600&x-signature=ssb%2FvIA5DgJqP5dYsR%2FsWnKE5UY%3D","carloslomeli13","52.7K","",""
"https://www.tiktok.com/@catadordepan/video/7054356332580769029","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","2022-1-17","Catando tienditas, el día de hoy le tocó a las Deliciosas de Lara. 10/10 por nacotas.","https://www.tiktok.com/tag/fyp%E3%82%B7","#fypシ","https://www.tiktok.com/tag/saborestiktok","#saborestiktok","","https://www.tiktok.com/tag/foryou","#foryou","https://www.tiktok.com/tag/xyzbca","#xyzbca","https://www.tiktok.com/tag/catandopan","#catandopan","https://www.tiktok.com/@catadordepan","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/e9fe3552b29d5104437e9165f7dbcb55~c5_100x100.jpeg?x-expires=1697673600&x-signature=nmbaEKhdBEUNphtjuqbJjygDtps%3D","catadordepan","714","",""
"https://www.tiktok.com/@karlalomeli3/video/7082951791163313414","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","2022-4-4","♥️","","","","","","","","","","","","https://www.tiktok.com/@karlalomeli3","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/00c272d349a4df16c743422be1a1df6f~c5_100x100.jpeg?x-expires=1697673600&x-signature=OazQzuT6bbBqXTS2EnqUdiAhF3k%3D","karlalomeli3","2196","",""
"https://www.tiktok.com/@angel_lomeli07/video/7267603427599961350","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","8-15","XD 🤣🤣","https://www.tiktok.com/tag/humour","#humour","https://www.tiktok.com/tag/foryou","#foryou","","https://www.tiktok.com/tag/fyp","#fyp","https://www.tiktok.com/tag/parati","#parati","https://www.tiktok.com/tag/comedia","#comedia","https://www.tiktok.com/@angel_lomeli07","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ef027536a1f8e0d592827f67adf268c5~c5_100x100.jpeg?x-expires=1697673600&x-signature=WnfQZ9TVjBTpk0xKANzceEK74Ro%3D","angel_lomeli07","5155","",""
"https://www.tiktok.com/@karymelomeli/video/7110723206838865158","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","2022-6-18","","https://www.tiktok.com/tag/mejoramigo","#mejoramigo","https://www.tiktok.com/tag/dametucosita","#dametucosita","","https://www.tiktok.com/tag/trend","#trend","https://www.tiktok.com/tag/parati","#parati","https://www.tiktok.com/tag/foryou","#foryou","https://www.tiktok.com/@karymelomeli","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/4b46206384addc1b0838d7a8c5c9f4d0~c5_100x100.jpeg?x-expires=1697673600&x-signature=oy9Tl2%2BxJSRDnoAIqCWvRA5giws%3D","karymelomeli","769","https://www.tiktok.com/tag/fyp","#Fyp"
