"tiktok-1as5cen-DivWrapper href","tiktok-41hm0z src","tiktok-dennn6-DivTimeTag","tiktok-j2a19r-SpanText","ejg0rhn6 href","tiktok-1p6dp51-StrongText","ejg0rhn6 href 2","tiktok-1p6dp51-StrongText 2","ejg0rhn6 href 3","tiktok-1p6dp51-StrongText 3","ejg0rhn6 href 4","tiktok-1p6dp51-StrongText 4","ejg0rhn6 href 5","tiktok-1p6dp51-StrongText 5","tiktok-22xkqc-StyledLink href","tiktok-1zpj2q-ImgAvatar src","tiktok-2zn17v-PUniqueId","tiktok-ws4x78-StrongVideoCount","ejg0rhn6 href 6","tiktok-1p6dp51-StrongText 6"
"https://www.tiktok.com/@mel4t_/video/7290671812797566213","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/ok72tAHqtkAmThIy8lftgAoFLqi4WSECIxzJCL?x-expires=1697673600&x-signature=kFeJKEkGXmVhsY65s0R7ZXtoaLA%3D","hace 2 h","Empoderemos a las mujeres en Jalisco con un aliado, el Dr. Carlos Lomelí 💜💪🏻","https://www.tiktok.com/tag/jalisco","#Jalisco","https://www.tiktok.com/tag/fyp","#fyp","https://www.tiktok.com/tag/2024","#2024","https://www.tiktok.com/tag/empoderar","#empoderar","https://www.tiktok.com/tag/mujeres","#mujeres","https://www.tiktok.com/@mel4t_","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9adc9ed3dc276fb987c09ca0e1210786~c5_100x100.jpeg?x-expires=1697673600&x-signature=lCTvRbDTeU%2BUV08RCjihMWYAAOA%3D","mel4t_","221","",""
"https://www.tiktok.com/@nain_luquinr/video/7285940293558422790","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oYGEJw8HUEnkbfAAn8XQbYDflcIzRrdBJ6BN3B?x-expires=1697673600&x-signature=f8%2Ft4INCZoIkjlSY2JFsVfBExxM%3D","10-3","","","","","","","","","","","","https://www.tiktok.com/@nain_luquinr","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6b975b8de42e43a958b10a9233d23e97~c5_100x100.jpeg?x-expires=1697673600&x-signature=M54si9mcb14DMpQsXfoBqMWkHew%3D","nain_luquinr","761","",""
"https://www.tiktok.com/@mel4t_/video/7288066170761055493","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oYLkCmoktAETNT0SAzIyoZAQahgkfCR2kjqIwF?x-expires=1697673600&x-signature=MCwJd8RMYjv5xLnFYuwYkmZ585M%3D","hace 1 semana(s)","¡El Dr. Carlos Lomelí no se raja: lo que promete, lo cumple!","","","","","","","","","","","https://www.tiktok.com/@mel4t_","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9adc9ed3dc276fb987c09ca0e1210786~c5_100x100.jpeg?x-expires=1697673600&x-signature=lCTvRbDTeU%2BUV08RCjihMWYAAOA%3D","mel4t_","253","",""
"https://www.tiktok.com/@nain_luquinr/video/7289269687203024134","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/owiQtAzlpssgCfI9yrWYbBkCoEmoAx3IiNBFhb?x-expires=1697673600&x-signature=tVaYHFiiNBOM2r9%2BhfJa%2FDsxmMg%3D","hace 3 día(s)","","","","","","","","","","","","https://www.tiktok.com/@nain_luquinr","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6b975b8de42e43a958b10a9233d23e97~c5_100x100.jpeg?x-expires=1697673600&x-signature=M54si9mcb14DMpQsXfoBqMWkHew%3D","nain_luquinr","260","",""
"https://www.tiktok.com/@nain_luquinr/video/7287580891549846789","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/occE5JeIcInvGDBAz6OQbvD2lFQfR1mBJXGqYB?x-expires=1697673600&x-signature=7xBAWFjxOkAYVmz7EjGqFMUkc80%3D","10-8","","","","","","","","","","","","https://www.tiktok.com/@nain_luquinr","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6b975b8de42e43a958b10a9233d23e97~c5_100x100.jpeg?x-expires=1697673600&x-signature=M54si9mcb14DMpQsXfoBqMWkHew%3D","nain_luquinr","195","",""
"https://www.tiktok.com/@jalcirco/video/7288828560255487237","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oARgY9yIn8VzTALHohkv4thFfCAIkAkIgmU8nE?x-expires=1697673600&x-signature=g4t2AuZPqxVW9QVT97X%2FVMpvn80%3D","hace 5 día(s)","No se haga, doc","https://www.tiktok.com/tag/morena","#Morena","https://www.tiktok.com/tag/carloslomel%C3%AD","#CarlosLomelí","https://www.tiktok.com/tag/humor","#humor","https://www.tiktok.com/tag/foryou","#foryou","","","https://www.tiktok.com/@jalcirco","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/20c73241c1b182041cdbc3a4770f54c1~c5_100x100.jpeg?x-expires=1697673600&x-signature=tm5npwfgZ0QzBxSwNA9ASPLracM%3D","jalcirco","3057","",""
"https://www.tiktok.com/@drcarloslomeli/video/7275913055857331462","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oENdPJTmzILGR5M4AxfAJJRrBBN3k1BEhUQ1Ef?x-expires=1697673600&x-signature=WcRXv0eDSdUf5GuWR5uJK04hcRE%3D","9-6","Con la fuerza de la unidad, ¡estamos listos para ganar con la Dra. Claudia Sheinbaum! Nadie detendrá la Transformación de Jalisco en 2024.","","","","","","","","","","","https://www.tiktok.com/@drcarloslomeli","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3ceea4972de9988a085b4e9741adb488~c5_100x100.jpeg?x-expires=1697587200&x-signature=EdcTIOxNRDerL8i2qfkKRzN5lxY%3D","drcarloslomeli","1136","",""
"https://www.tiktok.com/@drcarloslomeli/video/7279152585662123269","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oUHsLE6DLUITBfrlAoBQRvbe1bM9kmEJBnkBQz?x-expires=1697673600&x-signature=r6i3vmHtw3y%2FEzsscyUnGK%2BMH7Q%3D","9-15","De doctor a doctora","https://www.tiktok.com/@claudiasheinbaum","@Claudia Sheinbaum Pardo","","","","","","","","","https://www.tiktok.com/@drcarloslomeli","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3ceea4972de9988a085b4e9741adb488~c5_100x100.jpeg?x-expires=1697587200&x-signature=EdcTIOxNRDerL8i2qfkKRzN5lxY%3D","drcarloslomeli","683","",""
"https://www.tiktok.com/@drcarloslomeli/video/7283337324790828294","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/o05mEvTDRJbb2YgenQA1VIQEEAylLbnw0cGBeB?x-expires=1697673600&x-signature=GUJKGDmOosn4IajEBFneFAa9LRM%3D","9-26","Aquí estoy, con la cabeza en alto y el corazón encendido, a punto de alcanzar este sueño.","","","","","","","","","","","https://www.tiktok.com/@drcarloslomeli","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3ceea4972de9988a085b4e9741adb488~c5_100x100.jpeg?x-expires=1697587200&x-signature=EdcTIOxNRDerL8i2qfkKRzN5lxY%3D","drcarloslomeli","6873","",""
"https://www.tiktok.com/@biozule/video/7158692094792436998","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","2022-10-26","Entrevista en","https://www.tiktok.com/tag/symposium","#symposium","https://www.tiktok.com/tag/biotechnology","#biotechnology","https://www.tiktok.com/tag/bacteriofagos","#bacteriofagos","https://www.tiktok.com/tag/cibnor","#cibnor","https://www.tiktok.com/tag/cicimar","#cicimar","https://www.tiktok.com/@biozule","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ea06e225ddbee9b39a04c64fb33f0c1b~c5_100x100.jpeg?x-expires=1697673600&x-signature=4hXUrkmh0WvKRPpY8T8808GMiPA%3D","biozule","579","",""
