"tiktok-1as5cen-DivWrapper href","tiktok-41hm0z src","video-count","tiktok-1wrhn5c-AMetaCaptionLine href","tiktok-j2a19r-SpanText","ejg0rhn6 href","tiktok-1p6dp51-StrongText","tiktok-j2a19r-SpanText 2","ejg0rhn6 href 2","tiktok-1p6dp51-StrongText 2","ejg0rhn6 href 3","tiktok-1p6dp51-StrongText 3","ejg0rhn6 href 4","tiktok-1p6dp51-StrongText 4","ejg0rhn6 href 5","tiktok-1p6dp51-StrongText 5","ejg0rhn6 href 6","tiktok-1p6dp51-StrongText 6","tiktok-41hm0z src 2"
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/o05mEvTDRJbb2YgenQA1VIQEEAylLbnw0cGBeB?x-expires=1697670000&x-signature=d%2BSC6rt4KIfQDoVOCFqZjffA410%3D","6873","https://www.tiktok.com/@drcarloslomeli/video/7283337324790828294","Aquí estoy, con la cabeza en alto y el corazón encendido, a punto de alcanzar este sueño.","","","","","","","","","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oUHsLE6DLUITBfrlAoBQRvbe1bM9kmEJBnkBQz?x-expires=1697670000&x-signature=2cQ74tAGRyAEY0xhyjJsI4bTeIU%3D","683","https://www.tiktok.com/@drcarloslomeli/video/7279152585662123269","De doctor a doctora","https://www.tiktok.com/@claudiasheinbaum","@Claudia Sheinbaum Pardo",".","","","","","","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oENdPJTmzILGR5M4AxfAJJRrBBN3k1BEhUQ1Ef?x-expires=1697670000&x-signature=MCZusXZBgmKJOZdQfx9QXaf0wxE%3D","1136","https://www.tiktok.com/@drcarloslomeli/video/7275913055857331462","Con la fuerza de la unidad, ¡estamos listos para ganar con la Dra. Claudia Sheinbaum!","","","Nadie detendrá la Transformación de Jalisco en 2024.","","","","","","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/o8JydBz8EgAhRnE4NCAoItifxvtB9C8ZUC7Ik7?x-expires=1697670000&x-signature=d%2BukrkSBtm2pQjCux2ZWJGSlnaY%3D","3972","https://www.tiktok.com/@drcarloslomeli/video/7272729870193528069","En","https://www.tiktok.com/tag/morena","#morena","hemos combatido permanentemente la corrupción de Movimiento Ciudadano. No nos detendremos, así seguiremos porque nosotros actuamos bajo los principios de no mentir, no robar y no traicionar el mandato del pueblo.","","","","","","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oYqQYexmAjREMkJkRlKBByb9HDQUIB8kevg5bn?x-expires=1697670000&x-signature=RJO7AUwH2hNf1AsJnFB1eJOveq4%3D","901","https://www.tiktok.com/@drcarloslomeli/video/7270151718568987909","Mientras Movimiento Ciudadano y el Gobierno dd Guadalara quieren más impuestos, en","https://www.tiktok.com/tag/morena","#morena","proponemos servicios médicos municipales gratuitos.","","","","","","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oIeiPAbWSpQCoUjfIvgyIe8D0SJ59JSHn5CJCo?x-expires=1697670000&x-signature=FYeFYQB6wvsTHpy9V7UTJVa09mk%3D","84.2K","https://www.tiktok.com/@drcarloslomeli/video/7264957598342974726","Caro, malo y vacío el carrusel de Pablo Lemus.","","","Quiero escuchar sus voces. ¿Están cansados de esta corrupción? ¡Es hora de un cambio real en Guadalajara y en todo Jalisco!","","","","","","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/okniGDEA0IHy8eOEmJPbDTFkEGveBRQhJkERAB?x-expires=1697670000&x-signature=D1%2BBmkMAvSH748VlME6YZ9ENbag%3D","637","https://www.tiktok.com/@drcarloslomeli/video/7262369140596329733","Esperamos que las autoridades investiguen a fondo el desfalco de 330 millones de pesos al erario de Zapopan, durante la administración de Pablo Lemus.","","","","","","","","","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/osBlpkSBFvaDEdeRSfIAOOAJYJQbTJVBA3wE1n?x-expires=1697670000&x-signature=i%2BliaudlW7oWZ7GjW8OFIrv5RaU%3D","1002","https://www.tiktok.com/@drcarloslomeli/video/7260127301633920261","Preocupan los datos del","https://www.tiktok.com/tag/inegi","#INEGI",", donde muestran a Guadalajara como una de las ciudades más inseguras del país.","","","","","","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/o4epqLUkvAUGB3nBDAu9VR2BJ6fbQAHnEosQIn?x-expires=1697670000&x-signature=3Ecf5aZd%2FAHW4%2BNk7eQrIlr6A%2B0%3D","42.7K","https://www.tiktok.com/@drcarloslomeli/video/7259761556706102534","Las y los ciudadanos de la","https://www.tiktok.com/tag/zmg","#ZMG","reciben agua sucia que puede dañar su salud. Lo peor es que el gobierno naranja no atiende la situacion, pero sí cobra peso a peso este servicio.","","","","","","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oEIrekcEGBn9BQRyEKQAleDBadnDCvBW7bIowJ?x-expires=1697670000&x-signature=iDO%2BCceuZFGfacmO2WQCvU7aTG8%3D","1621","https://www.tiktok.com/@drcarloslomeli/video/7259370504992197894","Ya basta del abuso de poder de Movimiento Ciudadano. La transformación está en camino.","","","","","","","","","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oE6zfAuu0CCmOS72EBGZhNuLknWtyIAtdgBIob?x-expires=1697670000&x-signature=Q0dxb8lhOGnGjt8y5DXlieSHnO4%3D","906","https://www.tiktok.com/@drcarloslomeli/video/7257161145487068422","Alfaro miente, los datos no. Estamos muy a tiempo de enderezar el rumbo y cambiar la manera de gobernar.","","","","","","","","","","","","","",""
"https://www.tiktok.com/","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/owxsnbd2EDZJISDVtAkQeBkwE9RAASNtSBYnfu?x-expires=1697670000&x-signature=R0rfrOEHKgpSB0CeNrZgXJkL9Ug%3D","752","https://www.tiktok.com/@drcarloslomeli/video/7255313449708981509","Gracias Erika, por esta plática. Deseo compartir contigo y con tu familia muchas anécdotas más.","https://www.tiktok.com/tag/doccast","#DocCast","","","","","","","","","","","",""
