texto,emocion
la encuestadora reporta al para determinar al coordinador de la defensa de la 4T en,neutral
aquí ni pío dicen.    ,neutral
"4 12 1,4 M",neutral
de que sirven la guardia nacional y el ejército? De que sirve morena si está llena de priistas?    ,curiosity
"Jalisco está con el mejor, con el Doctor Carlos Lomelí    ",admiration
"Entrevista con , Regidor de Sintoniza a las 7:00 PM el 100.3 de FM o el link",neutral
     ,neutral
"1 2 663,4 mil",neutral
"Puto criminal en MONERA.

Oye, por cierto... Estás lista para aparecer en el juicio de Ovidio?

Si sabes que tú y tu red de corruptos junto con y  ",annoyance
"será acaso este mismo proyecto?

jajajajajajajajajajajaja    ",amusement
"O sea que de todo lo que has cobrado en tantos años no has hecho nada? Porque las mujeres del video solo hablan de lo que ""podrías"" hacer y no de lo que has hecho...    ",neutral
"Revisa la cuenta de .
Ella hace días presentó un exhorto desde la  ",neutral
"2 3 912,2 mil",neutral
Ni honesto ni íntegro! Pero gracias por participar Doc…    ,gratitude
"Para ganarse el respeto y la confianza de las personas, hay que trabajar con honestidad e integridad. Agradezco profundamente a todos los que me acompañan en esta ardua labor. ¡Les deseo un excelente inicio de semana a todas y todos!    ",gratitude
"Para ganarse el respeto y la confianza de las personas, hay que trabajar con honestidad e integridad. Agradezco profundamente a todos los que me acompañan en esta ardua labor. ¡Les deseo un excelente inicio de semana a todas y todos!    ",gratitude
El se despega de los demás y se convierte en el indiscutible candidato de https://,neutral
expliquen porque debilitan el poder judicial mientras empoderan más y más al ejército mexicano.    ,neutral
Dr Lomelí    ,neutral
"En Jalisco, d manera arbitraria y con el objetivo d recaudar dinero a como d lugar, Enrique Alfaro y sus amigos crearon el negocio d la verificación vehicular

 los precandidatos de Morena como no les interesa ni quieren ni se pronuncian en favor del automóvilista  ",neutral
Firmes con el amigo Doctor    ,neutral
"Paleros, todos van por la lana    ",neutral
DR CARLOS LOMELI    ,neutral
2024 sigue puntero en la interna de en estos días por sus procesos internos lo pone en posición competitiva ante quien resulte candidato de,neutral
En todo listo para encuesta final y definir quién encabezará defensa de la . Apuestas corren a favor de,neutral
Jajajajaja pasearte para no trabajar no es conocer Jalisco huevon jajajajaja    ,amusement
"1 12 1,4 M",neutral
"Muchas felicidades y mucha suerte Juncal, espero que ganes para que le tapes la boca a todos los bots que te atacan!    ",gratitude
Alguien se queja de los Sobreprecios en Adjudicaciones Directas? ? 0:21,curiosity
. sube y .,neutral
Este fin de semana visitó .,neutral
CLARA CÁRDENAS    ,neutral
"Exacto, todos los candidatos agarraditos del KKs.
Solos son escoria, bueno, con el KKs tambien son escoria, pero escoria ignorada. #XochitlVa  ",approval
Carlos Lomelí: soldado de la cuarta transformación en Jalisco. presidente del Consejo de Morena en la entidad visita Tonalá donde declara que la 4T beneficiará más los habitantes de la región.  ,neutral
"Un día si y otro también, diario en Jalisco “levantones” y “ejecuciones”    ",neutral
"No pierda su tiempo doctor, va a volver a perder en jalisco, Morena NO  ",caring
"El continúa sus recorrido por diversas regiones del estado. Hoy estuvo en Tepatitlán, donde dijo que la gente de esta región merece vivir mejor y no estar aislados ni alejados de la Federación por culpa del gobierno estatal.  ",approval
Comprometido con la productiva región de los Altos de Jalisco visita Tepetitlán se reúne con militantes y simpatizantes de  ,approval
"Pues así así como que mucha lucha con la corrupción no hubo. Los hijos, hermanos, primas, colaboradores y demás fauna cuateotera del kks  ",neutral
"Y el mejor horario para los del sector 2,3,4,5 cuando va cambiar  ",caring
"Con liderazgos importantes, militantes y simpatizantes de se reunió este día  ",neutral
"En Tepa y todos los Altos hay gente trabajadora, buena y dedicada, que con o sin apoyo, han sabido construir una de las regiones más fértiles y productivas de México y de toda América. 

¡Gracias por recibirme este domingo!    ",admiration
"Les presento la cara de la corrupción, les presento al señor que vende fentanilo    ",neutral
Pudiendo dar un golpe maestro hacen una pendejada que los deja igual que no hacer nada.   https://,annoyance
"9 17 31,1 mil",neutral
le gustan los huevos con chorizo    ,love
"No sé para que te haces tonta, todos sabemos que siempre andas en andares con y  ",annoyance
Yo creo que gana don Antonio    ,neutral
Pues que ponga su consultorio pero no gobernará Jalisco    ,neutral
"1 4 60,5 mil",neutral
Y qué es ? Un corrupto ratero ...    ,curiosity
Jajaja    ,amusement
O puedes estar trabajando y quitarte tu patrimonio El pasado 20 de septiembre las y los...  ,neutral
"haber pendejos, por está deuda no van a chistar, sirvan para algo, quieren que los tomen en serio portarse como hombres y manifieste su inconformidad para está deuda.    ",anger
3 12 8.401,neutral
Nos vemos mañana    ,neutral
"Pero ya todos sabemos que los varones van en tu cama...
Con tu esposa    ",neutral
Rata asquerosa    ,disgust
Eres una mmada doctor corrupto.    ,anger
Porque es mejor opción? Porque trae la escuela de robar y robar junto a sus hermanos ? Que no debemos olvidar que ellos tres son equipo y uno de ellos anda de  suplente de Lemus votar por ella es solo darle continuidad a mc    ,confusion
Cualquiera le gana a los rateros de Movimiento Ciudadano!    ,neutral
"79 103 10,4 M",neutral
¿Se refiere al olor a caca?    ,curiosity
"Muy ""interesante y orgánica"" la organización y cobijo que le brindan varios funcionarios.

Al parecer no será difícil elegir a uno o a una como candidata en un municipio del oriente.

Mientras tanto, biba el    ",approval
En Jalisco la respuesta es la mejor opción para gobernar nuestro Estado  ,approval
Conocer de cerca a la gente y sus historias me motiva y me llena de vida. Es un privilegio estar y compartir con ustedes. Gracias por inspirarme todos los días.    ,gratitude
"41 37 1,8 M",neutral
A perder    ,neutral
La Maestra Clara también tiene cuenta es    ,neutral
"No me fue mal, le atine a cinco    ",realization
Y también se respira el fentanilo que vendiste a nuestros jóvenes.    ,neutral
Buen día Don Corrupto    ,gratitude
"Cuánta ignorancia se ve al apoyar ese movimiento de cuarta, no saben hacer bien las cosas y tristemente gente neofita los sigue apoyando, por conveniencia y porque los amenazan con quitarles los programas sociales    ",sadness
"En encuestas realizadas en la zmg y al interior del estado durante las 4 últimas semanas, hay una clara tendencia hacia 3 de los mencionados. Curiosamente inicia con C su nombre    ",realization
"Ya es hora , apoyo total    ",approval
Jalisco será territorio morena    ,neutral
"226 1.586 7,4 M",neutral
     ,neutral
"nada de que ¿quién contra nosotros juntos? No pregunte porque se lleva y luego no se aguanta. Junta más gente un perro atropellado que usted en una foto con sus ""cuates""    ",neutral
Bendito Dios que la bajaron a la hija de Michel aquí en Vallarta están quedando muy mal en todo    ,disappointment
Los jaliscienses y MC están muy ilusionados de que usted sea el candidato señor corrupto.    ,excitement
"52 20 880,1 mil",neutral
