texto,comentarios,repost,likes,views
"Me siento profundamente orgulloso de ser parte de un movimiento político que promueve la honestidad, porque soy un hombre honesto que trabaja incansablemente por el bienestar de la gente. Gracias por su confianza y su apoyo para poder defender el proyecto de la  #CuartaTransformación en Jalisco.   ",7,8,25,548
"Mi compromiso es estar cerca de ustedes. Cada foto representa una historia, un momento compartido. Cada apretón de manos, cada sonrisa, es una razón más que me impulsa a seguir en este camino. Esto lo logramos juntas y juntos.",2,3,21,375
"Me considero un líder capaz, comprometido y valiente. Alguien que conoce de cerca los desafíos que enfrentamos. Alguien que no retrocede ante las dificultades, por el contrario, las encaro con determinación, porque el cariño de ustedes son el motor que me impulsa a seguir adelante. ¡La unión hace la fuerza!",4,31,20,378
"Agradezco infinitamente el apoyo de quienes como yo, anhelan que la 4T llegue a Jalisco. ¡Vamos juntas y juntos en este sueño!",20,18,68,1000
"Han sido casi 20 años de lucha, esfuerzo y dedicación. Somos tercos, y para lograr una verdadera transformación, se requiere carácter y valentía. Es un honor estar con ustedes y recibir tanto cariño. ¡Esto lo hacemos juntos!",17,13,67,2000
Mi único camino es la honestidad y el amor por nuestra gente.,84,33,113,6000
Muchas felicidades al Doc en su día.. Médico de cuerpos y almas,9,13,50,1000
"Para quienes tenemos esta vocación y dedicamos nuestra vida a esta hermosa profesión, sabemos que ser médico va más allá de tener un título; es un compromiso, una promesa de cuidar la salud y el bienestar de las personas. En este Día del Médico, celebremos la valentía, el compromiso y los valores humanos que cada médico aporta a la sociedad. A todos mis colegas, ¡feliz día!",15,11,74,3000
"¡Nada más jalisciense que una buena birria de La Barca!  Panza llena, corazón contento para seguir recorriendo nuestro estado.",5,4,38,777
Llevo 20 años caminando los senderos de Jalisco y cada día estoy más orgulloso de ser de aquí.,37,17,80,3000
Resolvamos esto de una vez por todas. ¿Cuáles son las mejores tortas ahogadas de Guadalajara?,10,41,45,1000
"Una felicitación muy especial para mi amiga y compañera de lucha, @katiacastillol por motivo de su cumpleaños. Deseo que te encuentres viviendo un gran día, rodeada de las personas que quieres y que te quieren. ¡Feliz cumpleaños, presidenta!",1,3,44,561
"Profundamente agradecido con el cariño y apoyo que me han brindado hoy en Tlaquepaque, para poder lograr ser el Coordinador de los Comités de la Defensa de la 4T en Jalisco.  ¡Amor con amor se paga!",33,16,74,1000
Las mujeres de México ya han roto el techo de cristal. Quienes militamos en este movimiento seguiremos apoyando su derecho a alcanzar sus aspiraciones y sueños.,2,29,54,419
"Estuve en cabina con @Ramiro_Escoto en  @lider919, conversamos de mis inicios en @PartidoMorenaMx y de cómo siempre hemos estado del lado de la transformación, acompañando y luchando por nuestro movimiento. ¡Gracias por la invitación!",4,7,53,934
"Para ganarse el respeto y la confianza de las personas, hay que trabajar con honestidad e integridad. Agradezco profundamente a todos los que me acompañan en esta ardua labor. ¡Les deseo un excelente inicio de semana a todas y todos!",2,31,51,481
"En Tepa y todos los Altos hay gente trabajadora, buena y dedicada, que con o sin apoyo, han sabido construir una de las regiones más fértiles y productivas de México y de toda América.  ¡Gracias por recibirme este domingo!",3,5,56,1000
Conocer de cerca a la gente y sus historias me motiva y me llena de vida. Es un privilegio estar y compartir con ustedes. Gracias por inspirarme todos los días.,6,8,57,1000
"En el oriente de Guadalajara y en todo Jalisco, ¡ya se respira fuerte la 4T! Queremos paz y tranquilidad, desarrollo y bienestar, y juntos podemos lograrlo. Gracias a los simpatizantes de mi partido por invitarme a conversar con ellos esta tarde. ¡Somos invencibles cuando estamos juntos!",11,20,71,2000
"Si ustedes están conmigo, ¿quién puede contra nosotros juntos?",4,6,39,787
"Unidos por la transformación, comprometidos con la 4T. En Jalisco, la unidad se fundamenta en los principios de @PartidoMorenaMx, la organización, la movilización y la suma de todas las voluntades. Con nuestras causas y #morena por encima de todo, somos invencibles en Jalisco. Creemos en un México y un Jalisco más justo y equitativo.",6,10,56,1000
Ya estamos llegando a conocer los resultados de la encuesta de reconocimiento de las y los aspirantes a la Coordinación de los Comités de Defensa de la 4T en Jalisco.,19,21,91,2000
Gracias a quienes confían en mí: seguiré trabajando para estar a la altura de sus esperanzas. ¡Juntas y juntos somos imparables!,12,19,74,1000
"Quien cumple su palabra, no tiene miedo del pasado, ni del futuro.",13,6,42,1000
Quiero tomar un momento para agradecerles de corazón por sus palabras y comentarios tan alentadores. ¡Ustedes son mi motor y fuente de inspiración!,2,3,37,633
"Uno de los temas a tratar en nuestra #mañaneraGDL, es la denuncia de cómo el @GuadalajaraGob ha gastado millones de pesos en cenas y banquetes para que el alcalde conviva y celebre con sus amigos vip.  Licitación LPL 028/2023 otorgada por el Comité de Adquisiciones a la empresa Operadora Estratégica Verdi, S.A. de C.V., por poco más de 1 millón de pesos.",8,10,51,1000
"Mujer, vida, libertad: este fue el grito que envió a la cárcel a Narges Mohammadi, activista iraní que ha sido galardonada hoy con el Premio Nobel de la Paz.
Ella y muchas otras mujeres, víctimas de una sistemática violencia y de la indiferencia de su gobierno ante sus clamores,  alzaron la voz para reclamar su derecho a la dignidad y a una vida libre de violencias. Esta es, también, mi lucha y la de millones de personas en Jalisco.

Que este premio sirva de inspiración para todas y todos para terminar, de una vez por todas, con la violencia de género que les roba la libertad y la vida a las mujeres del mundo. ¡Nunca más!",1,5,36,1000
"Llevo toda mi vida sirviendo a mi comunidad, y hoy, en el Distrito 4 de Zapopan, recordé mis primeras visitas de trabajo social hace casi dos décadas, de la mano de jóvenes que hoy son líderes.  Todavía hay muchas carencias, pero vamos a luchar, con la conciencia y el corazón, para transformar a Jalisco y traer el bienestar a todas las familias.",19,17,85,4000
"Las mujeres de Jalisco merecen vivir libres, plenas y con dignidad. Hagamos de este sueño una realidad.",1,33,60,423
"El día de hoy tengo el honor de compartir un diálogo con militantes y simpatizantes de Morena en Teuchitlán. En esta reunión, les hablo sobre mi compromiso con la Cuarta Transformación y por qué motivo aspiro a coordinar los Comités de Defensa de la  #4T en Jalisco.  Llevo casi 20 años comprometido en esta lucha por un México mejor, y ahora, más que nunca, aspiro a que esta transformación llegue a nuestro estado en buenas manos.  Juntos, seremos el motor de la esperanza y la transformación para Jalisco.",14,16,65,2000
"Con perseverancia, compromiso y mucho trabajo, los sueños se cumplen.",4,5,44,819
"Hoy conmemoramos el 2 de octubre, un día que no se olvida, y en 2011, se fundó  
@PartidoMorenaMx
 como asociación civil. Un paso crucial en nuestro camino hacia la democracia y la justicia de Mexico y de nuestro estado . 

En 2018, logramos un cambio. Hoy, tenemos un Presidente que ama al pueblo de México.",3,5,42,1000
"El inversor y empresario Warren Buffett acuñó  la frase: ""La honestidad es un regalo costoso,  no lo esperes de personas baratas"". Y sin duda,  en la vida, la integridad es la base de una  sociedad fuerte y próspera. ¡Tengan un buen  arranque de semana!",10,3,56,1000
"Por este medio manifiesto que desconozco quien o quienes han pintado las diversas bardas que han aparecido en la ciudad, así como colocado las lonas de apoyo hacia mi persona, me deslindo de la realización de los actos referidos y exhorto a mis simpatizantes a que se conduzcan con apego a la convocatoria y a las leyes electorales aplicables al caso. Sigamos en unidad para defender los ideales del partido. ",116,25,109,17000
