CASILLA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,PT-MORENA,"VOTOS
 NULOS",CANDIDATOS NO REGISTRADOS
1304 BASICA 1,159,7,1,5,4,6,160,2,2,2,0,2,0
1304 CONTIGUA 1,165,6,1,1,10,7,134,0,7,2,1,10,0
1304 CONTIGUA 2,152,4,3,9,11,5,127,5,3,4,0,11,0
1304 CONTIGUA 3,141,9,4,5,10,8,130,7,4,0,1,3,0
1304 CONTIGUA 4,160,10,1,7,7,3,109,6,1,1,2,8,0
1304 EXTRAORDINARIA 1,152,9,1,1,0,10,0,1,3,3,124,6,0
1304 EXTRAORDINARIA 1 C1,142,2,2,3,4,2,113,1,3,1,6,5,0
1304 EXTRAORDINARIA 1 C2,145,6,2,4,4,5,111,3,3,2,2,3,3
1305 BASICA 1,216,9,2,5,7,6,176,7,5,0,3,8,
1305 CONTIGUA 1,194,5,2,3,5,6,180,3,6,1,2,5,0
1306 BASICA 1,143,5,1,0,1,7,129,2,4,3,1,5,0
1306 CONTIGUA 1,112,5,2,3,4,11,133,7,1,1,2,4,0
1307 BASICA 1,196,13,3,8,6,13,133,6,6,1,,4,
1307 CONTIGUA 1,168,13,0,6,2,10,138,5,2,1,2,2,0
1308 BASICA 1,191,3,6,2,5,7,168,3,7,1,1,4,1
1308 CONTIGUA 1,215,3,4,1,4,0,150,5,5,3,3,12,0
1309 BASICA 1,130,5,2,1,0,5,110,3,2,0,4,4,0
1309 CONTIGUA 1,114,3,0,0,5,9,121,2,2,1,2,7,0
1309 CONTIGUA 2,127,4,0,2,3,9,102,5,5,2,0,5,0
1310 BASICA 1,190,8,0,6,7,17,133,15,2,2,0,5,0
1310 CONTIGUA 1,161,8,2,2,1,20,133,7,1,2,3,5,0
1310 CONTIGUA 2,182,6,0,4,2,14,155,7,7,2,4,13,0
1311 BASICA 1,156,12,1,2,1,11,149,3,4,5,2,8,0
1311 CONTIGUA 1,144,6,4,3,5,14,162,9,3,1,2,9,0
1312 BASICA 1,115,6,1,2,1,6,108,7,7,0,1,7,0
1312 CONTIGUA 1,117,9,2,5,1,4,107,7,8,3,,5,
1312 ESPECIAL 1,41,2,0,1,0,3,39,1,1,1,0,0,1
1313 BASICA 1,139,12,1,3,6,8,150,8,4,3,0,7,1
1313 CONTIGUA 1,178,9,4,4,5,8,149,3,3,5,0,5,1
1314 BASICA 1,160,5,0,5,9,6,148,3,4,1,2,0,0
1314 CONTIGUA 1,194,4,1,2,5,6,139,5,5,2,4,2,0
1314 CONTIGUA 2,203,4,0,3,5,6,134,9,3,1,1,5,0
1314 CONTIGUA 3,183,5,2,3,7,6,155,1,8,1,2,8,0
1314 CONTIGUA 4,175,4,0,2,9,8,157,2,6,1,0,5,0
1314 EXTRAORDINARIA 1,136,5,3,1,7,7,135,1,5,2,5,9,0
1314 EXTRAORDINARIA 1 C1,139,5,4,2,11,7,151,2,1,1,0,5,0
1315 BASICA 1,160,4,1,6,14,3,167,2,2,2,3,3,0
1315 CONTIGUA 1,169,4,1,1,3,5,156,3,10,3,2,4,0
1316 BASICA 1,170,3,2,1,3,9,121,1,3,3,1,3,1
1316 CONTIGUA 1,176,8,1,6,2,7,140,10,1,0,3,2,3
1317 BASICA 1,170,6,3,5,4,13,179,4,4,3,1,7,0
1317 CONTIGUA 1,212,10,3,1,5,16,168,2,3,2,0,8,1
1318 BASICA 1,172,0,6,1,7,15,157,8,3,1,1,5,0
1318 CONTIGUA 1,189,10,8,6,12,9,166,2,3,1,1,6,1
1318 CONTIGUA 2,198,2,4,3,6,11,173,4,2,0,1,3,0
1319 BASICA 1,166,10,2,8,7,2,202,7,3,2,4,7,0
1319 CONTIGUA 1,171,6,4,3,12,8,149,5,0,1,0,6,0
1320 BASICA 1,132,4,0,4,9,14,194,5,2,2,0,15,0
1320 CONTIGUA 1,165,6,0,3,8,6,167,6,1,3,5,7,0
1321 BASICA 1,157,8,1,4,5,6,118,3,4,1,0,13,0
1321 CONTIGUA 1,144,3,1,2,5,13,137,6,1,1,2,3,1
1322 BASICA 1,127,14,2,5,14,11,129,15,4,4,0,2,0
1322 CONTIGUA 1,159,15,1,0,7,9,148,15,6,1,1,7,0
