,postal_code,country_code,place_name,state_name,state_code,county_name,county_code,community_name,community_code,latitude,longitude,accuracy
0,89000,MX,Tampico Centro,Tamaulipas,28,Tampico,38,Tampico,10.0,22.7033,-98.4753,1
1,89050,MX,Obrera,Tamaulipas,28,Tampico,38,Tampico,10.0,22.2786,-97.9013,1
2,89060,MX,"Tamaulipas, Telegrafistas",Tamaulipas,28,Tampico,38,Tampico,10.0,22.7033,-98.4753,1
3,89060,MX,"Tamaulipas, Telegrafistas",Tamaulipas,28,Tampico,38,Tampico,10.0,22.7033,-98.4753,1
4,89070,MX,Guadalupe Mainero,Tamaulipas,28,Tampico,38,Tampico,10.0,22.2786,-97.9013,1
5,89080,MX,"Guadalupe Victoria, Xicotencatl",Tamaulipas,28,Tampico,38,Tampico,10.0,22.2786,-97.9013,1
6,89080,MX,"Guadalupe Victoria, Xicotencatl",Tamaulipas,28,Tampico,38,Tampico,10.0,22.2786,-97.9013,1
7,89090,MX,"Azucenas, Isleta Pérez, Parajes de Guadalupe",Tamaulipas,28,Tampico,38,Tampico,10.0,22.561733333333333,-98.28396666666669,1
8,89090,MX,"Azucenas, Isleta Pérez, Parajes de Guadalupe",Tamaulipas,28,Tampico,38,Tampico,10.0,22.561733333333333,-98.28396666666669,1
9,89090,MX,"Azucenas, Isleta Pérez, Parajes de Guadalupe",Tamaulipas,28,Tampico,38,Tampico,10.0,22.561733333333333,-98.28396666666669,1
10,89100,MX,"Lomas de Rosales, Lomas de la Aurora, Loma Real",Tamaulipas,28,Tampico,38,Tampico,10.0,22.439866666666664,-97.89983333333332,3
11,89100,MX,"Lomas de Rosales, Lomas de la Aurora, Loma Real",Tamaulipas,28,Tampico,38,Tampico,10.0,22.439866666666664,-97.89983333333332,3
12,89100,MX,"Lomas de Rosales, Lomas de la Aurora, Loma Real",Tamaulipas,28,Tampico,38,Tampico,10.0,22.439866666666664,-97.89983333333332,3
13,89106,MX,Lomas del Naranjal,Tamaulipas,28,Tampico,38,Tampico,10.0,22.5205,-97.8991,1
14,89107,MX,"Lindavista, Loma Bonita",Tamaulipas,28,Tampico,38,Tampico,10.0,22.2786,-97.9013,1
15,89107,MX,"Lindavista, Loma Bonita",Tamaulipas,28,Tampico,38,Tampico,10.0,22.2786,-97.9013,1
16,89108,MX,"Gustavo Díaz Ordaz, Hospital Regional",Tamaulipas,28,Tampico,38,Tampico,10.0,22.39955,-97.9002,1
17,89108,MX,"Gustavo Díaz Ordaz, Hospital Regional",Tamaulipas,28,Tampico,38,Tampico,10.0,22.39955,-97.9002,1
18,89109,MX,"Los Arcángeles, Universidad Sur",Tamaulipas,28,Tampico,38,Tampico,10.0,22.5205,-97.8991,1
19,89109,MX,"Los Arcángeles, Universidad Sur",Tamaulipas,28,Tampico,38,Tampico,10.0,22.5205,-97.8991,1
20,89110,MX,"Militar 2, Petrolera, FOVISSSTE Vista Hermosa, Las Villas",Tamaulipas,28,Tampico,38,Tampico,10.0,22.371825,-97.891625,1
21,89110,MX,"Militar 2, Petrolera, FOVISSSTE Vista Hermosa, Las Villas",Tamaulipas,28,Tampico,38,Tampico,10.0,22.371825,-97.891625,1
22,89110,MX,"Militar 2, Petrolera, FOVISSSTE Vista Hermosa, Las Villas",Tamaulipas,28,Tampico,38,Tampico,10.0,22.371825,-97.891625,1
23,89110,MX,"Militar 2, Petrolera, FOVISSSTE Vista Hermosa, Las Villas",Tamaulipas,28,Tampico,38,Tampico,10.0,22.371825,-97.891625,1
24,89118,MX,"Militar, La Florida",Tamaulipas,28,Tampico,38,Tampico,10.0,22.2786,-97.9013,1
25,89118,MX,"Militar, La Florida",Tamaulipas,28,Tampico,38,Tampico,10.0,22.2786,-97.9013,1
26,89119,MX,Vista Hermosa,Tamaulipas,28,Tampico,38,Tampico,10.0,22.2786,-97.9013,1
27,89120,MX,"Guadalupe, Armora Nicolás, Minerva",Tamaulipas,28,Tampico,38,Tampico,10.0,22.36146666666667,-97.8927,1
28,89120,MX,"Guadalupe, Armora Nicolás, Minerva",Tamaulipas,28,Tampico,38,Tampico,10.0,22.36146666666667,-97.8927,1
29,89120,MX,"Guadalupe, Armora Nicolás, Minerva",Tamaulipas,28,Tampico,38,Tampico,10.0,22.36146666666667,-97.8927,1
30,89130,MX,"Arboledas, Primavera, Hidalgo, Allende",Tamaulipas,28,Tampico,38,Tampico,10.0,22.28025,-97.895425,1
31,89130,MX,"Arboledas, Primavera, Hidalgo, Allende",Tamaulipas,28,Tampico,38,Tampico,10.0,22.28025,-97.895425,1
32,89130,MX,"Arboledas, Primavera, Hidalgo, Allende",Tamaulipas,28,Tampico,38,Tampico,10.0,22.28025,-97.895425,1
33,89130,MX,"Arboledas, Primavera, Hidalgo, Allende",Tamaulipas,28,Tampico,38,Tampico,10.0,22.28025,-97.895425,1
34,89130,MX,"Arboledas, Primavera, Hidalgo, Allende",Tamaulipas,28,Tampico,38,Tampico,10.0,22.28025,-97.895425,1
35,89136,MX,Arcim,Tamaulipas,28,Tampico,38,Tampico,10.0,22.2852,-97.8778,1
36,89137,MX,"Ignacio Romero, Tampico",Tamaulipas,28,Tampico,38,Tampico,10.0,22.2852,-97.8778,3
37,89137,MX,"Ignacio Romero, Tampico",Tamaulipas,28,Tampico,38,Tampico,10.0,22.2852,-97.8778,3
38,89138,MX,"Colinas de Universidad, Zapotal, San Felipe, Los Pinos, Universidad",Tamaulipas,28,Tampico,38,Tampico,10.0,22.28124,-97.8919,1
39,89138,MX,"Colinas de Universidad, Zapotal, San Felipe, Los Pinos, Universidad",Tamaulipas,28,Tampico,38,Tampico,10.0,22.28124,-97.8919,1
40,89138,MX,"Colinas de Universidad, Zapotal, San Felipe, Los Pinos, Universidad",Tamaulipas,28,Tampico,38,Tampico,10.0,22.28124,-97.8919,1
41,89138,MX,"Colinas de Universidad, Zapotal, San Felipe, Los Pinos, Universidad",Tamaulipas,28,Tampico,38,Tampico,10.0,22.28124,-97.8919,1
42,89138,MX,"Colinas de Universidad, Zapotal, San Felipe, Los Pinos, Universidad",Tamaulipas,28,Tampico,38,Tampico,10.0,22.28124,-97.8919,1
43,89140,MX,"Lauro Aguirre, Reforma, Smith",Tamaulipas,28,Tampico,38,Tampico,10.0,22.32003333333333,-97.897,1
44,89140,MX,"Lauro Aguirre, Reforma, Smith",Tamaulipas,28,Tampico,38,Tampico,10.0,22.32003333333333,-97.897,1
45,89140,MX,"Lauro Aguirre, Reforma, Smith",Tamaulipas,28,Tampico,38,Tampico,10.0,22.32003333333333,-97.897,1
46,89150,MX,"Otomi, Primavera, Juárez, Vergel",Tamaulipas,28,Tampico,38,Tampico,10.0,22.34075,-97.89485,1
47,89150,MX,"Otomi, Primavera, Juárez, Vergel",Tamaulipas,28,Tampico,38,Tampico,10.0,22.34075,-97.89485,1
48,89150,MX,"Otomi, Primavera, Juárez, Vergel",Tamaulipas,28,Tampico,38,Tampico,10.0,22.34075,-97.89485,1
49,89150,MX,"Otomi, Primavera, Juárez, Vergel",Tamaulipas,28,Tampico,38,Tampico,10.0,22.34075,-97.89485,1
50,89159,MX,Bellavista,Tamaulipas,28,Tampico,38,Tampico,10.0,22.2786,-97.9013,1
51,89160,MX,"Frente Democrático, Santo Niño, Tolteca",Tamaulipas,28,Tampico,38,Tampico,10.0,22.36146666666667,-97.8927,1
52,89160,MX,"Frente Democrático, Santo Niño, Tolteca",Tamaulipas,28,Tampico,38,Tampico,10.0,22.36146666666667,-97.8927,1
53,89160,MX,"Frente Democrático, Santo Niño, Tolteca",Tamaulipas,28,Tampico,38,Tampico,10.0,22.36146666666667,-97.8927,1
54,89169,MX,Laguna del Carpintero,Tamaulipas,28,Tampico,38,Tampico,10.0,22.4029,-97.8884,1
55,89170,MX,"Rodríguez, Trueba, Aurora, Martock",Tamaulipas,28,Tampico,38,Tampico,10.0,22.4029,-97.8884,1
56,89170,MX,"Rodríguez, Trueba, Aurora, Martock",Tamaulipas,28,Tampico,38,Tampico,10.0,22.4029,-97.8884,1
57,89170,MX,"Rodríguez, Trueba, Aurora, Martock",Tamaulipas,28,Tampico,38,Tampico,10.0,22.4029,-97.8884,1
58,89170,MX,"Rodríguez, Trueba, Aurora, Martock",Tamaulipas,28,Tampico,38,Tampico,10.0,22.4029,-97.8884,1
59,89176,MX,Rosario,Tamaulipas,28,Tampico,38,Tampico,10.0,22.4029,-97.8884,1
60,89177,MX,Moctezuma,Tamaulipas,28,Tampico,38,Tampico,10.0,22.2786,-97.9013,1
61,89180,MX,"Barandillas, Anáhuac",Tamaulipas,28,Tampico,38,Tampico,10.0,22.34075,-97.89485,1
62,89180,MX,"Barandillas, Anáhuac",Tamaulipas,28,Tampico,38,Tampico,10.0,22.34075,-97.89485,1
63,89190,MX,"Americana, Del Pueblo, Azteca",Tamaulipas,28,Tampico,38,Tampico,10.0,22.36146666666667,-97.8927,1
64,89190,MX,"Americana, Del Pueblo, Azteca",Tamaulipas,28,Tampico,38,Tampico,10.0,22.36146666666667,-97.8927,1
65,89190,MX,"Americana, Del Pueblo, Azteca",Tamaulipas,28,Tampico,38,Tampico,10.0,22.36146666666667,-97.8927,1
66,89199,MX,Volantín,Tamaulipas,28,Tampico,38,Tampico,10.0,22.2786,-97.9013,1
67,89210,MX,"Sierra Morena, Monte Alegre",Tamaulipas,28,Tampico,38,Tampico,10.0,22.24995,-97.88975,1
68,89210,MX,"Sierra Morena, Monte Alegre",Tamaulipas,28,Tampico,38,Tampico,10.0,22.24995,-97.88975,1
69,89215,MX,San Pedro Fernando,Tamaulipas,28,Tampico,38,Tampico,10.0,22.2213,-97.8782,1
70,89217,MX,Club Campestre Tampico,Tamaulipas,28,Tampico,38,Tampico,10.0,22.2213,-97.8782,1
71,89218,MX,Country Club,Tamaulipas,28,Tampico,38,Tampico,10.0,22.2213,-97.8782,1
72,89219,MX,"Laguna de la Herradura, Chairel Secc 33",Tamaulipas,28,Tampico,38,Tampico,10.0,22.2213,-97.8782,1
73,89219,MX,"Laguna de la Herradura, Chairel Secc 33",Tamaulipas,28,Tampico,38,Tampico,10.0,22.2213,-97.8782,1
74,89220,MX,Flores,Tamaulipas,28,Tampico,38,Tampico,10.0,22.2786,-97.9013,1
75,89229,MX,Fray Andrés de Olmos,Tamaulipas,28,Tampico,38,Tampico,10.0,22.2213,-97.8782,1
76,89230,MX,Águila,Tamaulipas,28,Tampico,38,Tampico,10.0,22.2213,-97.8782,1
77,89239,MX,Chairel,Tamaulipas,28,Tampico,38,Tampico,10.0,22.2213,-97.8782,1
78,89240,MX,"Sauce, Altavista",Tamaulipas,28,Tampico,38,Tampico,10.0,22.24995,-97.88975,1
79,89240,MX,"Sauce, Altavista",Tamaulipas,28,Tampico,38,Tampico,10.0,22.24995,-97.88975,1
80,89250,MX,"Alijadores, Exlomas del Country Club, Pescadores, Sembradores de la Amistad",Tamaulipas,28,Tampico,38,Tampico,10.0,22.235625,-97.883975,1
81,89250,MX,"Alijadores, Exlomas del Country Club, Pescadores, Sembradores de la Amistad",Tamaulipas,28,Tampico,38,Tampico,10.0,22.235625,-97.883975,1
82,89250,MX,"Alijadores, Exlomas del Country Club, Pescadores, Sembradores de la Amistad",Tamaulipas,28,Tampico,38,Tampico,10.0,22.235625,-97.883975,1
83,89250,MX,"Alijadores, Exlomas del Country Club, Pescadores, Sembradores de la Amistad",Tamaulipas,28,Tampico,38,Tampico,10.0,22.235625,-97.883975,1
84,89258,MX,Peralta,Tamaulipas,28,Tampico,38,Tampico,10.0,22.2213,-97.8782,1
85,89260,MX,"Nacional, Campbell, Jardín",Tamaulipas,28,Tampico,38,Tampico,10.0,22.2213,-97.8782,1
86,89260,MX,"Nacional, Campbell, Jardín",Tamaulipas,28,Tampico,38,Tampico,10.0,22.2213,-97.8782,1
87,89260,MX,"Nacional, Campbell, Jardín",Tamaulipas,28,Tampico,38,Tampico,10.0,22.2213,-97.8782,1
88,89268,MX,Ramos,Tamaulipas,28,Tampico,38,Tampico,10.0,22.2213,-97.8782,1
89,89270,MX,"Aragón, Melchor Ocampo, Matamoros",Tamaulipas,28,Tampico,38,Tampico,10.0,22.259500000000003,-97.8936,1
90,89270,MX,"Aragón, Melchor Ocampo, Matamoros",Tamaulipas,28,Tampico,38,Tampico,10.0,22.259500000000003,-97.8936,1
91,89270,MX,"Aragón, Melchor Ocampo, Matamoros",Tamaulipas,28,Tampico,38,Tampico,10.0,22.259500000000003,-97.8936,1
92,89280,MX,Cascajal,Tamaulipas,28,Tampico,38,Tampico,10.0,22.2213,-97.8782,1
93,89290,MX,"Marina Nacional, Morelos",Tamaulipas,28,Tampico,38,Tampico,10.0,22.2213,-97.8782,3
94,89290,MX,"Marina Nacional, Morelos",Tamaulipas,28,Tampico,38,Tampico,10.0,22.2213,-97.8782,3
95,89298,MX,"Mano Con Mano, Vicente Guerrero",Tamaulipas,28,Tampico,38,Tampico,10.0,22.24995,-97.88975,1
96,89298,MX,"Mano Con Mano, Vicente Guerrero",Tamaulipas,28,Tampico,38,Tampico,10.0,22.24995,-97.88975,1
97,89309,MX,Enrique Cárdenas González,Tamaulipas,28,Tampico,38,Tampico,10.0,22.3331,-97.8843,1
98,89310,MX,Laguna de la Puerta,Tamaulipas,28,Tampico,38,Tampico,10.0,22.2786,-97.9013,4
99,89314,MX,"Revolución Verde, Unidad del Valle",Tamaulipas,28,Tampico,38,Tampico,10.0,22.32235,-97.89325,1
100,89314,MX,"Revolución Verde, Unidad del Valle",Tamaulipas,28,Tampico,38,Tampico,10.0,22.32235,-97.89325,1
101,89316,MX,"Sagitario I y II, Esfuerzo Obrero, Emilio Portes Gil",Tamaulipas,28,Tampico,38,Tampico,10.0,22.33693333333333,-97.89056666666666,1
102,89316,MX,"Sagitario I y II, Esfuerzo Obrero, Emilio Portes Gil",Tamaulipas,28,Tampico,38,Tampico,10.0,22.33693333333333,-97.89056666666666,1
103,89316,MX,"Sagitario I y II, Esfuerzo Obrero, Emilio Portes Gil",Tamaulipas,28,Tampico,38,Tampico,10.0,22.33693333333333,-97.89056666666666,1
104,89317,MX,"Natividad Garza Leal, Solidaridad Voluntad y Trabajo",Tamaulipas,28,Tampico,38,Tampico,10.0,22.3661,-97.8852,1
105,89317,MX,"Natividad Garza Leal, Solidaridad Voluntad y Trabajo",Tamaulipas,28,Tampico,38,Tampico,10.0,22.3661,-97.8852,1
106,89318,MX,"Francisco Javier Mina, Del Bosque, Nuevo Progreso",Tamaulipas,28,Tampico,38,Tampico,10.0,22.307766666666662,-97.89593333333336,1
107,89318,MX,"Francisco Javier Mina, Del Bosque, Nuevo Progreso",Tamaulipas,28,Tampico,38,Tampico,10.0,22.307766666666662,-97.89593333333336,1
108,89318,MX,"Francisco Javier Mina, Del Bosque, Nuevo Progreso",Tamaulipas,28,Tampico,38,Tampico,10.0,22.307766666666662,-97.89593333333336,1
109,89319,MX,"Bugambilias, Villa Hermosa",Tamaulipas,28,Tampico,38,Tampico,10.0,22.2786,-97.9013,1
110,89319,MX,"Bugambilias, Villa Hermosa",Tamaulipas,28,Tampico,38,Tampico,10.0,22.2786,-97.9013,1
111,89320,MX,"Americano, Chairel Infonavit, Puesta del Sol, Tancol",Tamaulipas,28,Tampico,38,Tampico,10.0,22.29465,-97.8878,3
112,89320,MX,"Americano, Chairel Infonavit, Puesta del Sol, Tancol",Tamaulipas,28,Tampico,38,Tampico,10.0,22.29465,-97.8878,3
113,89320,MX,"Americano, Chairel Infonavit, Puesta del Sol, Tancol",Tamaulipas,28,Tampico,38,Tampico,10.0,22.29465,-97.8878,3
114,89320,MX,"Americano, Chairel Infonavit, Puesta del Sol, Tancol",Tamaulipas,28,Tampico,38,Tampico,10.0,22.29465,-97.8878,3
115,89325,MX,"Loma Bonita, Circuito Andrea",Tamaulipas,28,Tampico,38,Tampico,10.0,22.2893,-97.8923,1
116,89325,MX,"Loma Bonita, Circuito Andrea",Tamaulipas,28,Tampico,38,Tampico,10.0,22.2893,-97.8923,1
