,texto,tokens
0,para que la transformación llegue a jalisco debemos cumplir con los principios de morena y continuar la ruta de la unidad y la reconciliación vamos juntos por el bien de todos,"['para', 'que', 'la', 'transformación', 'llegue', 'a', 'jalisco', 'debemos', 'cumplir', 'con', 'los', 'principios', 'de', 'morena', 'y', 'continuar', 'la', 'ruta', 'de', 'la', 'unidad', 'y', 'la', 'reconciliación', 'vamos', 'juntos', 'por', 'el', 'bien', 'de', 'todos']"
1,en tepa y todos los altos hay gente trabajadora buena y dedicada que con o sin apoyo han sabido construir una de las regiones más fértiles y productivas de méxico y de toda américa gracias por recibirme este domingo,"['en', 'tepa', 'y', 'todos', 'los', 'altos', 'hay', 'gente', 'trabajadora', 'buena', 'y', 'dedicada', 'que', 'con', 'o', 'sin', 'apoyo', 'han', 'sabido', 'construir', 'una', 'de', 'las', 'regiones', 'más', 'fértiles', 'y', 'productivas', 'de', 'méxico', 'y', 'de', 'toda', 'américa', 'gracias', 'por', 'recibirme', 'este', 'domingo']"
2,twclid219wqod8qtgqv6e93zaurs7wm,['twclid219wqod8qtgqv6e93zaurs7wm']
3,conocer de cerca a la gente y sus historias me motiva y me llena de vida es un privilegio estar y compartir con ustedes gracias por inspirarme todos los días,"['conocer', 'de', 'cerca', 'a', 'la', 'gente', 'y', 'sus', 'historias', 'me', 'motiva', 'y', 'me', 'llena', 'de', 'vida', 'es', 'un', 'privilegio', 'estar', 'y', 'compartir', 'con', 'ustedes', 'gracias', 'por', 'inspirarme', 'todos', 'los', 'días']"
4,en el oriente de guadalajara y en todo jalisco ya se respira fuerte la 4t queremos paz y tranquilidad desarrollo y bienestar y juntos podemos lograrlo gracias a los simpatizantes de mi partido por invitarme a conversar con ellos esta tarde somos invencibles cuando,"['en', 'el', 'oriente', 'de', 'guadalajara', 'y', 'en', 'todo', 'jalisco', 'ya', 'se', 'respira', 'fuerte', 'la', '4t', 'queremos', 'paz', 'y', 'tranquilidad', 'desarrollo', 'y', 'bienestar', 'y', 'juntos', 'podemos', 'lograrlo', 'gracias', 'a', 'los', 'simpatizantes', 'de', 'mi', 'partido', 'por', 'invitarme', 'a', 'conversar', 'con', 'ellos', 'esta', 'tarde', 'somos', 'invencibles', 'cuando']"
5,damos a conocer los nombres de las y los aspirantes que pasarán a la encuesta final en el marco del proceso de definición de las coordinaciones de defensa de la transformación en,"['damos', 'a', 'conocer', 'los', 'nombres', 'de', 'las', 'y', 'los', 'aspirantes', 'que', 'pasarán', 'a', 'la', 'encuesta', 'final', 'en', 'el', 'marco', 'del', 'proceso', 'de', 'definición', 'de', 'las', 'coordinaciones', 'de', 'defensa', 'de', 'la', 'transformación', 'en']"
6,,[]
7,gracias a quienes confían en mí seguiré trabajando para estar a la altura de sus esperanzas juntas y juntos somos imparables,"['gracias', 'a', 'quienes', 'confían', 'en', 'mí', 'seguiré', 'trabajando', 'para', 'estar', 'a', 'la', 'altura', 'de', 'sus', 'esperanzas', 'juntas', 'y', 'juntos', 'somos', 'imparables']"
8,quien cumple su palabra no tiene miedo del pasado ni del futuro,"['quien', 'cumple', 'su', 'palabra', 'no', 'tiene', 'miedo', 'del', 'pasado', 'ni', 'del', 'futuro']"
9,quiero tomar un momento para agradecerles de corazón por sus palabras y comentarios tan alentadores ustedes son mi motor y fuente de inspiración,"['quiero', 'tomar', 'un', 'momento', 'para', 'agradecerles', 'de', 'corazón', 'por', 'sus', 'palabras', 'y', 'comentarios', 'tan', 'alentadores', 'ustedes', 'son', 'mi', 'motor', 'y', 'fuente', 'de', 'inspiración']"
