"css-4rbku5 href","css-9pa8cd src","css-901oao","css-901oao 2","css-901oao 3","css-4rbku5 href 4","css-4rbku5","css-901oao 4","css-4rbku5 href 5","css-901oao 5","css-4rbku5 href 6","css-901oao 6","css-4rbku5 href 7","css-901oao 7","css-901oao 8","css-901oao 9","css-4rbku5 href 9","css-901oao 10","css-901oao 12","css-901oao 14"
"https://twitter.com/cesargsanchez","https://pbs.twimg.com/profile_images/1417149533839101964/Qn1B_1Ai_normal.jpg","César Gerardo","@cesargsanchez","·","https://twitter.com/cesargsanchez/status/1711434880997826914","9 oct.","Respondiendo a","https://twitter.com/DrCarlosLomeli","@DrCarlosLomeli","https://twitter.com/mariana_fdzr","@mariana_fdzr","https://twitter.com/cesargsanchez/status/1711434880997826914/people","y 2 más","Los 3 niveles de gobierno están pal perro, pero el federal si es una charlotada.","1","https://twitter.com/cesargsanchez/status/1711434880997826914/analytics","32","",""
"https://twitter.com/Lori_mex","https://pbs.twimg.com/profile_images/1541781087684272128/WWSWAqij_normal.jpg","Lori","@Lori_mex","·","https://twitter.com/Lori_mex/status/1711434693680271776","9 oct.","En respuesta a","https://twitter.com/Rouux1","@Rouux1","https://twitter.com/PabloLemusN","@PabloLemusN","https://twitter.com/DrCarlosLomeli","y","","1","https://twitter.com/Lori_mex/status/1711434693680271776/analytics","71","",""
"https://twitter.com/faravalencia","https://pbs.twimg.com/profile_images/1555023856313696258/GqVIgOGQ_normal.jpg","el Fara BiCampeón","@faravalencia","·","https://twitter.com/faravalencia/status/1711431924420338029","9 oct.","En respuesta a","https://twitter.com/Rouux1","@Rouux1","https://twitter.com/PabloLemusN","@PabloLemusN","https://twitter.com/DrCarlosLomeli","y","¿Qué más les queda para alcanzar el hueso?","","https://twitter.com/faravalencia/status/1711431924420338029/analytics","29","",""
"https://twitter.com/spinlg","https://pbs.twimg.com/profile_images/499898807899803648/o9bLlR7-_normal.jpeg","spin","@spinlg","·","https://twitter.com/spinlg/status/1711429391236862272","9 oct.","En respuesta a","https://twitter.com/Rouux1","@Rouux1","https://twitter.com/PabloLemusN","@PabloLemusN","https://twitter.com/DrCarlosLomeli","y","Con que cara","","https://twitter.com/spinlg/status/1711429391236862272/analytics","25","",""
"https://twitter.com/EderZaid1","https://pbs.twimg.com/profile_images/1667295019420512256/0CDHAa_Q_normal.jpg","Eloy Escareño","@EderZaid1","·","https://twitter.com/EderZaid1/status/1711428176444891468","9 oct.","Respondiendo a","https://twitter.com/RutaElectoralmx","@RutaElectoralmx","https://twitter.com/ClaraCardenasG","@ClaraCardenasG","https://twitter.com/EderZaid1/status/1711428176444891468/people","y 3 más","es el bueno","","https://twitter.com/EderZaid1/status/1711428176444891468/analytics","25","",""
"https://twitter.com/Nezarenteria","https://pbs.twimg.com/profile_images/1144389043079262208/MPS_1B9f_normal.jpg","Neza Rentería Montero","@Nezarenteria","·","https://twitter.com/Nezarenteria/status/1711426144770158758","9 oct.","Respondiendo a","https://twitter.com/DrCarlosLomeli","@DrCarlosLomeli","https://twitter.com/mariana_fdzr","@mariana_fdzr","https://twitter.com/Nezarenteria/status/1711426144770158758/people","y 2 más","Ánimo doc lo bueno que ya se van !
Sigue la 4ta  transformación","1","https://twitter.com/Nezarenteria/status/1711426144770158758/analytics","90","",""
"https://twitter.com/Soyhugo_garibay","https://pbs.twimg.com/profile_images/1622664316053856256/cvQ7UiE-_normal.png","Hugo Garibay Ruiz","@Soyhugo_garibay","·","https://twitter.com/Soyhugo_garibay/status/1711423998494392807","9 oct.","Respondiendo a","https://twitter.com/RutaElectoralmx","@RutaElectoralmx","https://twitter.com/ClaraCardenasG","@ClaraCardenasG","https://twitter.com/Soyhugo_garibay/status/1711423998494392807/people","y 3 más","si de verdad se busca un cambio el debe ganar por mucho !","","https://twitter.com/Soyhugo_garibay/status/1711423998494392807/analytics","19","",""
"https://twitter.com/JoseBalmori8","https://pbs.twimg.com/profile_images/1441127607043383303/wyCLrgXl_normal.jpg","Jose Balmori","@JoseBalmori8","·","https://twitter.com/JoseBalmori8/status/1711422322819637697","9 oct.","Respondiendo a","https://twitter.com/DrCarlosLomeli","@DrCarlosLomeli","https://twitter.com/GuadalajaraGob","@GuadalajaraGob","https://twitter.com/JoseBalmori8/status/1711422322819637697/people","y 3 más","Pero ellos no son criminales como otros doc, de todos modos gracias por sacar ese monto (mínimo relacionado con lo que mueve cierto médico de manera ilegal) y por su preocupación!","","https://twitter.com/JoseBalmori8/status/1711422322819637697/analytics","19","",""
"https://twitter.com/cheztebez2099","https://pbs.twimg.com/profile_images/1701463592573571072/aVoDoACK_normal.png","Arturo Chavez","@cheztebez2099","·","https://twitter.com/cheztebez2099/status/1711421517307781139","9 oct.","Respondiendo a","https://twitter.com/RutaElectoralmx","@RutaElectoralmx","https://twitter.com/ClaraCardenasG","@ClaraCardenasG","https://twitter.com/cheztebez2099/status/1711421517307781139/people","y 3 más","","","https://twitter.com/cheztebez2099/status/1711421517307781139/analytics","29","",""
"https://twitter.com/JavicalN","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Javier Calderón N","@JavicalN","·","https://twitter.com/JavicalN/status/1711421483891716572","9 oct.","Respondiendo a","https://twitter.com/NachoRgz","@NachoRgz","https://twitter.com/INEMexico","@INEMexico","https://twitter.com/JavicalN/status/1711421483891716572/people","y 4 más","Lamebotas","","https://twitter.com/JavicalN/status/1711421483891716572/analytics","17","",""
"https://twitter.com/JunPrez337222","https://pbs.twimg.com/profile_images/1710059068071497728/qqcyRK56_normal.jpg","Juan Pedro Preciado","@JunPrez337222","·","https://twitter.com/JunPrez337222/status/1711421342346867162","9 oct.","Respondiendo a","https://twitter.com/politicomx","@politicomx","https://twitter.com/PabloLemusN","@PabloLemusN","https://twitter.com/JunPrez337222/status/1711421342346867162/people","y 14 más","Clemente Castañeda nuestro apoyó total, será nuestro voto.
Lemus y Frangie artos y cansados la ciudadanía de lo que robado descaradamente, les saldrán más cosas escondidas de sus corruptelas.","1","https://twitter.com/JunPrez337222/status/1711421342346867162/analytics","36","",""
"https://twitter.com/OliRuiz865113","https://pbs.twimg.com/profile_images/1657141502731227136/tTAtP03E_normal.png","Oli Ruiz","@OliRuiz865113","·","https://twitter.com/OliRuiz865113/status/1711420988410519770","9 oct.","Respondiendo a","https://twitter.com/RutaElectoralmx","@RutaElectoralmx","https://twitter.com/ClaraCardenasG","@ClaraCardenasG","https://twitter.com/OliRuiz865113/status/1711420988410519770/people","y 3 más","Vamos con","","https://twitter.com/OliRuiz865113/status/1711420988410519770/analytics","30","",""
"https://twitter.com/DrCarlosLomeli","https://pbs.twimg.com/profile_images/1702843912446996480/gfvPKMxi_normal.jpg","Dr. Carlos Lomelí","@DrCarlosLomeli","·","https://twitter.com/DrCarlosLomeli/status/1711419914605449537","9 oct.","Mostrar más","https://twitter.com/DrCarlosLomeli/status/1711419914605449537/media_tags","y 2 más","","Mariana Fernández","","","Uno de los temas a tratar en nuestra","8","https://twitter.com/DrCarlosLomeli/status/1711419914605449537/analytics","1.603",", es la denuncia de cómo el","10"
"https://twitter.com/patomexicano","https://pbs.twimg.com/profile_images/1311784921564934144/XZLlaLjh_normal.jpg","Carlos Francisco","@patomexicano","·","https://twitter.com/patomexicano/status/1711416633997062399","9 oct.","Respondiendo a","https://twitter.com/RutaElectoralmx","@RutaElectoralmx","https://twitter.com/ClaraCardenasG","@ClaraCardenasG","https://twitter.com/patomexicano/status/1711416633997062399/people","y 3 más","Por supuesto","1","https://twitter.com/patomexicano/status/1711416633997062399/analytics","36","es la mejor opcion para ser nuestro Gobernador",""
"https://twitter.com/Jessica92244197","https://pbs.twimg.com/profile_images/1685852791791603713/YHbL9FVS_normal.png","Jessica Mendoza","@Jessica92244197","·","https://twitter.com/Jessica92244197/status/1711416123466326255","9 oct.","Respondiendo a","https://twitter.com/RutaElectoralmx","@RutaElectoralmx","https://twitter.com/ClaraCardenasG","@ClaraCardenasG","https://twitter.com/Jessica92244197/status/1711416123466326255/people","y 3 más","Michel lopez","1","https://twitter.com/Jessica92244197/status/1711416123466326255/analytics","14","",""
"https://twitter.com/GamaHerjim","https://pbs.twimg.com/profile_images/1453520006818385924/mn-mb-kc_normal.png","Gama Herjim","@GamaHerjim","·","https://twitter.com/GamaHerjim/status/1711416113806844175","9 oct.","Respondiendo a","https://twitter.com/NachoRgz","@NachoRgz","https://twitter.com/INEMexico","@INEMexico","https://twitter.com/GamaHerjim/status/1711416113806844175/people","y 4 más","Jajajjaj pelagatos y lamebotas, cómo ya no se te hizo con Adán Augusto, ahora quieres chayote con Yolanda pero tampoco va llegar jajajaj","","https://twitter.com/GamaHerjim/status/1711416113806844175/analytics","35","",""
"https://twitter.com/luisfer70931331","https://pbs.twimg.com/profile_images/1402309867377893381/t2V2fIgE_normal.jpg","corazoncito morenovsky","@luisfer70931331","·","https://twitter.com/luisfer70931331/status/1711415966024736897","9 oct.","Respondiendo a","https://twitter.com/DrCarlosLomeli","@DrCarlosLomeli","https://twitter.com/mariana_fdzr","@mariana_fdzr","https://twitter.com/luisfer70931331/status/1711415966024736897/people","y 2 más","Excelente y buen día.","","https://twitter.com/luisfer70931331/status/1711415966024736897/analytics","35","",""
"https://twitter.com/DrCarlosLomeli","https://pbs.twimg.com/profile_images/1702843912446996480/gfvPKMxi_normal.jpg","Dr. Carlos Lomelí","@DrCarlosLomeli","·","https://twitter.com/DrCarlosLomeli/status/1711415213914816738","9 oct.","","https://twitter.com/DrCarlosLomeli/status/1711415213914816738/media_tags","y 2 más","","Mariana Fernández","","","Iniciamos nuestra tradicional conferencia de prensa, en este día nublado, tan nublado como la administración del gobierno municipal de Guadalajara.","21","https://twitter.com/DrCarlosLomeli/status/1711415213914816738/analytics","3.871","","16"
"https://twitter.com/LaloLanda192929","https://pbs.twimg.com/profile_images/1661724771493597184/feCyipPD_normal.jpg","Lalo Landa","@LaloLanda192929","·","https://twitter.com/LaloLanda192929/status/1711414417970147815","9 oct.","Respondiendo a","https://twitter.com/NachoRgz","@NachoRgz","https://twitter.com/INEMexico","@INEMexico","https://twitter.com/LaloLanda192929/status/1711414417970147815/people","y 4 más","Yo creo que quieres chayote con Harfuch","","https://twitter.com/LaloLanda192929/status/1711414417970147815/analytics","115","",""
"https://twitter.com/Rouux1","https://pbs.twimg.com/profile_images/1509176224186351622/mnWJ1rev_normal.jpg","Rosalinda Ortiz","@Rouux1","·","https://twitter.com/Rouux1/status/1711413954088513749","9 oct.","","","","","","","","Dispendios millonarios realiza ⁦","12","https://twitter.com/Rouux1/status/1711413954088513749/analytics","2.268","⁩ en contratación de banquetes. Es decir, comidas y cenas a todo lujo para sus cuates a cargo del dinero de los tapatíos, denuncia hoy ⁦","58"
